Dates,Asia_50_Volume,Core_MSCI_World_ex_Australia_ESG_Leaders_AUD_Hedged_fund_Volume,Core_MSCI_World_ex_Australia_ESG_Leaders_Volume,Core_SPASX_200_Volume,Edge_MSCI_Australia_Minimum_Volatility_Volume,Edge_MSCI_Australia_Multifactor_Volume,Edge_MSCI_World_Multifactor_Volume,Global_100_AUD_Hedged_Volume,Global_100_Volume,Global_Consumer_Staples_Volume,Global_Healthcare_Volume,JP_Morgan_USD_Emerging_Markets_Bond_AUD_Hedged_E_Volume,MSCI_Emerging_Markets_Volume,SP_500_Volume,SP_Mid_Cap_Volume,SPASX_20_Volume,SPASX_Dividend_Opportunities_Volume,Total_Volume
12-Jul-22,"7,663,926.00","6,916,384.00","13,679,665.00","155,555,230.00","890,033.00","1,575,927.00","4,148,097.00","1,145,002.00","25,796,718.00","2,124,524.00","9,582,590.00","491,540.00","14,237,635.00","8,621,149.00","577,630.00","16,826,871.00","21,688,534.00",
11-Jul-22,"7,669,726.00","6,916,384.00","13,679,665.00","155,555,230.00","890,033.00","1,575,927.00","4,148,097.00","1,122,002.00","25,812,718.00","2,124,524.00","9,581,290.00","491,540.00","14,229,235.00","8,630,249.00","577,630.00","16,826,871.00","21,588,534.00",
8-Jul-22,"7,669,726.00","6,916,384.00","13,679,665.00","155,555,230.00","890,033.00","1,575,927.00","4,148,097.00","1,122,002.00","25,804,718.00","2,124,524.00","9,578,690.00","491,540.00","14,212,435.00","8,630,249.00","577,630.00","16,826,871.00","21,588,534.00",
7-Jul-22,"7,669,726.00","6,916,384.00","13,679,665.00","155,555,230.00","890,033.00","1,575,927.00","4,148,097.00","1,122,002.00","25,796,718.00","2,124,524.00","9,578,690.00","491,540.00","14,229,235.00","8,628,949.00","577,630.00","16,826,871.00","21,588,534.00",
6-Jul-22,"7,669,726.00","6,916,384.00","13,679,665.00","153,680,230.00","890,033.00","1,575,927.00","4,148,097.00","1,122,002.00","25,812,718.00","2,124,524.00","9,576,090.00","491,540.00","14,229,235.00","8,628,949.00","577,630.00","16,826,871.00","21,588,534.00",
5-Jul-22,"7,676,919.00","6,926,744.00","13,723,721.00","154,213,339.00","890,951.00","1,609,338.00","4,152,430.00","1,123,197.00","25,795,559.00","2,127,711.00","9,578,691.00","493,179.00","14,240,696.00","8,630,295.00","575,741.00","16,846,027.00","21,596,193.00",
4-Jul-22,"7,676,919.00","6,926,744.00","13,723,721.00","153,763,339.00","890,951.00","1,609,338.00","4,152,430.00","1,123,197.00","25,795,559.00","2,127,711.00","9,578,691.00","483,179.00","14,240,696.00","8,630,295.00","575,741.00","16,846,027.00","21,596,193.00",
1-Jul-22,"7,676,919.00","6,926,744.00","13,723,721.00","153,763,339.00","890,951.00","1,609,338.00","4,152,430.00","1,123,197.00","25,795,559.00","2,127,711.00","9,546,191.00","483,179.00","14,223,896.00","8,628,995.00","575,741.00","16,771,027.00","21,596,193.00",
30-Jun-22,"7,671,017.00","6,914,568.00","13,673,749.00","152,711,599.00","888,338.00","1,570,725.00","4,134,731.00","1,120,760.00","25,743,829.00","2,123,464.00","9,538,265.00","481,182.00","14,197,132.00","8,624,884.00","575,548.00","16,701,567.00","21,554,077.00",
29-Jun-22,"7,671,017.00","6,749,568.00","13,508,749.00","152,711,599.00","888,338.00","1,570,725.00","4,134,731.00","1,120,760.00","25,743,829.00","2,123,464.00","9,536,965.00","481,182.00","14,188,732.00","8,624,884.00","575,548.00","16,701,567.00","21,554,077.00",
28-Jun-22,"7,676,817.00","6,419,568.00","13,123,749.00","152,711,599.00","888,338.00","1,570,725.00","4,134,731.00","1,120,760.00","25,743,829.00","2,123,464.00","9,536,965.00","481,182.00","14,180,332.00","8,622,284.00","575,548.00","16,626,567.00","21,554,077.00",
27-Jun-22,"7,682,617.00","6,419,568.00","13,123,749.00","152,711,599.00","888,338.00","1,570,725.00","4,134,731.00","1,120,760.00","25,743,829.00","2,123,464.00","9,533,065.00","481,182.00","14,171,932.00","8,615,784.00","575,548.00","16,626,567.00","21,554,077.00",
24-Jun-22,"7,694,217.00","6,419,568.00","13,123,749.00","152,711,599.00","888,338.00","1,570,725.00","4,134,731.00","1,120,760.00","25,743,829.00","2,123,464.00","9,533,065.00","481,182.00","14,171,932.00","8,628,784.00","575,548.00","16,626,567.00","21,554,077.00",
23-Jun-22,"7,700,017.00","6,419,568.00","13,123,749.00","152,261,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,743,829.00","2,132,464.00","9,533,065.00","481,182.00","14,171,932.00","8,628,784.00","575,548.00","16,626,567.00","21,554,077.00",
22-Jun-22,"7,705,817.00","6,419,568.00","12,903,749.00","152,261,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,735,829.00","2,132,464.00","9,533,065.00","481,182.00","14,163,532.00","8,628,784.00","581,248.00","16,551,567.00","21,554,077.00",
21-Jun-22,"7,711,617.00","6,419,568.00","12,408,749.00","152,261,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,132,464.00","9,533,065.00","481,182.00","14,171,932.00","8,628,784.00","581,248.00","16,551,567.00","21,554,077.00",
20-Jun-22,"7,711,617.00","6,419,568.00","12,408,749.00","152,261,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,132,464.00","9,533,065.00","481,182.00","14,171,932.00","8,628,784.00","581,248.00","16,551,567.00","21,554,077.00",
17-Jun-22,"7,711,617.00","6,419,568.00","12,408,749.00","154,661,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,132,464.00","9,533,065.00","481,182.00","14,180,332.00","8,626,184.00","581,248.00","16,551,567.00","21,554,077.00",
16-Jun-22,"7,717,417.00","6,419,568.00","12,408,749.00","154,436,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,135,464.00","9,533,065.00","481,182.00","14,180,332.00","8,623,584.00","581,248.00","16,551,567.00","21,454,077.00",
15-Jun-22,"7,723,217.00","6,419,568.00","12,353,749.00","154,136,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,121,964.00","9,533,065.00","481,182.00","14,180,332.00","8,637,884.00","581,248.00","16,476,567.00","21,454,077.00",
14-Jun-22,"7,734,817.00","6,364,568.00","12,353,749.00","154,136,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,121,964.00","9,533,065.00","531,182.00","14,180,332.00","8,637,884.00","581,248.00","16,476,567.00","21,454,077.00",
10-Jun-22,"7,734,817.00","6,364,568.00","12,353,749.00","154,136,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,121,964.00","9,533,065.00","531,182.00","14,180,332.00","8,637,884.00","581,248.00","16,476,567.00","21,454,077.00",
9-Jun-22,"7,740,617.00","6,144,568.00","12,133,749.00","154,136,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,727,829.00","2,121,964.00","9,533,065.00","531,182.00","15,053,932.00","8,637,884.00","581,248.00","16,401,567.00","21,454,077.00",
8-Jun-22,"7,746,417.00","6,144,568.00","12,133,749.00","154,136,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,735,829.00","2,121,964.00","9,533,065.00","531,182.00","15,045,532.00","8,640,484.00","585,048.00","16,401,567.00","21,354,077.00",
7-Jun-22,"7,746,417.00","6,144,568.00","12,133,749.00","154,136,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,743,829.00","2,121,964.00","9,531,765.00","531,182.00","15,037,132.00","8,640,484.00","585,048.00","16,401,567.00","21,354,077.00",
6-Jun-22,"7,752,217.00","6,144,568.00","12,133,749.00","159,761,599.00","888,338.00","1,570,725.00","4,214,731.00","1,097,760.00","25,743,829.00","2,121,964.00","9,530,465.00","531,182.00","15,037,132.00","8,617,084.00","585,048.00","16,401,567.00","21,354,077.00",
