Dates,Asia_50_Costs,Core_MSCI_World_ex_Australia_ESG_Leaders_AUD_Hedged_fund_Costs,Core_MSCI_World_ex_Australia_ESG_Leaders_Costs,Core_SPASX_200_Costs,Edge_MSCI_Australia_Minimum_Volatility_Costs,Edge_MSCI_Australia_Multifactor_Costs,Edge_MSCI_World_Multifactor_Costs,Global_100_AUD_Hedged_Costs,Global_100_Costs,Global_Consumer_Staples_Costs,Global_Healthcare_Costs,JP_Morgan_USD_Emerging_Markets_Bond_AUD_Hedged_E_Costs,MSCI_Emerging_Markets_Costs,SP_500_Costs,SP_Mid_Cap_Costs,SPASX_20_Costs,SPASX_Dividend_Opportunities_Costs,Total_Costs
12-Jul-22,88.95,36.68,38.09,26.63,28.33,27.43,33.27,122.24,94.66,85.42,119.84,73.0,57.23,564.68,337.56,25.66,12.54,137.635
11-Jul-22,89.45,37.02,38.59,26.61,28.22,27.47,33.57,123.34,95.86,85.66,121.58,73.84,57.7,572.17,339.69,25.56,12.47,139.0391666666667
8-Jul-22,91.04,37.37,38.31,26.92,28.47,27.8,33.28,124.55,95.28,84.44,119.74,73.84,58.15,567.81,337.07,25.83,12.65,138.40666666666667
7-Jul-22,91.72,37.34,38.46,26.8,28.43,27.58,33.39,124.46,95.81,85.1,120.17,74.41,58.41,570.92,339.78,25.79,12.61,139.16416666666666
6-Jul-22,90.05,36.75,38.18,26.58,28.33,27.31,33.07,122.51,95.16,85.63,120.73,74.02,57.79,567.65,335.68,25.51,12.44,138.10166666666666
5-Jul-22,90.83,36.55,37.98,26.72,28.31,27.52,33.02,121.91,94.75,85.36,119.86,74.49,58.14,565.54,337.64,25.71,12.51,138.0058333333333
4-Jul-22,90.41,36.42,37.54,26.66,28.26,27.51,32.93,121.9,93.74,84.95,119.09,74.7,57.92,557.91,334.25,25.61,12.48,136.81333333333333
1-Jul-22,91.51,36.36,37.91,26.36,27.95,27.22,33.26,121.53,94.88,85.97,120.53,75.1,58.62,564.67,338.29,25.33,12.37,138.21916666666667
30-Jun-22,91.76,36.39,37.41,27.09,28.5,28.44,35.36,122.71,93.96,84.71,118.33,76.24,58.63,552.41,330.1,26.23,12.72,136.5008333333333
29-Jun-22,92.55,36.8,37.8,27.63,28.96,28.98,35.66,124.48,95.14,84.81,118.63,76.4,58.91,557.02,333.16,26.83,12.97,137.61333333333332
28-Jun-22,92.41,36.81,37.59,27.86,29.21,29.23,35.69,124.25,94.36,84.03,117.0,76.42,58.77,553.83,333.63,26.93,13.05,137.06583333333333
27-Jun-22,92.95,37.49,38.21,27.62,29.07,28.93,35.94,126.36,95.78,84.74,118.68,77.4,58.96,563.73,337.63,26.64,12.94,138.9891666666667
24-Jun-22,92.61,37.53,38.22,27.09,28.83,28.29,35.75,126.65,96.19,85.0,118.25,78.16,58.86,565.66,336.25,26.08,12.73,139.09416666666667
23-Jun-22,90.57,36.45,37.3,26.89,28.59,28.01,35.03,123.12,93.83,83.36,116.33,77.8,57.73,550.72,326.1,26.04,12.62,135.69500000000002
22-Jun-22,90.06,36.19,36.89,26.81,28.34,28.02,34.89,122.33,92.78,81.86,113.6,77.54,57.33,543.06,322.77,25.96,12.57,134.10833333333332
21-Jun-22,91.18,36.23,36.65,26.87,28.37,28.07,34.92,122.77,92.43,81.24,111.51,77.72,57.99,540.42,321.81,25.97,12.52,133.73916666666665
20-Jun-22,89.96,35.44,35.98,26.5,28.13,27.64,34.42,119.95,90.37,79.84,109.35,77.3,57.23,528.53,318.4,25.54,12.34,131.3975
17-Jun-22,90.82,35.35,36.2,26.66,28.18,27.96,34.68,119.57,91.24,80.6,110.39,77.47,57.78,533.59,321.44,25.8,12.5,132.4275
16-Jun-22,89.41,35.23,35.84,27.14,28.37,28.5,34.61,119.74,90.52,80.01,109.61,77.01,57.1,528.27,315.82,26.35,12.72,131.0975
15-Jun-22,92.74,36.31,36.93,27.18,28.39,28.54,35.67,123.02,93.19,80.97,111.45,77.47,59.07,547.89,333.01,26.38,12.77,135.64333333333335
14-Jun-22,92.34,35.74,36.67,27.54,28.61,28.84,35.66,121.18,92.35,80.95,111.15,76.66,58.76,544.42,331.71,26.68,12.85,134.79916666666668
10-Jun-22,92.25,37.27,37.36,28.55,29.42,29.92,36.3,125.68,93.7,81.84,113.23,79.29,58.66,554.42,340.6,27.71,13.28,137.54999999999998
9-Jun-22,92.25,38.39,38.16,28.92,29.82,30.39,36.9,129.47,95.52,81.48,113.96,80.53,58.7,565.33,346.22,27.98,13.46,139.7425
8-Jun-22,93.96,39.15,38.5,29.33,30.17,30.84,37.2,132.34,96.83,81.79,115.08,81.28,59.45,572.17,349.4,28.37,13.56,141.42916666666667
