time,Asia_50_Costs,JP_Morgan_USD_Emerging_Markets_Bond_AUD_Hedged_E_Costs,MSCI_Emerging_Markets_Costs,iShares_MSCI_South_Korea_ETF_Volume,close,Asia_50_Volume,JP_Morgan_USD_Emerging_Markets_Bond_AUD_Hedged_E_Volume,MSCI_Emerging_Markets_Volume,iShares MSCI South Korea ETF,volume
30-Jun-21,122.51,101.64,73.74,124.5,105.5975,"7,339,280.00","450,833.00","13,790,240.00","817,950.00","5,599,575.75"
1-Jul-21,122.51,101.64,73.74,124.5,105.5975,"7,339,280.00","450,833.00","13,798,640.00","818,763.00","5,601,879.00"
2-Jul-21,121.32,100.23,73.13,124.85,104.8825,"7,348,226.00","451,669.00","13,821,162.00","820,963.00","5,610,505.00"
5-Jul-21,120.54,100.27,72.92,124.18,104.4775,"7,348,226.00","451,669.00","13,678,362.00","822,063.00","5,575,080.00"
6-Jul-21,119.89,100.28,72.53,123.76,104.115,"7,348,226.00","451,669.00","13,678,362.00","821,290.00","5,574,886.75"
7-Jul-21,118.62,100.29,71.55,123.16,103.405,"7,347,506.00","451,003.00","13,668,045.00","822,390.00","5,572,236.00"
8-Jul-21,118.48,100.54,71.7,121.23,102.9875,"7,347,506.00","451,003.00","13,676,445.00","824,590.00","5,574,886.00"
9-Jul-21,116.26,100.46,70.68,121.23,102.1575,"7,353,306.00","451,003.00","13,676,445.00","824,590.00","5,576,336.00"
12-Jul-21,118.01,100.37,71.35,122,102.9325,"7,353,306.00","451,003.00","13,684,845.00","825,690.00","5,578,711.00"
13-Jul-21,117.78,100.33,71.33,122.1,102.885,"7,364,906.00","451,003.00","13,693,245.00","825,690.00","5,583,711.00"
14-Jul-21,119.23,100.57,71.65,122.78,103.5575,"7,370,706.00","451,003.00","13,693,245.00","826,790.00","5,585,436.00"
15-Jul-21,119.67,100.54,71.86,123.92,103.9975,"7,382,306.00","451,003.00","13,726,845.00","828,990.00","5,597,286.00"
16-Jul-21,120.51,100.65,72.41,123.13,104.175,"7,388,106.00","451,003.00","13,743,645.00","828,990.00","5,602,936.00"
19-Jul-21,119.86,100.78,72.14,121.48,103.565,"7,393,906.00","451,003.00","13,752,045.00","828,990.00","5,606,486.00"
20-Jul-21,118.83,100.68,71.63,123.59,103.6825,"7,405,506.00","451,003.00","13,768,845.00","830,090.00","5,613,861.00"
21-Jul-21,119.71,100.86,72.02,122.52,103.7775,"7,405,506.00","451,003.00","13,794,045.00","830,090.00","5,620,161.00"
22-Jul-21,119.36,100.59,72.24,122.83,103.755,"7,411,306.00","451,003.00","13,794,045.00","832,290.00","5,622,161.00"
23-Jul-21,119.38,100.78,71.98,123.17,103.8275,"7,417,106.00","451,003.00","13,802,445.00","833,390.00","5,625,986.00"
26-Jul-21,117.68,100.88,71.14,122.52,103.055,"7,422,906.00","451,003.00","13,819,245.00","834,490.00","5,631,911.00"
27-Jul-21,113.08,100.68,69.51,121.42,101.1725,"7,434,506.00","451,003.00","13,827,645.00","834,490.00","5,636,911.00"
28-Jul-21,110.74,100.4,68.17,123.28,100.6475,"7,451,906.00","451,003.00","13,852,845.00","835,590.00","5,647,836.00"
29-Jul-21,114.94,100.28,70.43,123.11,102.19,"7,463,506.00","451,003.00","13,869,645.00","832,290.00","5,654,111.00"
30-Jul-21,114.37,100.7,70.19,121.4,101.665,"7,463,506.00","451,003.00","13,894,845.00","833,390.00","5,660,686.00"
2-Aug-21,114.05,100.75,69.99,120.96,101.4375,"7,463,506.00","451,003.00","13,911,645.00","834,490.00","5,665,161.00"
3-Aug-21,114.27,101.17,70.26,122.75,102.1125,"7,463,506.00","451,003.00","13,920,045.00","835,590.00","5,667,536.00"
4-Aug-21,113.92,101.09,70.54,124.39,102.485,"7,463,506.00","451,003.00","13,928,445.00","835,590.00","5,669,636.00"
5-Aug-21,115.48,100.96,70.88,124.11,102.8575,"7,469,306.00","451,003.00","13,936,845.00","835,590.00","5,673,186.00"
