time,Core_MSCI_World_ex_Australia_ESG_Leaders_Volume,Edge_MSCI_World_Multifactor_Volume,Global_100_Volume,Global_Healthcare_Volume,SP_500_Volume,volume,Core_MSCI_World_ex_Australia_ESG_Leaders_Costs,Edge_MSCI_World_Multifactor_Costs,Global_100_Costs,Global_Healthcare_Costs,SP_500_Costs,close
30-Jun-17,"320,086.00","440,000.00","37,800,000.00","28,800,000.00","474,400,000.00","108,352,017.20",29.21,28.52,54.75,71.15,317.3,100.186
3-Jul-17,"320,321.00","441,292.00","37,800,000.00","28,800,000.00","475,750,000.00","108,622,322.60",29.08,27.53,55.2,71.38,319,100.438
5-Jul-17,"360,380.00","441,264.00","37,800,000.00","28,800,000.00","476,450,000.00","108,770,328.80",29.34,27.79,55.66,72.17,322.37,101.466
6-Jul-17,"360,380.00","441,264.00","37,800,000.00","29,000,000.00","476,850,000.00","108,890,328.80",29.13,27.68,55.4,71.38,319.49,100.616
7-Jul-17,"360,380.00","441,264.00","37,800,000.00","29,200,000.00","477,550,000.00","109,070,328.80",29.17,27.71,55.32,71.34,320.52,100.812
10-Jul-17,"360,380.00","441,264.00","37,800,000.00","29,200,000.00","477,800,000.00","109,120,328.80",29.23,27.81,55.52,71.29,321.22,101.014
11-Jul-17,"360,380.00","441,264.00","37,800,000.00","29,300,000.00","477,700,000.00","109,120,328.80",29.19,27.76,55.34,70.98,320.28,100.71
12-Jul-17,"360,380.00","441,264.00","38,200,000.00","29,300,000.00","477,600,000.00","109,180,328.80",29.17,27.77,55.44,71.17,319.98,100.706
13-Jul-17,"360,380.00","441,264.00","38,300,000.00","29,300,000.00","479,000,000.00","109,480,328.80",29.05,27.65,55.15,70.63,318.55,100.206
14-Jul-17,"360,380.00","441,264.00","38,300,000.00","29,300,000.00","479,050,000.00","109,490,328.80",28.89,27.54,54.85,70.3,316.52,99.62
17-Jul-17,"400,380.00","441,264.00","38,300,000.00","29,300,000.00","480,450,000.00","109,778,328.80",28.85,27.55,54.78,70.09,316.19,99.492
18-Jul-17,"400,380.00","441,264.00","38,300,000.00","29,300,000.00","480,550,000.00","109,798,328.80",28.47,27.17,54.04,69.17,312.01,98.172
19-Jul-17,"400,380.00","441,264.00","38,300,000.00","29,300,000.00","488,250,000.00","111,338,328.80",28.58,27.27,54.1,69.48,313.22,98.53
20-Jul-17,"400,380.00","441,264.00","38,300,000.00","29,300,000.00","488,200,000.00","111,328,328.80",28.56,27.25,54.13,69.75,312.37,98.412
21-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","488,150,000.00","111,338,328.80",28.66,27.35,54.17,70.02,314.03,98.846
24-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","487,700,000.00","111,248,328.80",28.57,27.23,53.93,69.69,312.99,98.482
25-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","488,600,000.00","111,428,328.80",28.61,27.22,54.08,69.32,313.55,98.556
26-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","489,850,000.00","111,678,328.80",28.72,27.26,54.17,69.26,314.31,98.744
27-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","489,100,000.00","111,528,328.80",28.51,27.04,53.79,68.33,312.23,97.98
28-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","490,000,000.00","111,708,328.80",28.38,26.96,53.5,68.26,310.55,97.53
31-Jul-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","490,800,000.00","111,868,328.80",28.46,27.06,53.74,68.51,311.12,97.778
1-Aug-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","491,250,000.00","111,958,328.80",28.55,27.21,53.96,68.39,311.73,97.968
2-Aug-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","492,050,000.00","112,118,328.80",28.58,27.26,54.27,68.44,312.59,98.228
3-Aug-17,"400,380.00","441,264.00","38,400,000.00","29,300,000.00","492,050,000.00","112,118,328.80",28.61,27.36,54.32,68.65,312.67,98.322
4-Aug-17,"400,380.00","441,264.00","38,400,000.00","29,200,000.00","492,050,000.00","112,098,328.80",28.8,27.47,54.65,68.78,314.83,98.906
7-Aug-17,"440,380.00","441,264.00","38,400,000.00","29,200,000.00","492,550,000.00","112,206,328.80",28.84,27.61,54.82,68.88,315.62,99.154
8-Aug-17,"440,380.00","441,264.00","38,400,000.00","29,200,000.00","492,550,000.00","112,206,328.80",28.8,27.58,54.89,68.68,315.37,99.064
9-Aug-17,"440,380.00","441,264.00","38,400,000.00","29,200,000.00","492,550,000.00","112,206,328.80",28.84,27.62,54.88,68.94,316.33,99.322
10-Aug-17,"440,380.00","441,264.00","38,400,000.00","29,100,000.00","492,600,000.00","112,196,328.80",28.38,27.28,54.17,68.07,311.06,97.792
11-Aug-17,"440,380.00","441,264.00","38,400,000.00","29,100,000.00","492,400,000.00","112,156,328.80",28.43,27.24,54.17,68.38,312.11,98.066
14-Aug-17,"440,380.00","441,264.00","38,500,000.00","29,100,000.00","492,450,000.00","112,186,328.80",28.72,27.5,54.65,68.77,315.54,99.036
15-Aug-17,"440,380.00","441,264.00","38,500,000.00","28,900,000.00","492,900,000.00","112,236,328.80",28.84,27.63,54.95,69.18,317.35,99.59
16-Aug-17,"440,380.00","441,264.00","38,500,000.00","28,900,000.00","492,450,000.00","112,146,328.80",28.7,27.49,54.62,68.78,315.31,98.98
17-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,900,000.00","492,450,000.00","112,166,328.80",28.2,27.14,53.87,68,309.08,97.258
18-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,900,000.00","492,450,000.00","112,166,328.80",28.2,27.09,53.74,67.72,308.76,97.102
21-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,800,000.00","492,300,000.00","112,116,328.80",28.12,27.02,53.54,67.64,308.03,96.87
22-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,800,000.00","491,700,000.00","111,996,328.80",28.4,27.27,54.03,68.42,311.76,97.976
23-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,800,000.00","491,500,000.00","111,956,328.80",28.45,27.36,54.19,68.35,311.79,98.028
24-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,800,000.00","491,500,000.00","111,956,328.80",28.38,27.32,54.09,68.44,310.87,97.82
25-Aug-17,"440,380.00","441,264.00","38,600,000.00","28,800,000.00","491,500,000.00","111,956,328.80",28.36,27.27,53.98,68.22,309.99,97.564
28-Aug-17,"440,380.00","441,264.00","38,700,000.00","28,800,000.00","491,550,000.00","111,986,328.80",28.33,27.25,53.97,68.48,309.77,97.56
29-Aug-17,"440,380.00","441,264.00","38,700,000.00","28,800,000.00","491,550,000.00","111,986,328.80",28.2,27.09,53.76,68.31,308.93,97.258
30-Aug-17,"440,380.00","441,264.00","38,700,000.00","28,700,000.00","494,050,000.00","112,466,328.80",28.54,27.4,54.29,69.06,313.42,98.542
31-Aug-17,"440,380.00","441,264.00","38,700,000.00","28,700,000.00","499,300,000.00","113,516,328.80",28.64,27.48,54.4,69.86,314.11,98.898
1-Sep-17,"440,380.00","441,264.00","38,700,000.00","28,700,000.00","500,000,000.00","113,656,328.80",28.55,27.44,54.24,69.54,313.01,98.556
5-Sep-17,"440,380.00","441,264.00","38,700,000.00","28,700,000.00","500,100,000.00","113,676,328.80",28.2,27.09,53.6,68.91,308.95,97.35
6-Sep-17,"440,380.00","441,264.00","38,700,000.00","28,700,000.00","502,850,000.00","114,226,328.80",28.43,27.18,53.97,69.47,311.06,98.022
7-Sep-17,"480,380.00","441,264.00","38,700,000.00","28,700,000.00","502,850,000.00","114,234,328.80",28.35,27.11,53.89,69.82,309.33,97.7
8-Sep-17,"480,380.00","441,264.00","38,700,000.00","28,700,000.00","502,850,000.00","114,234,328.80",28.23,27.08,53.56,69.87,307.81,97.31
11-Sep-17,"480,380.00","441,264.00","38,800,000.00","28,700,000.00","503,500,000.00","114,384,328.80",28.62,27.47,54.35,70.62,312.51,98.714
12-Sep-17,"480,380.00","441,264.00","38,800,000.00","28,700,000.00","503,000,000.00","114,284,328.80",28.7,27.51,54.48,70.71,313.34,98.948
13-Sep-17,"480,380.00","521,264.00","38,800,000.00","28,700,000.00","503,000,000.00","114,300,328.80",28.79,27.58,54.79,70.76,315.08,99.4
