iShares Core Cash ETF,
,
Share Class Inception,02-Jun-2017
,
Month End Date,Monthly Total (NAV) Return
31-Aug-2017,0.14
30-Sep-2017,0.14
31-Oct-2017,0.15
30-Nov-2017,0.13
31-Dec-2017,0.13
31-Jan-2018,0.17
28-Feb-2018,0.13
31-Mar-2018,0.13
30-Apr-2018,0.17
31-May-2018,0.17
30-Jun-2018,0.15
31-Jul-2018,0.19
31-Aug-2018,0.17
30-Sep-2018,0.15
31-Oct-2018,0.18
30-Nov-2018,0.16
31-Dec-2018,0.16
31-Jan-2019,0.18
28-Feb-2019,0.18
31-Mar-2019,0.16
30-Apr-2019,0.17
31-May-2019,0.15
30-Jun-2019,0.13
31-Jul-2019,0.13
31-Aug-2019,0.08
30-Sep-2019,0.09
31-Oct-2019,0.08
30-Nov-2019,0.08
31-Dec-2019,0.08
31-Jan-2020,0.09
29-Feb-2020,0.07
31-Mar-2020,0.10
30-Apr-2020,0.05
31-May-2020,0.01
30-Jun-2020,0.01
31-Jul-2020,0.01
31-Aug-2020,0.01
30-Sep-2020,0.01
31-Oct-2020,0.01
30-Nov-2020,0.01
31-Dec-2020,0.01
31-Jan-2021,0.00
28-Feb-2021,0.00
31-Mar-2021,0.00
30-Apr-2021,0.00
31-May-2021,0.00
30-Jun-2021,0.00
31-Jul-2021,0.00
31-Aug-2021,0.00
30-Sep-2021,0.00
31-Oct-2021,0.00
30-Nov-2021,0.00
31-Dec-2021,0.00
31-Jan-2022,0.00
28-Feb-2022,0.00
31-Mar-2022,0.00
30-Apr-2022,-0.01
31-May-2022,0.03
30-Jun-2022,0.05
