iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,
,
Share Class Inception,22-Apr-2016
,
Month End Date,Monthly Total (NAV) Return
30-Apr-2016,--
31-May-2016,2.33
30-Jun-2016,-0.93
31-Jul-2016,3.81
31-Aug-2016,0.81
30-Sep-2016,0.42
31-Oct-2016,-0.85
30-Nov-2016,3.79
31-Dec-2016,2.84
31-Jan-2017,1.13
28-Feb-2017,2.88
31-Mar-2017,1.21
30-Apr-2017,1.26
31-May-2017,1.30
30-Jun-2017,0.47
31-Jul-2017,1.37
31-Aug-2017,0.05
30-Sep-2017,2.88
31-Oct-2017,2.63
30-Nov-2017,1.70
31-Dec-2017,0.96
31-Jan-2018,3.41
28-Feb-2018,-3.89
31-Mar-2018,-1.44
30-Apr-2018,1.67
31-May-2018,1.93
30-Jun-2018,0.09
31-Jul-2018,3.19
31-Aug-2018,1.61
30-Sep-2018,0.38
31-Oct-2018,-7.27
30-Nov-2018,1.25
31-Dec-2018,-8.47
31-Jan-2019,7.23
28-Feb-2019,3.52
31-Mar-2019,1.31
30-Apr-2019,3.83
31-May-2019,-5.96
30-Jun-2019,5.47
31-Jul-2019,1.00
31-Aug-2019,-1.89
30-Sep-2019,2.53
31-Oct-2019,1.79
30-Nov-2019,2.97
31-Dec-2019,2.21
31-Jan-2020,-0.93
29-Feb-2020,-8.35
31-Mar-2020,-14.58
30-Apr-2020,9.20
31-May-2020,4.73
30-Jun-2020,2.08
31-Jul-2020,2.97
31-Aug-2020,5.54
30-Sep-2020,-2.81
31-Oct-2020,-2.51
30-Nov-2020,11.20
31-Dec-2020,3.61
31-Jan-2021,-0.12
28-Feb-2021,3.26
31-Mar-2021,4.71
30-Apr-2021,3.61
31-May-2021,1.35
30-Jun-2021,3.37
31-Jul-2021,2.77
31-Aug-2021,3.71
30-Sep-2021,-4.31
31-Oct-2021,6.91
30-Nov-2021,-0.64
31-Dec-2021,3.92
31-Jan-2022,-6.36
28-Feb-2022,-3.65
31-Mar-2022,3.30
30-Apr-2022,-8.34
31-May-2022,-1.40
30-Jun-2022,-7.26
