iShares Core S&P/ASX 200 ETF,
,
Share Class Inception,06-Dec-2010
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2010,--
31-Jan-2011,0.17
28-Feb-2011,2.34
31-Mar-2011,0.77
30-Apr-2011,-0.29
31-May-2011,-2.07
30-Jun-2011,-1.80
31-Jul-2011,-4.07
31-Aug-2011,-1.98
30-Sep-2011,-6.05
31-Oct-2011,7.23
30-Nov-2011,-3.45
31-Dec-2011,-1.41
31-Jan-2012,5.08
29-Feb-2012,1.85
31-Mar-2012,1.18
30-Apr-2012,1.39
31-May-2012,-6.69
30-Jun-2012,0.62
31-Jul-2012,4.27
31-Aug-2012,2.01
30-Sep-2012,2.14
31-Oct-2012,3.03
30-Nov-2012,0.49
31-Dec-2012,3.34
31-Jan-2013,4.92
28-Feb-2013,5.42
31-Mar-2013,-2.25
30-Apr-2013,4.52
31-May-2013,-4.82
30-Jun-2013,-2.36
31-Jul-2013,5.16
31-Aug-2013,2.37
30-Sep-2013,2.13
31-Oct-2013,4.01
30-Nov-2013,-1.31
31-Dec-2013,0.67
31-Jan-2014,-3.00
28-Feb-2014,4.93
31-Mar-2014,0.31
30-Apr-2014,1.74
31-May-2014,0.67
30-Jun-2014,-1.54
31-Jul-2014,4.47
31-Aug-2014,0.63
30-Sep-2014,-5.40
31-Oct-2014,4.47
30-Nov-2014,-3.30
31-Dec-2014,2.08
31-Jan-2015,3.23
28-Feb-2015,6.89
31-Mar-2015,-0.16
30-Apr-2015,-1.75
31-May-2015,0.45
30-Jun-2015,-5.28
31-Jul-2015,4.31
31-Aug-2015,-7.77
30-Sep-2015,-3.08
31-Oct-2015,4.22
30-Nov-2015,-0.81
31-Dec-2015,2.70
31-Jan-2016,-5.48
29-Feb-2016,-1.76
31-Mar-2016,4.70
30-Apr-2016,3.34
31-May-2016,3.07
30-Jun-2016,-2.49
31-Jul-2016,6.29
31-Aug-2016,-1.54
30-Sep-2016,0.48
31-Oct-2016,-2.15
30-Nov-2016,2.98
31-Dec-2016,4.36
31-Jan-2017,-0.79
28-Feb-2017,2.24
31-Mar-2017,3.30
30-Apr-2017,1.02
31-May-2017,-2.78
30-Jun-2017,0.16
31-Jul-2017,0.00
31-Aug-2017,0.68
30-Sep-2017,-0.04
31-Oct-2017,4.01
30-Nov-2017,1.62
31-Dec-2017,1.79
31-Jan-2018,-0.46
28-Feb-2018,0.33
31-Mar-2018,-3.79
30-Apr-2018,3.90
31-May-2018,1.08
30-Jun-2018,3.24
31-Jul-2018,1.38
31-Aug-2018,1.41
30-Sep-2018,-1.29
31-Oct-2018,-6.05
30-Nov-2018,-2.22
31-Dec-2018,-0.14
31-Jan-2019,3.85
28-Feb-2019,5.97
31-Mar-2019,0.71
30-Apr-2019,2.37
31-May-2019,1.70
30-Jun-2019,3.69
31-Jul-2019,2.92
31-Aug-2019,-2.36
30-Sep-2019,1.83
31-Oct-2019,-0.37
30-Nov-2019,3.27
31-Dec-2019,-2.18
31-Jan-2020,4.97
29-Feb-2020,-7.69
31-Mar-2020,-20.62
30-Apr-2020,8.76
31-May-2020,4.35
30-Jun-2020,2.58
31-Jul-2020,0.51
31-Aug-2020,2.82
30-Sep-2020,-3.68
31-Oct-2020,1.93
30-Nov-2020,10.21
31-Dec-2020,1.20
31-Jan-2021,0.31
28-Feb-2021,1.45
31-Mar-2021,2.44
30-Apr-2021,3.46
31-May-2021,2.33
30-Jun-2021,2.25
31-Jul-2021,1.10
31-Aug-2021,2.50
30-Sep-2021,-1.87
31-Oct-2021,-0.11
30-Nov-2021,-0.56
31-Dec-2021,2.74
31-Jan-2022,-6.35
28-Feb-2022,2.14
31-Mar-2022,6.87
30-Apr-2022,-0.86
31-May-2022,-2.61
30-Jun-2022,-8.79
