iShares Edge MSCI Australia Minimum Volatility ETF,
,
Share Class Inception,11-Oct-2016
,
Month End Date,Monthly Total (NAV) Return
31-Oct-2016,--
30-Nov-2016,1.51
31-Dec-2016,4.69
31-Jan-2017,-1.97
28-Feb-2017,3.41
31-Mar-2017,3.41
30-Apr-2017,1.80
31-May-2017,-1.29
30-Jun-2017,0.12
31-Jul-2017,-1.79
31-Aug-2017,1.32
30-Sep-2017,-0.47
31-Oct-2017,4.00
30-Nov-2017,2.47
31-Dec-2017,0.45
31-Jan-2018,-1.45
28-Feb-2018,0.38
31-Mar-2018,-2.72
30-Apr-2018,3.24
31-May-2018,0.89
30-Jun-2018,3.62
31-Jul-2018,0.93
31-Aug-2018,1.60
30-Sep-2018,-1.79
31-Oct-2018,-4.20
30-Nov-2018,-1.69
31-Dec-2018,-0.18
31-Jan-2019,3.45
28-Feb-2019,5.03
31-Mar-2019,1.27
30-Apr-2019,2.28
31-May-2019,1.91
30-Jun-2019,4.34
31-Jul-2019,3.53
31-Aug-2019,-1.39
30-Sep-2019,0.69
31-Oct-2019,-0.20
30-Nov-2019,1.99
31-Dec-2019,-2.59
31-Jan-2020,4.81
29-Feb-2020,-7.00
31-Mar-2020,-20.12
30-Apr-2020,8.80
31-May-2020,4.96
30-Jun-2020,2.41
31-Jul-2020,0.93
31-Aug-2020,0.80
30-Sep-2020,-3.22
31-Oct-2020,1.23
30-Nov-2020,6.16
31-Dec-2020,0.65
31-Jan-2021,0.18
28-Feb-2021,-1.80
31-Mar-2021,3.96
30-Apr-2021,2.94
31-May-2021,2.57
30-Jun-2021,2.72
31-Jul-2021,1.73
31-Aug-2021,2.64
30-Sep-2021,-2.00
31-Oct-2021,-0.60
30-Nov-2021,1.36
31-Dec-2021,3.20
31-Jan-2022,-7.86
28-Feb-2022,2.65
31-Mar-2022,5.35
30-Apr-2022,1.42
31-May-2022,-3.77
30-Jun-2022,-7.10
