iShares Edge MSCI World Multifactor ETF,
,
Share Class Inception,11-Oct-2016
,
Month End Date,Monthly Total (NAV) Return
31-Oct-2016,--
30-Nov-2016,5.13
31-Dec-2016,4.39
31-Jan-2017,-2.43
28-Feb-2017,1.34
31-Mar-2017,2.01
30-Apr-2017,3.97
31-May-2017,3.07
30-Jun-2017,-2.56
31-Jul-2017,-1.22
31-Aug-2017,1.55
30-Sep-2017,4.20
31-Oct-2017,5.48
30-Nov-2017,3.64
31-Dec-2017,-2.04
31-Jan-2018,1.32
28-Feb-2018,0.59
31-Mar-2018,0.32
30-Apr-2018,1.75
31-May-2018,0.94
30-Jun-2018,0.48
31-Jul-2018,2.11
31-Aug-2018,3.29
30-Sep-2018,0.08
31-Oct-2018,-6.55
30-Nov-2018,-2.61
31-Dec-2018,-4.10
31-Jan-2019,5.30
28-Feb-2019,4.93
31-Mar-2019,-0.39
30-Apr-2019,3.11
31-May-2019,-4.91
30-Jun-2019,6.01
31-Jul-2019,1.76
31-Aug-2019,-0.88
30-Sep-2019,2.13
31-Oct-2019,0.29
30-Nov-2019,5.28
31-Dec-2019,-1.49
31-Jan-2020,2.89
29-Feb-2020,-5.13
31-Mar-2020,-9.97
30-Apr-2020,3.16
31-May-2020,4.09
30-Jun-2020,-2.22
31-Jul-2020,0.74
31-Aug-2020,1.59
30-Sep-2020,0.65
31-Oct-2020,0.01
30-Nov-2020,6.44
31-Dec-2020,-0.54
31-Jan-2021,0.50
28-Feb-2021,2.16
31-Mar-2021,6.52
30-Apr-2021,2.15
31-May-2021,1.87
30-Jun-2021,3.16
31-Jul-2021,3.35
31-Aug-2021,2.29
30-Sep-2021,-4.07
31-Oct-2021,0.18
30-Nov-2021,3.60
31-Dec-2021,3.23
31-Jan-2022,-2.62
28-Feb-2022,-3.46
31-Mar-2022,-1.10
30-Apr-2022,-1.31
31-May-2022,-0.14
30-Jun-2022,-6.35
