iShares Europe ETF,
,
Share Class Inception,25-Jul-2000
,
Month End Date,Monthly Total (NAV) Return
31-Jul-2000,--
31-Aug-2000,-0.13
30-Sep-2000,1.62
31-Oct-2000,3.80
30-Nov-2000,-5.26
31-Dec-2000,1.50
31-Jan-2001,0.83
28-Feb-2001,-4.07
31-Mar-2001,-0.95
30-Apr-2001,2.83
31-May-2001,-3.57
30-Jun-2001,-3.98
31-Jul-2001,-0.18
31-Aug-2001,-5.91
30-Sep-2001,-3.95
31-Oct-2001,0.66
30-Nov-2001,0.43
31-Dec-2001,4.32
31-Jan-2002,-4.16
28-Feb-2002,-1.99
31-Mar-2002,1.98
30-Apr-2002,-1.31
31-May-2002,-5.03
30-Jun-2002,-2.77
31-Jul-2002,-8.21
31-Aug-2002,-1.20
30-Sep-2002,-12.15
31-Oct-2002,7.53
30-Nov-2002,3.85
31-Dec-2002,-4.15
31-Jan-2003,-8.61
28-Feb-2003,-6.53
31-Mar-2003,-1.20
30-Apr-2003,9.65
31-May-2003,2.35
30-Jun-2003,-1.97
31-Jul-2003,5.56
31-Aug-2003,-0.24
30-Sep-2003,-2.60
31-Oct-2003,1.91
30-Nov-2003,2.11
31-Dec-2003,3.85
31-Jan-2004,0.10
29-Feb-2004,1.52
31-Mar-2004,-2.35
30-Apr-2004,4.65
31-May-2004,2.68
30-Jun-2004,3.88
31-Jul-2004,-3.24
31-Aug-2004,-0.83
30-Sep-2004,1.31
31-Oct-2004,0.46
30-Nov-2004,3.09
31-Dec-2004,2.94
31-Jan-2005,-0.87
28-Feb-2005,2.32
31-Mar-2005,0.11
30-Apr-2005,-3.33
31-May-2005,3.30
30-Jun-2005,0.74
31-Jul-2005,3.89
31-Aug-2005,2.65
30-Sep-2005,0.74
31-Oct-2005,-0.70
30-Nov-2005,2.61
31-Dec-2005,4.32
31-Jan-2006,3.23
28-Feb-2006,1.82
31-Mar-2006,8.09
30-Apr-2006,-1.31
31-May-2006,-1.89
30-Jun-2006,1.83
31-Jul-2006,-1.39
31-Aug-2006,3.46
30-Sep-2006,3.11
31-Oct-2006,0.46
30-Nov-2006,1.22
31-Dec-2006,3.13
31-Jan-2007,2.26
28-Feb-2007,-2.07
31-Mar-2007,0.83
30-Apr-2007,3.40
31-May-2007,2.48
30-Jun-2007,-2.34
31-Jul-2007,-3.27
31-Aug-2007,4.12
30-Sep-2007,-3.45
31-Oct-2007,-0.27
30-Nov-2007,1.94
31-Dec-2007,-1.21
31-Jan-2008,-11.93
29-Feb-2008,-3.30
31-Mar-2008,2.77
30-Apr-2008,1.28
31-May-2008,-0.85
30-Jun-2008,-9.24
31-Jul-2008,-0.63
31-Aug-2008,4.77
30-Sep-2008,-6.64
31-Oct-2008,-5.25
30-Nov-2008,-5.35
31-Dec-2008,-1.66
31-Jan-2009,-2.91
28-Feb-2009,-10.76
31-Mar-2009,-1.67
30-Apr-2009,7.43
31-May-2009,2.85
30-Jun-2009,-2.77
31-Jul-2009,7.42
31-Aug-2009,4.87
30-Sep-2009,-0.28
31-Oct-2009,-3.42
30-Nov-2009,1.56
31-Dec-2009,3.25
31-Jan-2010,-4.93
28-Feb-2010,-2.79
31-Mar-2010,3.75
30-Apr-2010,-4.12
31-May-2010,-2.39
30-Jun-2010,-1.58
31-Jul-2010,4.08
31-Aug-2010,-2.07
30-Sep-2010,1.78
31-Oct-2010,3.00
30-Nov-2010,-5.84
31-Dec-2010,1.39
31-Jan-2011,7.06
28-Feb-2011,1.05
31-Mar-2011,-2.54
30-Apr-2011,2.12
31-May-2011,-0.60
30-Jun-2011,-2.33
31-Jul-2011,-5.89
31-Aug-2011,-7.85
30-Sep-2011,-1.72
31-Oct-2011,2.57
30-Nov-2011,-1.42
31-Dec-2011,-1.30
31-Jan-2012,0.89
29-Feb-2012,4.49
31-Mar-2012,3.54
30-Apr-2012,-2.81
31-May-2012,-5.61
30-Jun-2012,2.16
31-Jul-2012,-1.58
31-Aug-2012,6.36
30-Sep-2012,2.21
31-Oct-2012,1.66
30-Nov-2012,1.92
31-Dec-2012,3.32
31-Jan-2013,5.34
28-Feb-2013,-1.12
31-Mar-2013,-1.98
30-Apr-2013,5.01
31-May-2013,8.64
30-Jun-2013,-0.40
31-Jul-2013,9.50
31-Aug-2013,-0.55
30-Sep-2013,2.15
31-Oct-2013,2.96
30-Nov-2013,4.84
31-Dec-2013,4.27
31-Jan-2014,-1.42
28-Feb-2014,4.66
31-Mar-2014,-4.41
30-Apr-2014,2.58
31-May-2014,0.50
30-Jun-2014,-1.45
31-Jul-2014,-2.29
31-Aug-2014,-0.21
30-Sep-2014,3.02
31-Oct-2014,-3.18
30-Nov-2014,5.71
31-Dec-2014,-0.31
31-Jan-2015,5.03
28-Feb-2015,5.67
31-Mar-2015,-0.24
30-Apr-2015,1.12
31-May-2015,2.33
30-Jun-2015,-3.50
31-Jul-2015,7.80
31-Aug-2015,-3.96
30-Sep-2015,-3.79
31-Oct-2015,5.40
30-Nov-2015,-3.39
31-Dec-2015,-3.07
31-Jan-2016,-3.97
29-Feb-2016,-2.70
31-Mar-2016,-1.41
30-Apr-2016,3.34
31-May-2016,4.76
30-Jun-2016,-6.91
31-Jul-2016,1.96
31-Aug-2016,1.36
30-Sep-2016,-1.03
31-Oct-2016,-2.70
30-Nov-2016,0.73
31-Dec-2016,7.47
31-Jan-2017,-2.71
28-Feb-2017,-0.15
31-Mar-2017,4.82
30-Apr-2017,5.55
31-May-2017,5.36
30-Jun-2017,-4.00
31-Jul-2017,-1.07
