iShares Global Consumer Staples ETF,
,
Share Class Inception,12-Sep-2006
,
Month End Date,Monthly Total (NAV) Return
30-Sep-2006,--
31-Oct-2006,-1.88
30-Nov-2006,-0.52
31-Dec-2006,2.63
31-Jan-2007,3.25
28-Feb-2007,-2.04
31-Mar-2007,1.01
30-Apr-2007,0.70
31-May-2007,1.25
30-Jun-2007,-3.66
31-Jul-2007,-2.65
31-Aug-2007,7.93
30-Sep-2007,-4.35
31-Oct-2007,-1.18
30-Nov-2007,6.83
31-Dec-2007,-0.15
31-Jan-2008,-8.19
29-Feb-2008,-3.79
31-Mar-2008,5.50
30-Apr-2008,-2.87
31-May-2008,-0.51
30-Jun-2008,-8.27
31-Jul-2008,2.89
31-Aug-2008,10.32
30-Sep-2008,5.60
31-Oct-2008,4.69
30-Nov-2008,-1.63
31-Dec-2008,-4.63
31-Jan-2009,1.70
28-Feb-2009,-7.94
31-Mar-2009,-5.11
30-Apr-2009,-1.49
31-May-2009,-0.37
30-Jun-2009,0.15
31-Jul-2009,4.45
31-Aug-2009,0.29
30-Sep-2009,-0.77
31-Oct-2009,-0.04
30-Nov-2009,1.93
31-Dec-2009,2.96
31-Jan-2010,-0.52
28-Feb-2010,1.06
31-Mar-2010,1.20
30-Apr-2010,-2.76
31-May-2010,2.70
30-Jun-2010,0.32
31-Jul-2010,-1.28
31-Aug-2010,0.89
30-Sep-2010,-1.55
31-Oct-2010,1.50
30-Nov-2010,-0.59
31-Dec-2010,-1.66
31-Jan-2011,0.48
28-Feb-2011,0.71
31-Mar-2011,-0.69
30-Apr-2011,0.93
31-May-2011,4.39
30-Jun-2011,-2.66
31-Jul-2011,-2.98
31-Aug-2011,1.32
30-Sep-2011,4.97
31-Oct-2011,-2.99
30-Nov-2011,3.86
31-Dec-2011,1.92
31-Jan-2012,-4.55
29-Feb-2012,2.82
31-Mar-2012,7.44
30-Apr-2012,-0.12
31-May-2012,2.68
30-Jun-2012,-0.99
31-Jul-2012,0.31
31-Aug-2012,2.64
30-Sep-2012,0.69
31-Oct-2012,-0.37
30-Nov-2012,1.83
31-Dec-2012,-0.56
31-Jan-2013,4.93
28-Feb-2013,4.13
31-Mar-2013,2.30
30-Apr-2013,3.69
31-May-2013,4.31
30-Jun-2013,3.14
31-Jul-2013,5.84
31-Aug-2013,-2.91
30-Sep-2013,-1.50
31-Oct-2013,3.15
30-Nov-2013,4.07
31-Dec-2013,2.73
31-Jan-2014,-3.11
28-Feb-2014,2.15
31-Mar-2014,-2.08
30-Apr-2014,3.18
31-May-2014,1.51
30-Jun-2014,-1.29
31-Jul-2014,-1.67
31-Aug-2014,2.25
30-Sep-2014,4.73
31-Oct-2014,1.40
30-Nov-2014,7.14
31-Dec-2014,1.82
31-Jan-2015,6.45
28-Feb-2015,3.19
31-Mar-2015,-0.38
30-Apr-2015,-1.88
31-May-2015,3.08
30-Jun-2015,-2.50
31-Jul-2015,10.09
31-Aug-2015,-2.97
30-Sep-2015,1.33
31-Oct-2015,4.55
30-Nov-2015,-2.67
31-Dec-2015,0.42
31-Jan-2016,2.84
29-Feb-2016,-1.83
31-Mar-2016,-2.03
30-Apr-2016,0.58
31-May-2016,5.79
30-Jun-2016,0.70
31-Jul-2016,-1.88
31-Aug-2016,0.33
30-Sep-2016,-1.76
31-Oct-2016,-2.88
30-Nov-2016,-2.63
31-Dec-2016,5.04
31-Jan-2017,-2.88
28-Feb-2017,3.17
31-Mar-2017,1.84
30-Apr-2017,3.74
31-May-2017,5.11
30-Jun-2017,-5.12
31-Jul-2017,-3.29
31-Aug-2017,0.50
30-Sep-2017,0.30
31-Oct-2017,2.08
30-Nov-2017,4.52
31-Dec-2017,-1.05
31-Jan-2018,-1.83
28-Feb-2018,-3.44
31-Mar-2018,1.67
30-Apr-2018,-0.38
31-May-2018,-1.83
30-Jun-2018,5.26
31-Jul-2018,2.61
31-Aug-2018,2.01
30-Sep-2018,-0.04
31-Oct-2018,0.67
30-Nov-2018,-1.34
31-Dec-2018,-4.06
31-Jan-2019,1.92
28-Feb-2019,4.66
31-Mar-2019,4.44
30-Apr-2019,2.99
31-May-2019,-1.90
30-Jun-2019,3.01
31-Jul-2019,3.20
31-Aug-2019,4.37
30-Sep-2019,0.61
31-Oct-2019,-2.77
30-Nov-2019,2.57
31-Dec-2019,-1.73
31-Jan-2020,4.63
29-Feb-2020,-5.33
31-Mar-2020,-0.07
30-Apr-2020,-1.00
31-May-2020,1.08
30-Jun-2020,-2.97
31-Jul-2020,1.22
31-Aug-2020,-0.17
30-Sep-2020,1.80
31-Oct-2020,-2.08
30-Nov-2020,2.82
31-Dec-2020,-1.83
31-Jan-2021,-3.79
28-Feb-2021,-3.28
31-Mar-2021,8.54
30-Apr-2021,1.69
31-May-2021,3.14
30-Jun-2021,2.76
31-Jul-2021,3.17
31-Aug-2021,1.44
30-Sep-2021,-2.59
31-Oct-2021,-1.13
30-Nov-2021,3.59
31-Dec-2021,5.80
31-Jan-2022,0.42
28-Feb-2022,-4.16
31-Mar-2022,-3.48
30-Apr-2022,6.33
31-May-2022,-3.88
30-Jun-2022,0.38
