iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,
,
Share Class Inception,04-Dec-2015
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2015,--
31-Jan-2016,-0.09
29-Feb-2016,2.12
31-Mar-2016,3.06
30-Apr-2016,1.92
31-May-2016,-0.19
30-Jun-2016,3.62
31-Jul-2016,1.50
31-Aug-2016,1.92
30-Sep-2016,0.24
31-Oct-2016,-1.29
30-Nov-2016,-4.56
31-Dec-2016,1.76
31-Jan-2017,1.50
28-Feb-2017,1.97
31-Mar-2017,0.27
30-Apr-2017,1.73
31-May-2017,0.74
30-Jun-2017,-0.32
31-Jul-2017,1.19
31-Aug-2017,1.65
30-Sep-2017,-0.13
31-Oct-2017,0.26
30-Nov-2017,-0.01
31-Dec-2017,0.89
31-Jan-2018,-0.31
28-Feb-2018,-2.20
31-Mar-2018,0.38
30-Apr-2018,-1.84
31-May-2018,-1.23
30-Jun-2018,-1.12
31-Jul-2018,2.48
31-Aug-2018,-2.34
30-Sep-2018,2.06
31-Oct-2018,-2.58
30-Nov-2018,-0.59
31-Dec-2018,1.38
31-Jan-2019,5.02
28-Feb-2019,0.50
31-Mar-2019,1.46
30-Apr-2019,0.06
31-May-2019,0.25
30-Jun-2019,3.69
31-Jul-2019,0.70
31-Aug-2019,1.06
30-Sep-2019,-0.96
31-Oct-2019,0.14
30-Nov-2019,-0.68
31-Dec-2019,2.77
31-Jan-2020,1.01
29-Feb-2020,-1.11
31-Mar-2020,-13.56
30-Apr-2020,2.36
31-May-2020,5.67
30-Jun-2020,3.26
31-Jul-2020,3.58
31-Aug-2020,0.67
30-Sep-2020,-2.10
31-Oct-2020,-0.34
30-Nov-2020,3.92
31-Dec-2020,2.25
31-Jan-2021,-1.69
28-Feb-2021,-3.55
31-Mar-2021,-0.44
30-Apr-2021,2.19
31-May-2021,1.20
30-Jun-2021,0.65
31-Jul-2021,0.37
31-Aug-2021,1.00
30-Sep-2021,-2.48
31-Oct-2021,0.25
30-Nov-2021,-2.35
31-Dec-2021,2.21
31-Jan-2022,-3.87
28-Feb-2022,-6.65
31-Mar-2022,0.66
30-Apr-2022,-7.59
31-May-2022,0.13
30-Jun-2022,-7.23
