iShares MSCI EAFE ETF,
,
Share Class Inception,14-Aug-2001
,
Month End Date,Monthly Total (NAV) Return
31-Aug-2001,--
30-Sep-2001,-3.74
31-Oct-2001,0.56
30-Nov-2001,-0.01
31-Dec-2001,2.31
31-Jan-2002,-4.23
28-Feb-2002,-1.13
31-Mar-2002,2.38
30-Apr-2002,-0.43
31-May-2002,-3.62
30-Jun-2002,-3.08
31-Jul-2002,-7.06
31-Aug-2002,-1.39
30-Sep-2002,-9.47
31-Oct-2002,3.09
30-Nov-2002,3.29
31-Dec-2002,-3.67
31-Jan-2003,-7.97
28-Feb-2003,-5.57
31-Mar-2003,-1.55
30-Apr-2003,5.99
31-May-2003,1.75
30-Jun-2003,-0.43
31-Jul-2003,5.98
31-Aug-2003,2.57
30-Sep-2003,-1.47
31-Oct-2003,1.32
30-Nov-2003,0.23
31-Dec-2003,3.54
31-Jan-2004,0.39
29-Feb-2004,0.87
31-Mar-2004,1.58
30-Apr-2004,3.33
31-May-2004,1.41
30-Jun-2004,4.80
31-Jul-2004,-3.77
31-Aug-2004,-0.44
30-Sep-2004,0.06
31-Oct-2004,0.23
30-Nov-2004,2.74
31-Dec-2004,3.24
31-Jan-2005,-0.71
28-Feb-2005,1.79
31-Mar-2005,0.09
30-Apr-2005,-3.24
31-May-2005,2.98
30-Jun-2005,0.68
31-Jul-2005,3.33
31-Aug-2005,3.73
30-Sep-2005,2.84
31-Oct-2005,-0.80
30-Nov-2005,3.46
31-Dec-2005,5.53
31-Jan-2006,2.86
28-Feb-2006,1.59
31-Mar-2006,7.60
30-Apr-2006,-1.56
31-May-2006,-3.22
30-Jun-2006,1.47
31-Jul-2006,-2.16
31-Aug-2006,3.14
30-Sep-2006,2.45
31-Oct-2006,0.16
30-Nov-2006,0.93
31-Dec-2006,3.22
31-Jan-2007,2.44
28-Feb-2007,-0.90
31-Mar-2007,0.01
30-Apr-2007,1.37
31-May-2007,2.41
30-Jun-2007,-2.31
31-Jul-2007,-2.51
31-Aug-2007,3.66
30-Sep-2007,-3.17
31-Oct-2007,-0.91
30-Nov-2007,1.36
31-Dec-2007,-1.57
31-Jan-2008,-10.57
29-Feb-2008,-3.31
31-Mar-2008,1.43
