iShares MSCI South Korea ETF,
,
Share Class Inception,09-May-2000
,
Month End Date,Monthly Total (NAV) Return
31-May-2000,--
30-Jun-2000,7.70
31-Jul-2000,-11.85
31-Aug-2000,-1.90
30-Sep-2000,-5.35
31-Oct-2000,-13.39
30-Nov-2000,-8.38
31-Dec-2000,-8.27
31-Jan-2001,27.94
28-Feb-2001,-2.80
31-Mar-2001,-7.11
30-Apr-2001,8.75
31-May-2001,8.52
30-Jun-2001,-5.58
31-Jul-2001,-7.55
31-Aug-2001,-1.50
30-Sep-2001,-11.11
31-Oct-2001,13.91
30-Nov-2001,22.49
31-Dec-2001,9.55
31-Jan-2002,8.93
28-Feb-2002,8.36
31-Mar-2002,5.57
30-Apr-2002,-1.61
31-May-2002,-4.59
30-Jun-2002,-3.35
31-Jul-2002,0.34
31-Aug-2002,-1.01
30-Sep-2002,-13.42
31-Oct-2002,1.86
30-Nov-2002,11.53
31-Dec-2002,-12.71
31-Jan-2003,-7.56
28-Feb-2003,-8.42
31-Mar-2003,-10.06
30-Apr-2003,10.22
31-May-2003,1.59
30-Jun-2003,5.01
31-Jul-2003,13.88
31-Aug-2003,5.92
30-Sep-2003,-10.30
31-Oct-2003,5.23
30-Nov-2003,-1.86
31-Dec-2003,-0.07
31-Jan-2004,6.41
29-Feb-2004,2.07
31-Mar-2004,3.79
30-Apr-2004,-1.47
31-May-2004,-4.01
30-Jun-2004,-1.35
31-Jul-2004,-8.18
31-Aug-2004,8.51
30-Sep-2004,1.32
31-Oct-2004,-1.48
30-Nov-2004,7.10
31-Dec-2004,1.43
31-Jan-2005,7.82
28-Feb-2005,7.98
31-Mar-2005,-3.44
30-Apr-2005,-5.57
31-May-2005,7.77
30-Jun-2005,-0.64
31-Jul-2005,12.24
31-Aug-2005,-1.95
30-Sep-2005,10.08
31-Oct-2005,-4.00
30-Nov-2005,13.22
31-Dec-2005,10.66
31-Jan-2006,4.33
28-Feb-2006,-0.93
31-Mar-2006,3.89
30-Apr-2006,0.06
31-May-2006,-7.07
30-Jun-2006,-0.40
31-Jul-2006,-3.17
31-Aug-2006,2.72
30-Sep-2006,5.38
31-Oct-2006,-3.82
30-Nov-2006,3.30
31-Dec-2006,-0.17
31-Jan-2007,-2.90
28-Feb-2007,3.26
31-Mar-2007,-0.03
30-Apr-2007,2.88
31-May-2007,9.06
30-Jun-2007,0.62
31-Jul-2007,9.82
31-Aug-2007,0.59
30-Sep-2007,-1.19
31-Oct-2007,2.32
30-Nov-2007,-5.37
31-Dec-2007,-0.86
31-Jan-2008,-15.14
29-Feb-2008,0.48
31-Mar-2008,-1.92
30-Apr-2008,3.79
31-May-2008,-2.93
30-Jun-2008,-12.83
31-Jul-2008,0.29
31-Aug-2008,-5.84
30-Sep-2008,-2.48
31-Oct-2008,-11.69
30-Nov-2008,-15.86
31-Dec-2008,11.91
31-Jan-2009,5.16
28-Feb-2009,-18.19
31-Mar-2009,15.98
30-Apr-2009,14.64
31-May-2009,-4.43
30-Jun-2009,-2.05
31-Jul-2009,15.26
31-Aug-2009,-0.27
30-Sep-2009,7.04
31-Oct-2009,-8.54
30-Nov-2009,-0.50
31-Dec-2009,10.16
31-Jan-2010,-3.14
28-Feb-2010,-1.61
31-Mar-2010,6.55
30-Apr-2010,4.16
31-May-2010,-4.18
30-Jun-2010,0.52
31-Jul-2010,0.29
31-Aug-2010,-0.97
30-Sep-2010,2.76
31-Oct-2010,0.28
30-Nov-2010,2.21
31-Dec-2010,3.87
31-Jan-2011,5.49
28-Feb-2011,-8.36
31-Mar-2011,9.83
30-Apr-2011,0.70
31-May-2011,-0.91
30-Jun-2011,-2.43
31-Jul-2011,-0.86
31-Aug-2011,-11.22
30-Sep-2011,-4.08
31-Oct-2011,5.33
30-Nov-2011,-3.30
31-Dec-2011,-0.71
31-Jan-2012,6.11
29-Feb-2012,2.74
31-Mar-2012,3.64
30-Apr-2012,-0.52
31-May-2012,-4.73
30-Jun-2012,-2.62
31-Jul-2012,0.66
31-Aug-2012,1.16
30-Sep-2012,6.13
31-Oct-2012,-2.73
30-Nov-2012,1.83
31-Dec-2012,6.10
31-Jan-2013,-4.51
28-Feb-2013,6.14
31-Mar-2013,-6.61
30-Apr-2013,-1.66
31-May-2013,8.42
30-Jun-2013,-3.36
31-Jul-2013,6.50
31-Aug-2013,3.79
30-Sep-2013,2.04
31-Oct-2013,2.56
30-Nov-2013,4.89
31-Dec-2013,1.46
31-Jan-2014,-3.27
28-Feb-2014,-0.04
31-Mar-2014,-3.38
30-Apr-2014,1.61
31-May-2014,2.95
30-Jun-2014,-0.11
31-Jul-2014,3.44
31-Aug-2014,-1.08
30-Sep-2014,-1.84
31-Oct-2014,-3.81
30-Nov-2014,0.33
31-Dec-2014,1.77
31-Jan-2015,7.48
28-Feb-2015,0.06
31-Mar-2015,3.49
30-Apr-2015,3.65
31-May-2015,-2.80
30-Jun-2015,-4.52
31-Jul-2015,-3.67
31-Aug-2015,-2.57
30-Sep-2015,3.02
31-Oct-2015,9.10
30-Nov-2015,-5.13
31-Dec-2015,-2.07
31-Jan-2016,-2.75
29-Feb-2016,-3.41
31-Mar-2016,5.63
30-Apr-2016,0.54
31-May-2016,0.21
30-Jun-2016,0.96
31-Jul-2016,3.86
31-Aug-2016,4.23
30-Sep-2016,-0.36
31-Oct-2016,-3.37
30-Nov-2016,-0.15
31-Dec-2016,2.50
31-Jan-2017,2.16
28-Feb-2017,2.14
31-Mar-2017,5.55
30-Apr-2017,2.37
31-May-2017,9.30
30-Jun-2017,-2.61
31-Jul-2017,-1.05
31-Aug-2017,-1.81
30-Sep-2017,2.09
31-Oct-2017,10.56
30-Nov-2017,1.67
31-Dec-2017,-0.12
31-Jan-2018,0.86
28-Feb-2018,-2.99
31-Mar-2018,3.73
30-Apr-2018,4.22
31-May-2018,-5.42
30-Jun-2018,-4.10
31-Jul-2018,-2.38
31-Aug-2018,4.36
30-Sep-2018,0.82
31-Oct-2018,-12.82
30-Nov-2018,0.97
31-Dec-2018,1.88
31-Jan-2019,6.16
28-Feb-2019,-0.28
31-Mar-2019,-3.05
30-Apr-2019,1.80
31-May-2019,-8.17
30-Jun-2019,6.36
31-Jul-2019,-5.79
31-Aug-2019,-1.65
30-Sep-2019,5.67
31-Oct-2019,2.39
30-Nov-2019,1.06
31-Dec-2019,4.20
31-Jan-2020,-2.66
29-Feb-2020,-1.01
31-Mar-2020,-10.03
30-Apr-2020,2.85
31-May-2020,2.33
30-Jun-2020,2.84
31-Jul-2020,1.27
31-Aug-2020,1.49
30-Sep-2020,6.89
31-Oct-2020,1.38
30-Nov-2020,12.21
31-Dec-2020,8.24
31-Jan-2021,2.97
28-Feb-2021,-1.04
31-Mar-2021,3.65
30-Apr-2021,-0.45
31-May-2021,1.41
30-Jun-2021,4.39
31-Jul-2021,-2.72
31-Aug-2021,-1.76
30-Sep-2021,-5.86
31-Oct-2021,-5.22
30-Nov-2021,0.92
31-Dec-2021,2.14
31-Jan-2022,-4.06
28-Feb-2022,-2.88
31-Mar-2022,-4.94
30-Apr-2022,-1.14
31-May-2022,1.15
30-Jun-2022,-10.78
