iShares S&P Mid-Cap ETF,
,
Share Class Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
31-May-2000,--
30-Jun-2000,-3.57
31-Jul-2000,5.26
31-Aug-2000,11.36
30-Sep-2000,5.96
31-Oct-2000,1.00
30-Nov-2000,-8.94
31-Dec-2000,1.82
31-Jan-2001,3.42
28-Feb-2001,-1.21
31-Mar-2001,-0.64
30-Apr-2001,6.14
31-May-2001,3.12
30-Jun-2001,-0.66
31-Jul-2001,-1.33
31-Aug-2001,-6.74
30-Sep-2001,-6.67
31-Oct-2001,2.14
30-Nov-2001,4.22
31-Dec-2001,6.89
31-Jan-2002,0.45
28-Feb-2002,-1.73
31-Mar-2002,3.61
30-Apr-2002,-1.08
31-May-2002,-6.76
30-Jun-2002,-6.57
31-Jul-2002,-6.85
31-Aug-2002,-0.71
30-Sep-2002,-6.80
31-Oct-2002,2.12
30-Nov-2002,4.57
31-Dec-2002,-4.42
31-Jan-2003,-6.76
28-Feb-2003,-5.72
31-Mar-2003,1.25
30-Apr-2003,3.63
31-May-2003,3.93
30-Jun-2003,-1.62
31-Jul-2003,7.15
31-Aug-2003,4.63
30-Sep-2003,-5.86
31-Oct-2003,2.57
30-Nov-2003,1.47
31-Dec-2003,-2.35
31-Jan-2004,1.14
29-Feb-2004,1.00
31-Mar-2004,1.48
30-Apr-2004,2.22
31-May-2004,3.30
30-Jun-2004,4.75
31-Jul-2004,-5.17
31-Aug-2004,-1.11
30-Sep-2004,0.36
31-Oct-2004,-1.47
30-Nov-2004,1.99
31-Dec-2004,3.11
31-Jan-2005,-1.43
28-Feb-2005,0.88
31-Mar-2005,1.47
30-Apr-2005,-4.79
31-May-2005,9.22
30-Jun-2005,1.82
31-Jul-2005,5.54
31-Aug-2005,0.05
30-Sep-2005,-0.90
31-Oct-2005,0.00
30-Nov-2005,5.85
31-Dec-2005,1.59
31-Jan-2006,2.75
28-Feb-2006,0.96
31-Mar-2006,6.76
30-Apr-2006,-4.74
31-May-2006,-3.87
30-Jun-2006,1.44
31-Jul-2006,-5.81
31-Aug-2006,1.47
30-Sep-2006,3.01
31-Oct-2006,0.40
30-Nov-2006,1.15
31-Dec-2006,-0.35
31-Jan-2007,5.43
28-Feb-2007,-0.99
31-Mar-2007,-1.16
30-Apr-2007,-0.02
31-May-2007,5.59
30-Jun-2007,-4.62
31-Jul-2007,-5.25
31-Aug-2007,6.27
30-Sep-2007,-5.70
31-Oct-2007,-2.03
30-Nov-2007,-0.39
31-Dec-2007,0.52
31-Jan-2008,-7.68
29-Feb-2008,-6.37
31-Mar-2008,1.41
30-Apr-2008,4.31
31-May-2008,4.06
30-Jun-2008,-7.63
31-Jul-2008,0.14
31-Aug-2008,11.07
30-Sep-2008,-2.50
31-Oct-2008,-6.36
30-Nov-2008,-8.04
31-Dec-2008,-2.11
31-Jan-2009,1.72
28-Feb-2009,-10.09
31-Mar-2009,0.26
30-Apr-2009,8.58
31-May-2009,-5.71
30-Jun-2009,-0.39
31-Jul-2009,5.73
31-Aug-2009,2.90
30-Sep-2009,0.97
31-Oct-2009,-6.77
30-Nov-2009,2.70
31-Dec-2009,8.15
31-Jan-2010,-2.09
28-Feb-2010,4.41
31-Mar-2010,4.49
30-Apr-2010,2.79
31-May-2010,2.99
30-Jun-2010,-7.21
31-Jul-2010,-0.27
31-Aug-2010,-3.33
30-Sep-2010,2.28
31-Oct-2010,2.18
30-Nov-2010,5.22
31-Dec-2010,-0.32
31-Jan-2011,4.85
28-Feb-2011,2.45
31-Mar-2011,0.86
30-Apr-2011,-2.94
31-May-2011,1.31
30-Jun-2011,-2.51
31-Jul-2011,-5.99
31-Aug-2011,-4.75
30-Sep-2011,-1.47
31-Oct-2011,4.17
30-Nov-2011,2.95
31-Dec-2011,-0.18
31-Jan-2012,2.82
29-Feb-2012,2.77
31-Mar-2012,6.26
30-Apr-2012,-0.73
31-May-2012,0.38
30-Jun-2012,-3.60
31-Jul-2012,-2.64
31-Aug-2012,5.36
30-Sep-2012,1.30
31-Oct-2012,-0.52
30-Nov-2012,1.58
31-Dec-2012,2.68
31-Jan-2013,6.72
28-Feb-2013,2.87
31-Mar-2013,2.88
30-Apr-2013,1.06
31-May-2013,10.71
30-Jun-2013,2.81
31-Jul-2013,8.30
31-Aug-2013,-3.02
30-Sep-2013,0.21
31-Oct-2013,2.41
30-Nov-2013,4.98
31-Dec-2013,5.29
31-Jan-2014,0.35
28-Feb-2014,2.26
31-Mar-2014,-3.10
30-Apr-2014,-1.54
31-May-2014,1.32
30-Jun-2014,2.68
31-Jul-2014,-2.83
31-Aug-2014,4.40
30-Sep-2014,2.01
31-Oct-2014,3.09
30-Nov-2014,4.89
31-Dec-2014,5.14
31-Jan-2015,3.91
28-Feb-2015,4.57
31-Mar-2015,3.82
30-Apr-2015,-4.61
31-May-2015,4.87
30-Jun-2015,-1.73
31-Jul-2015,4.80
31-Aug-2015,-2.20
30-Sep-2015,-2.31
31-Oct-2015,3.97
30-Nov-2015,-0.21
31-Dec-2015,-4.55
31-Jan-2016,-3.00
29-Feb-2016,0.42
31-Mar-2016,0.76
30-Apr-2016,2.03
31-May-2016,7.76
30-Jun-2016,-2.31
31-Jul-2016,2.16
31-Aug-2016,1.63
30-Sep-2016,-2.42
31-Oct-2016,-2.13
30-Nov-2016,11.23
31-Dec-2016,4.25
31-Jan-2017,-3.01
28-Feb-2017,1.31
31-Mar-2017,0.39
30-Apr-2017,2.85
31-May-2017,-0.04
30-Jun-2017,-1.38
31-Jul-2017,-3.08
31-Aug-2017,-0.88
30-Sep-2017,5.05
31-Oct-2017,4.65
30-Nov-2017,4.71
31-Dec-2017,-2.74
31-Jan-2018,-0.63
28-Feb-2018,-0.69
31-Mar-2018,2.54
30-Apr-2018,1.35
31-May-2018,3.87
30-Jun-2018,2.84
31-Jul-2018,1.13
31-Aug-2018,6.04
30-Sep-2018,-1.15
31-Oct-2018,-7.72
30-Nov-2018,0.11
31-Dec-2018,-8.05
31-Jan-2019,6.48
28-Feb-2019,6.96
31-Mar-2019,-0.45
30-Apr-2019,4.91
31-May-2019,-6.53
30-Jun-2019,6.28
31-Jul-2019,2.86
31-Aug-2019,-1.92
30-Sep-2019,2.97
31-Oct-2019,-1.04
30-Nov-2019,4.87
31-Dec-2019,-1.15
31-Jan-2020,2.27
29-Feb-2020,-6.01
31-Mar-2020,-16.07
30-Apr-2020,6.71
31-May-2020,5.80
30-Jun-2020,-2.35
31-Jul-2020,0.39
31-Aug-2020,0.43
30-Sep-2020,-0.33
31-Oct-2020,4.34
30-Nov-2020,8.91
31-Dec-2020,1.60
31-Jan-2021,2.07
28-Feb-2021,5.89
31-Mar-2021,6.39
30-Apr-2021,2.95
31-May-2021,0.07
30-Jun-2021,1.90
31-Jul-2021,2.50
31-Aug-2021,2.57
30-Sep-2021,-2.93
31-Oct-2021,1.86
30-Nov-2021,2.73
31-Dec-2021,2.46
31-Jan-2022,-4.30
28-Feb-2022,-1.73
31-Mar-2022,-2.16
30-Apr-2022,-1.84
31-May-2022,-0.18
30-Jun-2022,-5.76
