iShares S&P/ASX 20 ETF,
,
Share Class Inception,06-Dec-2010
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2010,--
31-Jan-2011,0.60
28-Feb-2011,2.37
31-Mar-2011,0.96
30-Apr-2011,0.74
31-May-2011,-2.82
30-Jun-2011,-1.30
31-Jul-2011,-5.14
31-Aug-2011,-1.38
30-Sep-2011,-5.31
31-Oct-2011,6.93
30-Nov-2011,-3.75
31-Dec-2011,-0.98
31-Jan-2012,4.80
29-Feb-2012,0.59
31-Mar-2012,1.28
30-Apr-2012,1.93
31-May-2012,-6.53
30-Jun-2012,1.94
31-Jul-2012,5.47
31-Aug-2012,2.49
30-Sep-2012,2.12
31-Oct-2012,2.88
30-Nov-2012,0.81
31-Dec-2012,3.40
31-Jan-2013,4.93
28-Feb-2013,5.92
31-Mar-2013,-2.35
30-Apr-2013,6.19
31-May-2013,-5.49
30-Jun-2013,-1.50
31-Jul-2013,5.94
31-Aug-2013,2.26
30-Sep-2013,1.66
31-Oct-2013,4.52
30-Nov-2013,-0.86
31-Dec-2013,0.34
31-Jan-2014,-3.48
28-Feb-2014,4.88
31-Mar-2014,0.76
30-Apr-2014,2.02
31-May-2014,0.74
30-Jun-2014,-1.99
31-Jul-2014,4.41
31-Aug-2014,0.37
30-Sep-2014,-5.43
31-Oct-2014,5.24
30-Nov-2014,-3.64
31-Dec-2014,1.76
31-Jan-2015,3.21
28-Feb-2015,6.79
31-Mar-2015,0.15
30-Apr-2015,-2.66
31-May-2015,-0.81
30-Jun-2015,-4.45
31-Jul-2015,4.39
31-Aug-2015,-9.00
30-Sep-2015,-3.81
31-Oct-2015,3.19
30-Nov-2015,-0.74
31-Dec-2015,3.21
31-Jan-2016,-6.76
29-Feb-2016,-4.66
31-Mar-2016,5.33
30-Apr-2016,3.71
31-May-2016,2.62
30-Jun-2016,-3.64
31-Jul-2016,5.70
31-Aug-2016,-2.05
30-Sep-2016,1.17
31-Oct-2016,-0.98
30-Nov-2016,4.32
31-Dec-2016,4.43
31-Jan-2017,-0.61
28-Feb-2017,2.42
31-Mar-2017,3.09
30-Apr-2017,0.84
31-May-2017,-4.81
30-Jun-2017,-0.11
31-Jul-2017,1.05
31-Aug-2017,-0.83
30-Sep-2017,0.10
31-Oct-2017,3.06
30-Nov-2017,0.96
31-Dec-2017,1.93
31-Jan-2018,-0.27
28-Feb-2018,0.74
31-Mar-2018,-4.69
30-Apr-2018,3.64
31-May-2018,1.14
30-Jun-2018,3.98
31-Jul-2018,1.59
31-Aug-2018,0.91
30-Sep-2018,-1.03
31-Oct-2018,-5.34
30-Nov-2018,-1.62
31-Dec-2018,0.71
31-Jan-2019,2.50
28-Feb-2019,6.56
31-Mar-2019,0.55
30-Apr-2019,2.01
31-May-2019,2.75
30-Jun-2019,4.10
31-Jul-2019,1.74
31-Aug-2019,-2.90
30-Sep-2019,2.20
31-Oct-2019,-0.85
30-Nov-2019,2.64
31-Dec-2019,-1.97
31-Jan-2020,5.70
29-Feb-2020,-6.29
31-Mar-2020,-19.23
30-Apr-2020,5.74
31-May-2020,2.60
30-Jun-2020,3.44
31-Jul-2020,0.19
31-Aug-2020,1.42
30-Sep-2020,-3.58
31-Oct-2020,2.03
30-Nov-2020,10.28
31-Dec-2020,2.31
31-Jan-2021,1.55
28-Feb-2021,2.49
31-Mar-2021,2.08
30-Apr-2021,3.64
31-May-2021,3.69
30-Jun-2021,1.64
31-Jul-2021,1.26
31-Aug-2021,0.77
30-Sep-2021,-2.46
31-Oct-2021,0.01
30-Nov-2021,-1.42
31-Dec-2021,2.72
31-Jan-2022,-5.24
28-Feb-2022,2.57
31-Mar-2022,8.01
30-Apr-2022,-1.13
31-May-2022,-1.73
30-Jun-2022,-8.13
