iShares Treasury ETF,
,
Share Class Inception,12-Mar-2012
,
Month End Date,Monthly Total (NAV) Return
31-Mar-2012,--
30-Apr-2012,2.07
31-May-2012,3.72
30-Jun-2012,-0.55
31-Jul-2012,0.04
31-Aug-2012,0.37
30-Sep-2012,0.57
31-Oct-2012,-0.35
30-Nov-2012,-0.03
31-Dec-2012,-0.18
31-Jan-2013,-0.48
28-Feb-2013,0.60
31-Mar-2013,-0.23
30-Apr-2013,1.60
31-May-2013,-0.53
30-Jun-2013,-1.25
31-Jul-2013,0.66
31-Aug-2013,-0.55
30-Sep-2013,0.50
31-Oct-2013,-0.33
30-Nov-2013,-0.38
31-Dec-2013,0.42
31-Jan-2014,1.15
28-Feb-2014,0.17
31-Mar-2014,-0.16
30-Apr-2014,0.91
31-May-2014,1.44
30-Jun-2014,0.87
31-Jul-2014,0.31
31-Aug-2014,1.09
30-Sep-2014,-0.46
31-Oct-2014,1.13
30-Nov-2014,1.48
31-Dec-2014,1.70
31-Jan-2015,1.93
28-Feb-2015,0.25
31-Mar-2015,0.81
30-Apr-2015,-1.49
31-May-2015,-0.16
30-Jun-2015,-1.15
31-Jul-2015,1.40
31-Aug-2015,0.72
30-Sep-2015,0.30
31-Oct-2015,0.23
30-Nov-2015,-1.16
31-Dec-2015,0.41
31-Jan-2016,1.37
29-Feb-2016,1.28
31-Mar-2016,-0.39
30-Apr-2016,0.10
31-May-2016,1.35
30-Jun-2016,1.78
31-Jul-2016,0.81
31-Aug-2016,0.34
30-Sep-2016,-0.41
31-Oct-2016,-1.86
30-Nov-2016,-1.89
31-Dec-2016,-0.21
31-Jan-2017,0.57
28-Feb-2017,0.12
31-Mar-2017,0.45
30-Apr-2017,0.81
31-May-2017,1.31
30-Jun-2017,-1.10
31-Jul-2017,0.09
31-Aug-2017,-0.08
30-Sep-2017,-0.50
31-Oct-2017,1.23
30-Nov-2017,1.06
31-Dec-2017,-0.76
31-Jan-2018,-0.43
28-Feb-2018,0.24
31-Mar-2018,1.15
30-Apr-2018,-0.57
31-May-2018,0.79
30-Jun-2018,0.49
31-Jul-2018,0.10
31-Aug-2018,0.91
30-Sep-2018,-0.62
31-Oct-2018,0.50
30-Nov-2018,0.30
31-Dec-2018,1.90
31-Jan-2019,0.69
28-Feb-2019,1.01
31-Mar-2019,2.12
30-Apr-2019,0.18
31-May-2019,2.07
30-Jun-2019,1.08
31-Jul-2019,0.95
31-Aug-2019,1.92
30-Sep-2019,-0.68
31-Oct-2019,-0.69
30-Nov-2019,0.85
31-Dec-2019,-2.08
31-Jan-2020,2.76
29-Feb-2020,1.00
31-Mar-2020,0.22
30-Apr-2020,-0.44
31-May-2020,0.08
30-Jun-2020,0.11
31-Jul-2020,0.32
31-Aug-2020,-0.83
30-Sep-2020,1.26
31-Oct-2020,0.10
30-Nov-2020,-0.34
31-Dec-2020,-0.38
31-Jan-2021,-0.67
28-Feb-2021,-4.22
31-Mar-2021,0.98
30-Apr-2021,0.56
31-May-2021,0.29
30-Jun-2021,0.97
31-Jul-2021,1.99
31-Aug-2021,0.20
30-Sep-2021,-1.82
31-Oct-2021,-3.85
30-Nov-2021,2.50
31-Dec-2021,-0.04
31-Jan-2022,-1.04
28-Feb-2022,-1.34
31-Mar-2022,-4.04
30-Apr-2022,-1.53
31-May-2022,-1.00
30-Jun-2022,-1.33
