Date,Index Level,Close,"Cash Distribution (Cents-Per-Unit, AUD)",Volume
12-Jul-2022,239.05,88.95,--,"7,663,926.00"
11-Jul-2022,244.86,89.45,--,"7,669,726.00"
08-Jul-2022,245.73,91.04,--,"7,669,726.00"
07-Jul-2022,244.97,91.72,--,"7,669,726.00"
06-Jul-2022,243.52,90.05,--,"7,669,726.00"
05-Jul-2022,246.79,90.83,--,"7,676,919.00"
04-Jul-2022,242.50,90.41,--,"7,676,919.00"
01-Jul-2022,245.36,91.51,71.68,"7,676,919.00"
30-Jun-2022,244.30,91.76,--,"7,671,017.00"
29-Jun-2022,248.59,92.55,--,"7,671,017.00"
28-Jun-2022,251.68,92.41,--,"7,676,817.00"
27-Jun-2022,250.79,92.95,--,"7,682,617.00"
24-Jun-2022,245.38,92.61,--,"7,694,217.00"
23-Jun-2022,241.25,90.57,--,"7,700,017.00"
22-Jun-2022,239.38,90.06,--,"7,705,817.00"
21-Jun-2022,244.55,91.18,--,"7,711,617.00"
20-Jun-2022,241.58,89.96,--,"7,711,617.00"
17-Jun-2022,245.09,90.82,--,"7,711,617.00"
16-Jun-2022,242.93,89.41,--,"7,717,417.00"
15-Jun-2022,246.68,92.74,--,"7,723,217.00"
14-Jun-2022,247.66,92.34,--,"7,734,817.00"
10-Jun-2022,253.10,92.25,--,"7,734,817.00"
09-Jun-2022,252.54,92.25,--,"7,740,617.00"
08-Jun-2022,250.19,93.96,--,"7,746,417.00"
07-Jun-2022,243.35,92.00,--,"7,746,417.00"
06-Jun-2022,246.08,91.32,--,"7,752,217.00"
03-Jun-2022,241.45,89.98,--,"7,758,017.00"
02-Jun-2022,240.68,91.85,--,"7,758,017.00"
01-Jun-2022,245.76,90.53,--,"7,763,817.00"
31-May-2022,248.67,91.37,--,"7,769,617.00"
30-May-2022,243.65,89.23,--,"7,769,617.00"
27-May-2022,238.25,89.80,--,"7,769,617.00"
26-May-2022,233.01,88.98,--,"7,775,417.00"
25-May-2022,234.41,87.26,--,"7,775,417.00"
24-May-2022,234.31,86.59,--,"7,781,217.00"
23-May-2022,237.94,88.55,--,"7,781,217.00"
20-May-2022,242.24,89.14,--,"7,781,217.00"
19-May-2022,234.79,88.64,--,"7,781,217.00"
18-May-2022,243.51,87.66,--,"7,781,217.00"
17-May-2022,242.10,90.43,--,"7,787,017.00"
16-May-2022,237.01,88.52,--,"7,792,817.00"
13-May-2022,237.40,89.47,--,"7,787,017.00"
12-May-2022,--,86.68,--,"7,787,017.00"
11-May-2022,235.76,85.56,--,"7,787,017.00"
10-May-2022,235.83,86.67,--,"7,787,017.00"
09-May-2022,237.93,85.22,--,"7,787,017.00"
06-May-2022,235.59,86.82,--,"7,787,017.00"
05-May-2022,242.70,87.98,--,"7,787,017.00"
04-May-2022,242.57,91.90,--,"7,787,017.00"
03-May-2022,245.95,91.63,--,"7,781,217.00"
02-May-2022,249.21,91.60,--,"7,781,217.00"
29-Apr-2022,247.80,90.53,--,"7,769,617.00"
28-Apr-2022,237.10,88.94,--,"7,769,617.00"
27-Apr-2022,233.18,87.12,--,"7,763,817.00"
26-Apr-2022,234.73,85.68,--,"7,763,817.00"
22-Apr-2022,236.45,87.04,--,"7,763,817.00"
21-Apr-2022,233.71,85.57,--,"7,763,817.00"
20-Apr-2022,234.72,87.18,--,"7,769,617.00"
19-Apr-2022,237.00,88.75,--,"7,769,617.00"
14-Apr-2022,241.47,89.06,--,"7,763,817.00"
13-Apr-2022,241.82,90.86,--,"7,734,817.00"
12-Apr-2022,236.15,88.08,--,"7,734,817.00"
11-Apr-2022,237.49,88.94,--,"7,729,017.00"
08-Apr-2022,242.84,90.19,--,"7,711,617.00"
07-Apr-2022,243.27,90.39,--,"7,711,617.00"
06-Apr-2022,245.18,90.66,--,"7,705,817.00"
05-Apr-2022,247.66,91.28,--,"7,705,817.00"
04-Apr-2022,250.08,94.32,--,"7,700,017.00"
01-Apr-2022,247.96,92.69,--,"7,688,417.00"
31-Mar-2022,248.94,91.27,--,"7,688,417.00"
30-Mar-2022,250.66,93.24,--,"7,688,417.00"
29-Mar-2022,248.16,94.23,--,"7,676,817.00"
28-Mar-2022,245.94,92.75,--,"7,676,817.00"
25-Mar-2022,244.58,91.76,--,"7,665,217.00"
24-Mar-2022,248.60,92.74,--,"7,659,417.00"
23-Mar-2022,252.22,92.92,--,"7,659,417.00"
22-Mar-2022,250.69,94.43,--,"7,659,417.00"
21-Mar-2022,246.28,92.11,--,"7,659,417.00"
18-Mar-2022,249.42,95.00,--,"7,653,617.00"
17-Mar-2022,251.32,93.13,--,"7,653,617.00"
16-Mar-2022,241.66,95.88,--,"7,647,817.00"
15-Mar-2022,226.54,86.54,--,"7,630,417.00"
14-Mar-2022,235.59,85.90,--,"7,607,217.00"
11-Mar-2022,241.90,87.70,--,"7,584,017.00"
10-Mar-2022,245.86,89.44,--,"7,578,217.00"
09-Mar-2022,241.86,92.71,--,"7,566,617.00"
08-Mar-2022,243.43,90.90,--,"7,566,617.00"
07-Mar-2022,245.75,90.03,--,"7,566,617.00"
