Date,Costs,Volume
12-Jul-22,38.09,"13,679,665.00"
11-Jul-22,38.59,"13,679,665.00"
8-Jul-22,38.31,"13,679,665.00"
7-Jul-22,38.46,"13,679,665.00"
6-Jul-22,38.18,"13,679,665.00"
5-Jul-22,37.98,"13,723,721.00"
4-Jul-22,37.54,"13,723,721.00"
1-Jul-22,37.91,"13,723,721.00"
30-Jun-22,37.41,"13,673,749.00"
29-Jun-22,37.8,"13,508,749.00"
28-Jun-22,37.59,"13,123,749.00"
27-Jun-22,38.21,"13,123,749.00"
24-Jun-22,38.22,"13,123,749.00"
23-Jun-22,37.3,"13,123,749.00"
22-Jun-22,36.89,"12,903,749.00"
21-Jun-22,36.65,"12,408,749.00"
20-Jun-22,35.98,"12,408,749.00"
17-Jun-22,36.2,"12,408,749.00"
16-Jun-22,35.84,"12,408,749.00"
15-Jun-22,36.93,"12,353,749.00"
14-Jun-22,36.67,"12,353,749.00"
10-Jun-22,37.36,"12,353,749.00"
9-Jun-22,38.16,"12,133,749.00"
8-Jun-22,38.5,"12,133,749.00"
7-Jun-22,38.73,"12,133,749.00"
6-Jun-22,38.49,"12,133,749.00"
3-Jun-22,38.33,"11,968,749.00"
2-Jun-22,38.91,"11,968,749.00"
1-Jun-22,38.48,"11,858,749.00"
31-May-22,38.87,"11,858,749.00"
30-May-22,39.11,"11,858,749.00"
27-May-22,39.19,"11,858,749.00"
26-May-22,38.65,"11,858,749.00"
25-May-22,38.02,"11,693,749.00"
24-May-22,37.78,"11,638,749.00"
23-May-22,38.01,"11,638,749.00"
20-May-22,37.69,"11,638,749.00"
19-May-22,37.55,"11,583,749.00"
18-May-22,38.01,"11,418,749.00"
17-May-22,39.35,"9,933,749.00"
16-May-22,38.95,"9,933,749.00"
13-May-22,39.27,"9,933,749.00"
12-May-22,38.57,"9,933,749.00"
11-May-22,38.11,"9,933,749.00"
10-May-22,38.98,"9,878,749.00"
9-May-22,38.59,"9,878,749.00"
6-May-22,39.18,"9,823,749.00"
5-May-22,39.33,"9,823,749.00"
4-May-22,40.64,"9,823,749.00"
3-May-22,40,"9,823,749.00"
2-May-22,40.13,"9,823,749.00"
29-Apr-22,39.7,"9,823,749.00"
28-Apr-22,40.8,"9,823,749.00"
27-Apr-22,39.86,"9,823,749.00"
26-Apr-22,39.59,"9,823,749.00"
22-Apr-22,40.04,"9,823,749.00"
21-Apr-22,40.34,"9,823,749.00"
20-Apr-22,40.41,"9,823,749.00"
19-Apr-22,40.71,"9,823,749.00"
14-Apr-22,40.15,"9,823,749.00"
13-Apr-22,40.62,"9,768,749.00"
12-Apr-22,39.85,"9,768,749.00"
11-Apr-22,40.38,"9,768,749.00"
8-Apr-22,40.93,"9,768,749.00"
7-Apr-22,40.96,"9,768,749.00"
