Date,Costs,Volume
13-Jul-22,28.4,"890,033.00"
12-Jul-22,28.33,"890,033.00"
11-Jul-22,28.22,"890,033.00"
8-Jul-22,28.47,"890,033.00"
7-Jul-22,28.43,"890,033.00"
6-Jul-22,28.33,"890,033.00"
5-Jul-22,28.31,"890,951.00"
4-Jul-22,28.26,"890,951.00"
1-Jul-22,27.95,"890,951.00"
30-Jun-22,28.5,"888,338.00"
29-Jun-22,28.96,"888,338.00"
28-Jun-22,29.21,"888,338.00"
27-Jun-22,29.07,"888,338.00"
24-Jun-22,28.83,"888,338.00"
23-Jun-22,28.59,"888,338.00"
22-Jun-22,28.34,"888,338.00"
21-Jun-22,28.37,"888,338.00"
20-Jun-22,28.13,"888,338.00"
17-Jun-22,28.18,"888,338.00"
16-Jun-22,28.37,"888,338.00"
15-Jun-22,28.39,"888,338.00"
14-Jun-22,28.61,"888,338.00"
10-Jun-22,29.42,"888,338.00"
9-Jun-22,29.82,"888,338.00"
8-Jun-22,30.17,"888,338.00"
7-Jun-22,29.98,"888,338.00"
6-Jun-22,30.5,"888,338.00"
3-Jun-22,30.65,"888,338.00"
2-Jun-22,30.5,"888,338.00"
1-Jun-22,30.8,"888,338.00"
31-May-22,30.67,"888,338.00"
30-May-22,30.93,"888,338.00"
27-May-22,30.58,"888,338.00"
26-May-22,30.39,"888,338.00"
25-May-22,30.72,"888,338.00"
24-May-22,30.56,"888,338.00"
23-May-22,30.72,"888,338.00"
20-May-22,30.73,"888,338.00"
19-May-22,30.38,"888,338.00"
18-May-22,30.85,"888,338.00"
17-May-22,30.66,"888,338.00"
16-May-22,30.68,"888,338.00"
13-May-22,30.48,"888,338.00"
12-May-22,30.03,"888,338.00"
11-May-22,30.47,"888,338.00"
10-May-22,30.41,"888,338.00"
9-May-22,30.7,"888,338.00"
6-May-22,30.98,"888,338.00"
5-May-22,31.53,"888,338.00"
4-May-22,31.32,"888,338.00"
3-May-22,31.31,"888,338.00"
2-May-22,31.44,"888,338.00"
29-Apr-22,31.87,"888,338.00"
28-Apr-22,31.5,"888,338.00"
27-Apr-22,31.26,"888,338.00"
26-Apr-22,31.52,"888,338.00"
22-Apr-22,31.94,"888,338.00"
21-Apr-22,32.23,"888,338.00"
20-Apr-22,32,"888,338.00"
19-Apr-22,31.83,"928,338.00"
14-Apr-22,31.68,"928,338.00"
13-Apr-22,31.54,"928,338.00"
12-Apr-22,31.44,"928,338.00"
11-Apr-22,31.51,"928,338.00"
8-Apr-22,31.37,"928,338.00"
7-Apr-22,31.21,"928,338.00"
6-Apr-22,31.24,"928,338.00"
5-Apr-22,31.38,"928,338.00"
4-Apr-22,31.31,"928,338.00"
1-Apr-22,31.25,"928,338.00"
31-Mar-22,31.43,"928,338.00"
30-Mar-22,31.49,"928,338.00"
29-Mar-22,31.29,"928,338.00"
28-Mar-22,31.06,"928,338.00"
25-Mar-22,31.1,"928,338.00"
24-Mar-22,31,"928,338.00"
23-Mar-22,30.95,"928,338.00"
22-Mar-22,30.87,"928,338.00"
21-Mar-22,30.76,"928,338.00"
18-Mar-22,30.89,"928,338.00"
17-Mar-22,30.82,"928,338.00"
16-Mar-22,30.66,"928,338.00"
15-Mar-22,30.3,"928,338.00"
14-Mar-22,30.34,"928,338.00"
11-Mar-22,29.86,"928,338.00"
10-Mar-22,30.18,"928,338.00"
9-Mar-22,29.83,"928,338.00"
8-Mar-22,29.57,"928,338.00"
7-Mar-22,29.61,"928,338.00"
4-Mar-22,29.89,"928,338.00"
3-Mar-22,29.91,"928,338.00"
2-Mar-22,29.97,"928,338.00"
1-Mar-22,29.92,"928,338.00"
28-Feb-22,29.83,"928,338.00"
25-Feb-22,29.63,"928,338.00"
24-Feb-22,29.81,"928,338.00"
23-Feb-22,30.3,"928,338.00"
22-Feb-22,30.12,"928,338.00"
21-Feb-22,30.25,"968,338.00"
18-Feb-22,30.09,"968,338.00"
17-Feb-22,30.31,"968,338.00"
16-Feb-22,30.33,"968,338.00"
15-Feb-22,30.02,"968,338.00"
14-Feb-22,30.03,"968,338.00"
11-Feb-22,29.81,"968,338.00"
10-Feb-22,30.13,"968,338.00"
9-Feb-22,30.21,"968,338.00"
8-Feb-22,29.76,"968,338.00"
7-Feb-22,29.56,"968,338.00"
4-Feb-22,29.72,"968,338.00"
3-Feb-22,29.56,"968,338.00"
2-Feb-22,29.59,"968,338.00"
1-Feb-22,29.31,"968,338.00"
31-Jan-22,29.06,"968,338.00"
28-Jan-22,29.19,"968,338.00"
27-Jan-22,28.6,"968,338.00"
25-Jan-22,29.16,"968,338.00"
24-Jan-22,29.84,"968,338.00"
21-Jan-22,29.96,"968,338.00"
20-Jan-22,30.5,"968,338.00"
19-Jan-22,30.5,"968,338.00"
18-Jan-22,30.8,"968,338.00"
17-Jan-22,30.87,"968,338.00"
14-Jan-22,30.78,"968,338.00"
13-Jan-22,31.08,"968,338.00"
12-Jan-22,31.05,"968,338.00"
11-Jan-22,30.96,"968,338.00"
10-Jan-22,31.19,"970,007.00"
7-Jan-22,31.35,"970,007.00"
6-Jan-22,31,"970,007.00"
5-Jan-22,32.35,"967,326.00"
4-Jan-22,32.5,"967,326.00"
