Date,Costs,Volume
12-Jul-22,94.66,"25,796,718.00"
11-Jul-22,95.86,"25,812,718.00"
8-Jul-22,95.28,"25,804,718.00"
7-Jul-22,95.81,"25,796,718.00"
6-Jul-22,95.16,"25,812,718.00"
5-Jul-22,94.75,"25,795,559.00"
4-Jul-22,93.74,"25,795,559.00"
1-Jul-22,94.88,"25,795,559.00"
30-Jun-22,93.96,"25,743,829.00"
29-Jun-22,95.14,"25,743,829.00"
28-Jun-22,94.36,"25,743,829.00"
27-Jun-22,95.78,"25,743,829.00"
24-Jun-22,96.19,"25,743,829.00"
23-Jun-22,93.83,"25,743,829.00"
22-Jun-22,92.78,"25,735,829.00"
21-Jun-22,92.43,"25,727,829.00"
20-Jun-22,90.37,"25,727,829.00"
17-Jun-22,91.24,"25,727,829.00"
16-Jun-22,90.52,"25,727,829.00"
15-Jun-22,93.19,"25,727,829.00"
14-Jun-22,92.35,"25,727,829.00"
10-Jun-22,93.7,"25,727,829.00"
9-Jun-22,95.52,"25,727,829.00"
8-Jun-22,96.83,"25,735,829.00"
7-Jun-22,97.67,"25,743,829.00"
6-Jun-22,96.82,"25,743,829.00"
3-Jun-22,96.45,"25,743,829.00"
2-Jun-22,97.99,"25,743,829.00"
1-Jun-22,97.15,"25,743,829.00"
31-May-22,97.84,"25,743,829.00"
30-May-22,97.46,"25,743,829.00"
27-May-22,98.07,"25,727,829.00"
26-May-22,97.24,"25,727,829.00"
25-May-22,95.84,"25,727,829.00"
24-May-22,95.46,"25,735,829.00"
23-May-22,95.54,"25,735,829.00"
20-May-22,94.28,"25,727,829.00"
19-May-22,93.76,"25,719,829.00"
18-May-22,94.92,"25,719,829.00"
17-May-22,98.65,"25,711,829.00"
16-May-22,97.76,"25,711,829.00"
13-May-22,98.09,"25,711,829.00"
12-May-22,96.44,"25,711,829.00"
11-May-22,95.4,"25,703,829.00"
10-May-22,97.65,"25,703,829.00"
9-May-22,96.55,"25,695,829.00"
6-May-22,97.67,"25,687,829.00"
5-May-22,97.45,"25,687,829.00"
4-May-22,101.06,"25,687,829.00"
3-May-22,98.99,"25,687,829.00"
2-May-22,99.24,"25,679,829.00"
29-Apr-22,98.06,"25,679,829.00"
28-Apr-22,102.03,"25,671,829.00"
27-Apr-22,99.13,"25,671,829.00"
26-Apr-22,98.17,"25,663,829.00"
22-Apr-22,99.06,"25,623,829.00"
21-Apr-22,99.51,"25,615,829.00"
20-Apr-22,100.09,"25,607,829.00"
19-Apr-22,100.95,"25,607,829.00"
14-Apr-22,99.3,"25,607,829.00"
13-Apr-22,100.63,"25,599,829.00"
12-Apr-22,98.35,"25,583,829.00"
11-Apr-22,99.4,"25,575,829.00"
8-Apr-22,100.84,"25,575,829.00"
7-Apr-22,100.89,"25,567,829.00"
6-Apr-22,99.86,"25,567,829.00"
5-Apr-22,99.69,"25,559,829.00"
4-Apr-22,102,"25,551,829.00"
1-Apr-22,101.81,"25,551,829.00"
31-Mar-22,101.06,"25,535,829.00"
30-Mar-22,102.29,"25,535,829.00"
29-Mar-22,102.95,"25,535,829.00"
28-Mar-22,102.15,"25,527,829.00"
25-Mar-22,101.33,"25,527,829.00"
24-Mar-22,100.8,"25,527,829.00"
23-Mar-22,99.65,"25,591,829.00"
22-Mar-22,101.23,"25,583,829.00"
21-Mar-22,100.22,"25,575,829.00"
18-Mar-22,100.38,"25,575,829.00"
17-Mar-22,99.43,"25,559,829.00"
16-Mar-22,100.24,"25,551,829.00"
15-Mar-22,98.73,"25,551,829.00"
14-Mar-22,96.57,"25,543,829.00"
11-Mar-22,96,"25,543,829.00"
10-Mar-22,96.71,"25,527,829.00"
9-Mar-22,97.86,"25,519,829.00"
8-Mar-22,95.75,"25,519,829.00"
7-Mar-22,95.21,"25,519,829.00"
4-Mar-22,97.5,"25,519,829.00"
3-Mar-22,99.61,"25,519,829.00"
2-Mar-22,101.42,"25,535,829.00"
1-Mar-22,99.85,"25,535,829.00"
28-Feb-22,101.27,"25,511,829.00"
25-Feb-22,102.55,"25,511,829.00"
24-Feb-22,102.08,"25,455,829.00"
23-Feb-22,99.7,"25,455,829.00"
22-Feb-22,101.35,"25,455,829.00"
21-Feb-22,102.55,"25,455,829.00"
18-Feb-22,103.09,"25,455,829.00"
17-Feb-22,103.53,"25,503,829.00"
16-Feb-22,105.95,"25,503,829.00"
15-Feb-22,106.03,"25,503,829.00"
14-Feb-22,105.1,"25,503,829.00"
11-Feb-22,104.56,"25,503,829.00"
10-Feb-22,105.45,"25,503,829.00"
9-Feb-22,107.86,"25,503,829.00"
8-Feb-22,107.65,"25,511,829.00"
7-Feb-22,107.03,"25,511,829.00"
4-Feb-22,108.24,"25,511,829.00"
3-Feb-22,105.84,"25,511,829.00"
2-Feb-22,108.49,"25,511,829.00"
1-Feb-22,107.26,"25,511,829.00"
31-Jan-22,107.58,"25,511,829.00"
28-Jan-22,106.89,"25,511,829.00"
27-Jan-22,103.92,"25,511,829.00"
25-Jan-22,102.15,"25,511,829.00"
24-Jan-22,103.49,"25,511,829.00"
21-Jan-22,102.49,"25,511,829.00"
20-Jan-22,103.01,"25,463,829.00"
19-Jan-22,104.71,"25,447,829.00"
18-Jan-22,105.92,"25,439,829.00"
17-Jan-22,107.41,"25,439,829.00"
14-Jan-22,107.09,"25,431,829.00"
13-Jan-22,105.79,"25,407,829.00"
12-Jan-22,107.72,"25,399,829.00"
11-Jan-22,108.5,"25,391,829.00"
10-Jan-22,107.74,"25,383,829.00"
7-Jan-22,107.89,"25,375,829.00"
6-Jan-22,107.62,"25,359,829.00"
5-Jan-22,106.33,"25,351,829.00"
4-Jan-22,108.38,"25,327,829.00"
31-Dec-21,107.07,"25,327,829.00"
30-Dec-21,107.66,"25,319,829.00"
29-Dec-21,107.88,"25,311,829.00"
24-Dec-21,107.24,"25,311,829.00"
23-Dec-21,107.16,"25,310,344.00"
22-Dec-21,107.28,"25,286,344.00"
21-Dec-21,107.21,"25,286,344.00"
20-Dec-21,106.82,"25,253,991.00"
17-Dec-21,106.89,"25,245,991.00"
16-Dec-21,107.46,"25,237,991.00"
15-Dec-21,109.37,"25,229,991.00"
14-Dec-21,107.74,"25,229,991.00"
13-Dec-21,108.54,"25,221,991.00"
10-Dec-21,108.7,"25,237,991.00"
9-Dec-21,108.13,"25,237,991.00"
8-Dec-21,108.34,"25,237,991.00"
7-Dec-21,108.57,"25,237,991.00"
6-Dec-21,107.66,"25,237,991.00"
3-Dec-21,106.71,"25,237,991.00"
2-Dec-21,106.08,"25,237,991.00"
1-Dec-21,104.55,"25,237,991.00"
30-Nov-21,105.78,"25,237,991.00"
29-Nov-21,106.3,"25,237,991.00"
26-Nov-21,105.08,"25,221,991.00"
25-Nov-21,106.79,"25,221,991.00"
24-Nov-21,106.75,"25,221,991.00"
23-Nov-21,106.49,"25,213,991.00"
22-Nov-21,105.66,"25,213,991.00"
19-Nov-21,105.97,"25,213,991.00"
18-Nov-21,106.09,"25,213,991.00"
17-Nov-21,105.12,"25,213,991.00"
16-Nov-21,104.47,"25,213,991.00"
15-Nov-21,103.74,"25,213,991.00"
12-Nov-21,104.42,"25,213,991.00"
11-Nov-21,103.81,"25,213,991.00"
10-Nov-21,103.05,"25,213,991.00"
9-Nov-21,103.9,"25,213,991.00"
8-Nov-21,103.17,"25,213,991.00"
5-Nov-21,103.34,"25,213,991.00"
4-Nov-21,103.05,"25,213,991.00"
3-Nov-21,102.51,"25,213,991.00"
2-Nov-21,102.02,"25,213,991.00"
1-Nov-21,100.04,"25,213,991.00"
29-Oct-21,100.44,"25,213,991.00"
28-Oct-21,99.98,"25,205,991.00"
27-Oct-21,99.53,"25,197,991.00"
26-Oct-21,99.08,"25,181,991.00"
25-Oct-21,98.79,"25,181,991.00"
22-Oct-21,98.87,"25,181,991.00"
21-Oct-21,99.2,"25,173,991.00"
20-Oct-21,99.13,"25,173,991.00"
19-Oct-21,99.27,"25,165,991.00"
18-Oct-21,99.58,"25,157,991.00"
15-Oct-21,99.19,"25,149,991.00"
14-Oct-21,98.39,"25,141,991.00"
13-Oct-21,97.7,"25,141,991.00"
12-Oct-21,97.55,"25,133,991.00"
11-Oct-21,97.89,"25,133,991.00"
8-Oct-21,99.08,"25,133,991.00"
7-Oct-21,99,"25,133,991.00"
6-Oct-21,98.96,"25,133,991.00"
5-Oct-21,98.27,"25,133,991.00"
4-Oct-21,97.31,"25,125,991.00"
1-Oct-21,98.83,"25,117,991.00"
30-Sep-21,98.23,"25,109,991.00"
29-Sep-21,99.62,"25,085,991.00"
28-Sep-21,98.84,"25,085,991.00"
27-Sep-21,100.24,"25,085,991.00"
24-Sep-21,101.01,"25,085,991.00"
23-Sep-21,100.26,"25,085,991.00"
22-Sep-21,99.87,"25,085,991.00"
21-Sep-21,99.32,"25,085,991.00"
20-Sep-21,98.51,"25,069,991.00"
17-Sep-21,100.24,"25,069,991.00"
16-Sep-21,101.36,"25,069,991.00"
15-Sep-21,100.98,"25,069,991.00"
14-Sep-21,100.1,"25,061,991.00"
13-Sep-21,99.91,"25,053,991.00"
10-Sep-21,99.31,"25,053,991.00"
9-Sep-21,100.15,"25,029,991.00"
8-Sep-21,101.09,"25,029,991.00"
7-Sep-21,101.12,"24,997,991.00"
6-Sep-21,100.63,"24,997,991.00"
3-Sep-21,100.47,"24,981,991.00"
2-Sep-21,100.84,"24,973,991.00"
1-Sep-21,101.21,"24,957,991.00"
31-Aug-21,101.92,"24,941,991.00"
30-Aug-21,102.07,"24,925,991.00"
27-Aug-21,101.39,"24,917,991.00"
26-Aug-21,101.34,"24,893,991.00"
25-Aug-21,101.63,"24,869,991.00"
24-Aug-21,101.67,"24,837,991.00"
23-Aug-21,102.45,"24,821,991.00"
20-Aug-21,102.57,"24,813,991.00"
19-Aug-21,101.4,"24,797,991.00"
18-Aug-21,100.51,"24,781,991.00"
17-Aug-21,101.46,"24,773,991.00"
16-Aug-21,101.08,"24,757,991.00"
13-Aug-21,100.34,"24,749,991.00"
12-Aug-21,100.48,"24,741,991.00"
11-Aug-21,99.62,"24,725,991.00"
10-Aug-21,99.77,"24,717,991.00"
9-Aug-21,99.77,"24,701,991.00"
6-Aug-21,99.52,"24,693,991.00"
5-Aug-21,98.84,"24,677,991.00"
4-Aug-21,98.81,"24,661,991.00"
3-Aug-21,99.41,"24,629,991.00"
2-Aug-21,98.37,"24,613,991.00"
30-Jul-21,98.66,"24,613,991.00"
29-Jul-21,98.98,"24,613,991.00"
28-Jul-21,99.43,"24,581,991.00"
27-Jul-21,98.67,"24,573,991.00"
26-Jul-21,99.21,"24,557,991.00"
23-Jul-21,99.14,"24,549,991.00"
22-Jul-21,97.83,"24,533,991.00"
21-Jul-21,98.14,"24,525,991.00"
20-Jul-21,97.63,"24,517,991.00"
19-Jul-21,96.16,"24,485,991.00"
16-Jul-21,97,"24,469,991.00"
15-Jul-21,97.4,"24,453,991.00"
14-Jul-21,97.4,"24,445,991.00"
13-Jul-21,96.99,"24,437,991.00"
12-Jul-21,96.79,"24,421,991.00"
9-Jul-21,96.69,"24,413,991.00"
8-Jul-21,96.48,"24,389,991.00"
7-Jul-21,96.58,"24,381,991.00"
6-Jul-21,95.69,"24,357,991.00"
5-Jul-21,95.31,"24,366,962.00"
2-Jul-21,95.82,"24,358,962.00"
1-Jul-21,95.01,"24,358,962.00"
30-Jun-21,95.19,"24,328,701.00"
29-Jun-21,95.21,"24,320,701.00"
28-Jun-21,94.34,"24,312,701.00"
25-Jun-21,93.83,"24,304,701.00"
24-Jun-21,93.98,"24,304,701.00"
23-Jun-21,93.38,"24,304,701.00"
22-Jun-21,94.56,"24,304,701.00"
21-Jun-21,94.02,"24,304,701.00"
