Date,Costs,Volume
12-Jul-22,119.84,"9,582,590.00"
11-Jul-22,121.58,"9,581,290.00"
8-Jul-22,119.74,"9,578,690.00"
7-Jul-22,120.17,"9,578,690.00"
6-Jul-22,120.73,"9,576,090.00"
5-Jul-22,119.86,"9,578,691.00"
4-Jul-22,119.09,"9,578,691.00"
1-Jul-22,120.53,"9,546,191.00"
30-Jun-22,118.33,"9,538,265.00"
29-Jun-22,118.63,"9,536,965.00"
28-Jun-22,117,"9,536,965.00"
27-Jun-22,118.68,"9,533,065.00"
24-Jun-22,118.25,"9,533,065.00"
23-Jun-22,116.33,"9,533,065.00"
22-Jun-22,113.6,"9,533,065.00"
21-Jun-22,111.51,"9,533,065.00"
20-Jun-22,109.35,"9,533,065.00"
17-Jun-22,110.39,"9,533,065.00"
16-Jun-22,109.61,"9,533,065.00"
15-Jun-22,111.45,"9,533,065.00"
14-Jun-22,111.15,"9,533,065.00"
10-Jun-22,113.23,"9,533,065.00"
9-Jun-22,113.96,"9,533,065.00"
8-Jun-22,115.08,"9,533,065.00"
7-Jun-22,115.64,"9,531,765.00"
6-Jun-22,114.42,"9,530,465.00"
3-Jun-22,114.49,"9,525,265.00"
2-Jun-22,115.74,"9,518,765.00"
1-Jun-22,115.46,"9,514,865.00"
31-May-22,117.38,"9,505,765.00"
30-May-22,118.35,"9,505,765.00"
27-May-22,119.09,"9,501,865.00"
26-May-22,118.72,"9,500,565.00"
25-May-22,118.21,"9,499,265.00"
24-May-22,118.51,"9,495,365.00"
23-May-22,117.61,"9,491,465.00"
20-May-22,117.73,"9,490,165.00"
19-May-22,115.77,"9,484,965.00"
18-May-22,115.77,"9,471,965.00"
17-May-22,118.69,"9,462,865.00"
16-May-22,118.29,"9,447,265.00"
13-May-22,117.96,"9,436,865.00"
12-May-22,116.83,"9,429,065.00"
11-May-22,113.96,"9,432,965.00"
10-May-22,116.43,"9,430,365.00"
9-May-22,114.88,"9,426,465.00"
6-May-22,116.08,"9,426,465.00"
5-May-22,116.07,"9,419,965.00"
4-May-22,118.51,"9,378,365.00"
3-May-22,117.2,"9,351,065.00"
2-May-22,117.42,"9,348,465.00"
29-Apr-22,117.22,"9,345,865.00"
28-Apr-22,120.09,"9,318,565.00"
27-Apr-22,118.43,"9,289,965.00"
26-Apr-22,117.44,"9,288,665.00"
22-Apr-22,117.56,"9,286,065.00"
21-Apr-22,118.86,"9,286,065.00"
20-Apr-22,119.52,"9,284,765.00"
19-Apr-22,119.49,"9,282,165.00"
14-Apr-22,119.63,"9,276,965.00"
13-Apr-22,120.26,"9,276,965.00"
12-Apr-22,118.41,"9,274,365.00"
11-Apr-22,120.79,"9,274,365.00"
8-Apr-22,122.23,"9,274,365.00"
7-Apr-22,121.4,"9,273,065.00"
6-Apr-22,118.25,"9,271,765.00"
5-Apr-22,115.28,"9,265,265.00"
4-Apr-22,116.42,"9,265,265.00"
1-Apr-22,117.54,"9,258,765.00"
31-Mar-22,116.29,"9,256,165.00"
30-Mar-22,117.12,"9,250,965.00"
29-Mar-22,117.27,"9,248,365.00"
28-Mar-22,116.53,"9,243,165.00"
25-Mar-22,115.61,"9,240,565.00"
24-Mar-22,115.2,"9,239,265.00"
23-Mar-22,114.03,"9,239,265.00"
22-Mar-22,116.49,"9,234,065.00"
21-Mar-22,116.75,"9,232,765.00"
18-Mar-22,117.32,"9,230,165.00"
17-Mar-22,116.64,"9,224,965.00"
16-Mar-22,116.99,"9,224,965.00"
15-Mar-22,116.02,"9,224,965.00"
14-Mar-22,113.54,"9,224,965.00"
11-Mar-22,111.31,"9,224,965.00"
10-Mar-22,111.77,"9,224,965.00"
9-Mar-22,112.78,"9,223,665.00"
8-Mar-22,111.06,"9,223,665.00"
7-Mar-22,111.63,"9,227,565.00"
4-Mar-22,113.33,"9,227,565.00"
3-Mar-22,114.06,"9,224,965.00"
2-Mar-22,115.21,"9,222,365.00"
1-Mar-22,113.9,"9,221,065.00"
28-Feb-22,114.58,"9,219,765.00"
25-Feb-22,115.84,"9,221,065.00"
24-Feb-22,114.38,"9,221,065.00"
23-Feb-22,112.16,"9,221,065.00"
22-Feb-22,112.75,"9,221,065.00"
21-Feb-22,113.2,"9,221,065.00"
18-Feb-22,113.79,"9,221,065.00"
17-Feb-22,114.24,"9,221,065.00"
16-Feb-22,116.5,"9,221,065.00"
15-Feb-22,116.4,"9,218,465.00"
14-Feb-22,114.93,"9,218,465.00"
11-Feb-22,115.36,"9,217,165.00"
10-Feb-22,116.13,"9,217,165.00"
9-Feb-22,118.64,"9,215,865.00"
8-Feb-22,118.34,"9,211,965.00"
7-Feb-22,117.91,"9,211,965.00"
4-Feb-22,118.88,"9,211,965.00"
3-Feb-22,117.97,"9,231,465.00"
