Date,Costs,Volume
12-Jul-22,57.23,"14,237,635.00"
11-Jul-22,57.7,"14,229,235.00"
8-Jul-22,58.15,"14,212,435.00"
7-Jul-22,58.41,"14,229,235.00"
6-Jul-22,57.79,"14,229,235.00"
5-Jul-22,58.14,"14,240,696.00"
4-Jul-22,57.92,"14,240,696.00"
1-Jul-22,58.62,"14,223,896.00"
30-Jun-22,58.63,"14,197,132.00"
29-Jun-22,58.91,"14,188,732.00"
28-Jun-22,58.77,"14,180,332.00"
27-Jun-22,58.96,"14,171,932.00"
24-Jun-22,58.86,"14,171,932.00"
23-Jun-22,57.73,"14,171,932.00"
22-Jun-22,57.33,"14,163,532.00"
21-Jun-22,57.99,"14,171,932.00"
20-Jun-22,57.23,"14,171,932.00"
17-Jun-22,57.78,"14,180,332.00"
16-Jun-22,57.1,"14,180,332.00"
15-Jun-22,59.07,"14,180,332.00"
14-Jun-22,58.76,"14,180,332.00"
10-Jun-22,58.66,"14,180,332.00"
9-Jun-22,58.7,"15,053,932.00"
8-Jun-22,59.45,"15,045,532.00"
7-Jun-22,59.06,"15,037,132.00"
6-Jun-22,58.87,"15,037,132.00"
3-Jun-22,58.5,"15,037,132.00"
2-Jun-22,59.4,"15,028,732.00"
1-Jun-22,58.78,"15,835,132.00"
31-May-22,59.31,"15,734,332.00"
30-May-22,58.31,"15,734,332.00"
27-May-22,58.67,"15,599,932.00"
26-May-22,58.61,"15,583,132.00"
25-May-22,57.75,"15,583,132.00"
24-May-22,57.48,"15,583,132.00"
23-May-22,58.24,"15,574,732.00"
20-May-22,58.41,"15,574,732.00"
19-May-22,57.95,"15,574,732.00"
18-May-22,57.4,"15,574,732.00"
17-May-22,58.86,"15,574,732.00"
16-May-22,58.02,"15,566,332.00"
13-May-22,58.45,"15,566,332.00"
12-May-22,57.18,"15,566,332.00"
11-May-22,56.6,"15,574,732.00"
10-May-22,57.42,"15,574,732.00"
9-May-22,56.83,"15,541,132.00"
6-May-22,57.51,"15,381,532.00"
5-May-22,58.05,"15,381,532.00"
4-May-22,60.25,"15,373,132.00"
3-May-22,59.93,"15,373,132.00"
2-May-22,59.93,"15,364,732.00"
29-Apr-22,59.51,"15,389,932.00"
28-Apr-22,59.55,"15,389,932.00"
27-Apr-22,58.45,"15,389,932.00"
26-Apr-22,57.41,"15,389,932.00"
22-Apr-22,58.29,"15,373,132.00"
21-Apr-22,57.68,"15,297,532.00"
20-Apr-22,58.36,"15,272,332.00"
19-Apr-22,59.36,"15,272,332.00"
14-Apr-22,59.53,"15,272,332.00"
13-Apr-22,60.32,"15,255,532.00"
12-Apr-22,58.97,"15,255,532.00"
11-Apr-22,59.59,"15,238,732.00"
8-Apr-22,60.15,"15,230,332.00"
7-Apr-22,59.92,"15,205,132.00"
6-Apr-22,59.91,"15,196,732.00"
5-Apr-22,60,"15,188,332.00"
4-Apr-22,61.76,"15,179,932.00"
1-Apr-22,61.13,"15,179,932.00"
31-Mar-22,59.99,"15,179,932.00"
30-Mar-22,60.77,"15,179,932.00"
29-Mar-22,61.12,"15,163,132.00"
28-Mar-22,60.3,"15,154,732.00"
25-Mar-22,59.92,"15,146,332.00"
24-Mar-22,60.37,"15,146,332.00"
23-Mar-22,60.11,"15,146,332.00"
22-Mar-22,60.98,"15,137,932.00"
21-Mar-22,60.06,"15,137,932.00"
18-Mar-22,61.13,"15,129,532.00"
17-Mar-22,60.38,"15,129,532.00"
16-Mar-22,61.81,"15,129,532.00"
15-Mar-22,57.67,"15,129,532.00"
14-Mar-22,57.35,"15,087,532.00"
11-Mar-22,58.04,"15,087,532.00"
10-Mar-22,58.95,"15,213,532.00"
9-Mar-22,60.4,"15,213,532.00"
8-Mar-22,59.17,"15,247,132.00"
7-Mar-22,58.48,"15,247,132.00"
4-Mar-22,60.58,"15,238,732.00"
3-Mar-22,62.08,"15,213,532.00"
2-Mar-22,63.55,"15,205,132.00"
1-Mar-22,63.39,"14,709,532.00"
28-Feb-22,64.24,"14,701,132.00"
25-Feb-22,65.36,"14,675,932.00"
24-Feb-22,65.32,"14,667,532.00"
23-Feb-22,65.41,"14,667,532.00"
22-Feb-22,66.31,"14,667,532.00"
21-Feb-22,67.38,"14,667,532.00"
18-Feb-22,67.74,"14,617,132.00"
17-Feb-22,68.21,"14,617,132.00"
16-Feb-22,69.28,"14,617,132.00"
15-Feb-22,69.06,"14,617,132.00"
14-Feb-22,67.82,"14,617,132.00"
11-Feb-22,67.74,"14,617,132.00"
10-Feb-22,68.21,"14,617,132.00"
9-Feb-22,69.19,"14,617,132.00"
8-Feb-22,68.62,"14,608,732.00"
7-Feb-22,68.07,"14,600,332.00"
4-Feb-22,68.78,"14,591,932.00"
3-Feb-22,67.73,"14,575,132.00"
2-Feb-22,68.69,"14,575,132.00"
1-Feb-22,68.9,"14,575,132.00"
31-Jan-22,69.15,"14,566,732.00"
28-Jan-22,67.45,"14,163,532.00"
27-Jan-22,66.58,"14,163,532.00"
25-Jan-22,67.39,"14,163,532.00"
24-Jan-22,67.82,"14,163,532.00"
21-Jan-22,67.92,"14,163,532.00"
20-Jan-22,68.21,"14,163,532.00"
19-Jan-22,68.29,"14,155,132.00"
18-Jan-22,68.32,"14,146,732.00"
17-Jan-22,69.33,"14,146,732.00"
14-Jan-22,69.13,"14,138,332.00"
13-Jan-22,68.52,"14,138,332.00"
12-Jan-22,69.79,"14,129,932.00"
11-Jan-22,69.48,"14,129,932.00"
10-Jan-22,68.11,"14,138,332.00"
7-Jan-22,68.07,"14,138,332.00"
6-Jan-22,67.52,"14,104,732.00"
5-Jan-22,66.19,"14,096,332.00"
4-Jan-22,67.51,"14,079,532.00"
31-Dec-21,67.03,"14,062,732.00"
30-Dec-21,67.51,"14,062,732.00"
29-Dec-21,66.69,"14,045,932.00"
24-Dec-21,67.14,"14,045,932.00"
23-Dec-21,67.09,"14,050,669.00"
22-Dec-21,67.1,"14,042,269.00"
21-Dec-21,67.44,"14,033,869.00"
20-Dec-21,67.4,"13,995,645.00"
17-Dec-21,67.99,"13,970,445.00"
16-Dec-21,67.96,"13,953,645.00"
15-Dec-21,68.51,"13,953,645.00"
14-Dec-21,68.77,"13,953,645.00"
13-Dec-21,68.95,"13,945,245.00"
10-Dec-21,69.65,"13,962,045.00"
9-Dec-21,69.86,"13,953,645.00"
8-Dec-21,69.99,"13,953,645.00"
7-Dec-21,70.17,"13,953,645.00"
6-Dec-21,69.77,"13,953,645.00"
3-Dec-21,69.53,"13,953,645.00"
2-Dec-21,69.73,"13,953,645.00"
1-Dec-21,68.42,"13,953,645.00"
30-Nov-21,68.69,"13,953,645.00"
29-Nov-21,68.51,"13,920,045.00"
26-Nov-21,68.15,"13,886,445.00"
25-Nov-21,69.9,"13,886,445.00"
24-Nov-21,69.87,"13,869,645.00"
23-Nov-21,69.71,"13,861,245.00"
22-Nov-21,69.5,"13,861,245.00"
19-Nov-21,70.01,"13,861,245.00"
18-Nov-21,70.07,"13,861,245.00"
17-Nov-21,70.77,"13,861,245.00"
16-Nov-21,70.73,"13,861,245.00"
15-Nov-21,70.22,"13,861,245.00"
12-Nov-21,70.82,"13,861,245.00"
11-Nov-21,70.74,"13,878,045.00"
10-Nov-21,69.08,"13,869,645.00"
9-Nov-21,69.23,"13,886,445.00"
8-Nov-21,69.04,"13,894,845.00"
5-Nov-21,68.52,"14,659,245.00"
4-Nov-21,68.67,"14,659,245.00"
3-Nov-21,68.57,"14,650,845.00"
2-Nov-21,68.28,"14,634,045.00"
1-Nov-21,67.91,"14,617,245.00"
29-Oct-21,67.6,"14,608,845.00"
28-Oct-21,68.24,"14,608,845.00"
27-Oct-21,68.57,"14,592,045.00"
26-Oct-21,69.08,"14,566,845.00"
25-Oct-21,69.62,"14,558,445.00"
22-Oct-21,69.3,"14,558,445.00"
21-Oct-21,69.31,"14,558,445.00"
20-Oct-21,69.69,"14,558,445.00"
19-Oct-21,70.01,"14,566,845.00"
18-Oct-21,69.69,"14,541,645.00"
15-Oct-21,69.75,"14,541,645.00"
14-Oct-21,68.93,"14,541,645.00"
13-Oct-21,69.18,"14,575,245.00"
12-Oct-21,68.39,"14,541,645.00"
11-Oct-21,68.65,"14,541,645.00"
8-Oct-21,69.27,"14,541,645.00"
7-Oct-21,69.05,"14,541,645.00"
6-Oct-21,68.21,"14,541,645.00"
5-Oct-21,68.39,"14,516,445.00"
4-Oct-21,67.91,"14,516,445.00"
1-Oct-21,69.15,"14,533,245.00"
30-Sep-21,69.54,"14,541,645.00"
29-Sep-21,69.33,"14,482,845.00"
28-Sep-21,69.52,"14,499,645.00"
27-Sep-21,69.98,"14,524,845.00"
24-Sep-21,69.88,"14,516,445.00"
23-Sep-21,70.12,"14,516,445.00"
22-Sep-21,70.05,"14,592,045.00"
21-Sep-21,69.51,"14,592,045.00"
20-Sep-21,68.73,"14,566,845.00"
17-Sep-21,70.43,"14,566,845.00"
16-Sep-21,70.7,"14,533,245.00"
15-Sep-21,71.01,"14,524,845.00"
14-Sep-21,70.99,"14,508,045.00"
13-Sep-21,71.17,"14,491,245.00"
10-Sep-21,70.96,"14,457,645.00"
9-Sep-21,71,"14,449,245.00"
8-Sep-21,71.34,"14,440,845.00"
7-Sep-21,72.14,"14,424,045.00"
6-Sep-21,71.26,"14,424,045.00"
3-Sep-21,71.14,"14,424,045.00"
2-Sep-21,71.13,"14,407,245.00"
1-Sep-21,71.79,"14,407,245.00"
31-Aug-21,71.5,"14,398,845.00"
30-Aug-21,70.63,"14,390,445.00"
27-Aug-21,70.51,"14,390,445.00"
26-Aug-21,70.13,"14,382,045.00"
25-Aug-21,70.62,"14,348,445.00"
24-Aug-21,70.49,"14,331,645.00"
23-Aug-21,69.58,"14,331,645.00"
20-Aug-21,69.26,"14,323,245.00"
19-Aug-21,69.02,"14,323,245.00"
18-Aug-21,69.45,"14,298,045.00"
17-Aug-21,69.14,"14,272,845.00"
16-Aug-21,69.66,"14,247,645.00"
13-Aug-21,69.93,"14,222,445.00"
12-Aug-21,70.44,"14,222,445.00"
11-Aug-21,70.74,"14,197,245.00"
10-Aug-21,70.84,"14,197,245.00"
9-Aug-21,70.85,"14,188,845.00"
6-Aug-21,70.42,"13,953,645.00"
5-Aug-21,70.45,"13,936,845.00"
4-Aug-21,70.88,"13,936,845.00"
3-Aug-21,70.54,"13,928,445.00"
2-Aug-21,70.26,"13,920,045.00"
30-Jul-21,69.99,"13,911,645.00"
29-Jul-21,70.19,"13,894,845.00"
28-Jul-21,70.43,"13,869,645.00"
27-Jul-21,68.17,"13,852,845.00"
26-Jul-21,69.51,"13,827,645.00"
23-Jul-21,71.14,"13,819,245.00"
22-Jul-21,71.98,"13,802,445.00"
21-Jul-21,72.24,"13,794,045.00"
20-Jul-21,72.02,"13,794,045.00"
19-Jul-21,71.63,"13,768,845.00"
16-Jul-21,72.14,"13,752,045.00"
15-Jul-21,72.41,"13,743,645.00"
14-Jul-21,71.86,"13,726,845.00"
13-Jul-21,71.65,"13,693,245.00"
12-Jul-21,71.33,"13,693,245.00"
9-Jul-21,71.35,"13,684,845.00"
8-Jul-21,70.68,"13,676,445.00"
7-Jul-21,71.7,"13,676,445.00"
6-Jul-21,71.55,"13,668,045.00"
5-Jul-21,72.53,"13,678,362.00"
2-Jul-21,72.92,"13,678,362.00"
1-Jul-21,73.13,"13,821,162.00"
30-Jun-21,73.74,"13,798,640.00"
29-Jun-21,74.15,"13,790,240.00"
28-Jun-21,73.64,"13,781,840.00"
25-Jun-21,73.27,"13,773,440.00"
24-Jun-21,72.94,"13,773,440.00"
23-Jun-21,72.14,"13,765,040.00"
22-Jun-21,72.39,"13,756,640.00"
21-Jun-21,72.64,"13,756,640.00"
18-Jun-21,72.75,"13,756,640.00"
17-Jun-21,72.41,"13,739,840.00"
16-Jun-21,70.74,"13,739,840.00"
15-Jun-21,71.96,"13,739,840.00"
11-Jun-21,72.06,"13,723,040.00"
10-Jun-21,71.97,"13,723,040.00"
9-Jun-21,71.5,"13,723,040.00"
8-Jun-21,71.55,"13,723,040.00"
7-Jun-21,71.81,"13,723,040.00"
4-Jun-21,72.38,"13,723,040.00"
3-Jun-21,72.33,"13,723,040.00"
2-Jun-21,72.36,"13,723,040.00"
1-Jun-21,72.15,"13,723,040.00"
31-May-21,70.89,"13,723,040.00"
28-May-21,71.17,"13,891,040.00"
27-May-21,70.34,"13,882,640.00"
26-May-21,70.42,"13,882,640.00"
25-May-21,69.78,"13,882,640.00"
24-May-21,69.15,"13,882,640.00"
21-May-21,68.69,"13,882,640.00"
20-May-21,69.19,"13,882,640.00"
19-May-21,69,"13,882,640.00"
18-May-21,68.78,"13,882,640.00"
17-May-21,68.12,"13,882,640.00"
14-May-21,68.15,"13,907,840.00"
13-May-21,67.28,"13,907,840.00"
12-May-21,67.23,"13,907,840.00"
11-May-21,68.38,"13,907,840.00"
10-May-21,68.28,"14,126,240.00"
7-May-21,69.74,"14,117,840.00"
6-May-21,69.71,"14,109,440.00"
5-May-21,69.18,"14,101,040.00"
4-May-21,69.28,"14,084,240.00"
3-May-21,69.55,"14,067,440.00"
30-Apr-21,69.89,"13,798,640.00"
29-Apr-21,70.76,"13,773,440.00"
28-Apr-21,70.92,"13,748,240.00"
27-Apr-21,70.33,"13,739,840.00"
26-Apr-21,70.03,"13,714,640.00"
23-Apr-21,70.7,"13,714,640.00"
22-Apr-21,69.67,"13,714,640.00"
21-Apr-21,69.72,"13,681,040.00"
20-Apr-21,69.32,"13,664,240.00"
19-Apr-21,69.71,"13,630,640.00"
16-Apr-21,70.25,"13,622,240.00"
15-Apr-21,69.9,"13,605,440.00"
14-Apr-21,69.58,"13,597,040.00"
13-Apr-21,70.09,"13,580,240.00"
12-Apr-21,69.83,"13,563,440.00"
9-Apr-21,70.2,"13,563,440.00"
8-Apr-21,70.72,"13,546,640.00"
7-Apr-21,70.08,"13,521,440.00"
6-Apr-21,70.98,"13,504,640.00"
1-Apr-21,70.84,"13,496,240.00"
31-Mar-21,70.03,"13,479,440.00"
30-Mar-21,69.83,"13,471,040.00"
29-Mar-21,69.35,"13,471,040.00"
