Date,Costs,Volume
12-Jul-22,337.56,"577,630.00"
11-Jul-22,339.69,"577,630.00"
8-Jul-22,337.07,"577,630.00"
7-Jul-22,339.78,"577,630.00"
6-Jul-22,335.68,"577,630.00"
5-Jul-22,337.64,"575,741.00"
4-Jul-22,334.25,"575,741.00"
1-Jul-22,338.29,"575,741.00"
30-Jun-22,330.1,"575,548.00"
29-Jun-22,333.16,"575,548.00"
28-Jun-22,333.63,"575,548.00"
27-Jun-22,337.63,"575,548.00"
24-Jun-22,336.25,"575,548.00"
23-Jun-22,326.1,"575,548.00"
22-Jun-22,322.77,"581,248.00"
21-Jun-22,321.81,"581,248.00"
20-Jun-22,318.4,"581,248.00"
17-Jun-22,321.44,"581,248.00"
16-Jun-22,315.82,"581,248.00"
15-Jun-22,333.01,"581,248.00"
14-Jun-22,331.71,"581,248.00"
10-Jun-22,340.6,"581,248.00"
9-Jun-22,346.22,"581,248.00"
8-Jun-22,349.4,"585,048.00"
7-Jun-22,355.52,"585,048.00"
6-Jun-22,350.92,"585,048.00"
3-Jun-22,348.59,"585,048.00"
2-Jun-22,352.28,"585,048.00"
1-Jun-22,346.63,"585,048.00"
31-May-22,350.29,"585,048.00"
30-May-22,352.64,"585,048.00"
27-May-22,354.86,"583,148.00"
26-May-22,350.52,"583,148.00"
25-May-22,342.74,"583,148.00"
24-May-22,336.27,"581,248.00"
23-May-22,339.03,"581,248.00"
20-May-22,338.89,"579,348.00"
19-May-22,338.62,"579,348.00"
18-May-22,340.97,"579,348.00"
17-May-22,355.01,"579,348.00"
16-May-22,348.07,"579,348.00"
13-May-22,351.17,"585,048.00"
12-May-22,344.04,"585,048.00"
11-May-22,334.99,"585,048.00"
10-May-22,343.42,"585,048.00"
9-May-22,342.47,"585,048.00"
6-May-22,348.47,"585,048.00"
5-May-22,351.5,"585,048.00"
4-May-22,364.98,"585,048.00"
3-May-22,356.96,"596,448.00"
2-May-22,355.93,"596,448.00"
29-Apr-22,350.91,"596,448.00"
28-Apr-22,362.3,"596,448.00"
27-Apr-22,354.11,"596,448.00"
26-Apr-22,351.45,"596,448.00"
22-Apr-22,354.91,"594,548.00"
21-Apr-22,357.77,"594,548.00"
20-Apr-22,361.5,"594,548.00"
19-Apr-22,362.85,"594,548.00"
14-Apr-22,353.47,"594,548.00"
13-Apr-22,355.66,"594,548.00"
12-Apr-22,346.57,"594,548.00"
11-Apr-22,349.64,"594,548.00"
8-Apr-22,350.27,"594,548.00"
7-Apr-22,349.39,"594,548.00"
6-Apr-22,347.13,"594,548.00"
5-Apr-22,347.09,"592,673.00"
4-Apr-22,357.36,"592,673.00"
1-Apr-22,360.71,"592,673.00"
31-Mar-22,358.45,"592,516.00"
30-Mar-22,362.95,"592,516.00"
29-Mar-22,369.43,"592,516.00"
28-Mar-22,363.11,"592,516.00"
25-Mar-22,361.36,"592,516.00"
24-Mar-22,358.66,"596,316.00"
23-Mar-22,355.1,"596,316.00"
22-Mar-22,364.71,"596,316.00"
21-Mar-22,363.39,"596,316.00"
18-Mar-22,365.21,"596,316.00"
17-Mar-22,363.2,"619,116.00"
16-Mar-22,366.41,"611,516.00"
15-Mar-22,359.08,"611,516.00"
14-Mar-22,352.02,"611,516.00"
11-Mar-22,350.72,"611,516.00"
10-Mar-22,352.36,"611,516.00"
9-Mar-22,354.52,"611,516.00"
8-Mar-22,347.09,"611,516.00"
7-Mar-22,342.94,"611,516.00"
4-Mar-22,355.25,"611,516.00"
