Date,Costs,Volume
13-Jul-22,12.54,"21,688,534.00"
12-Jul-22,12.54,"21,688,534.00"
11-Jul-22,12.47,"21,588,534.00"
8-Jul-22,12.65,"21,588,534.00"
7-Jul-22,12.61,"21,588,534.00"
6-Jul-22,12.44,"21,588,534.00"
5-Jul-22,12.51,"21,596,193.00"
4-Jul-22,12.48,"21,596,193.00"
1-Jul-22,12.37,"21,596,193.00"
30-Jun-22,12.72,"21,554,077.00"
29-Jun-22,12.97,"21,554,077.00"
28-Jun-22,13.05,"21,554,077.00"
27-Jun-22,12.94,"21,554,077.00"
24-Jun-22,12.73,"21,554,077.00"
23-Jun-22,12.62,"21,554,077.00"
22-Jun-22,12.57,"21,554,077.00"
21-Jun-22,12.52,"21,554,077.00"
20-Jun-22,12.34,"21,554,077.00"
17-Jun-22,12.5,"21,554,077.00"
16-Jun-22,12.72,"21,454,077.00"
15-Jun-22,12.77,"21,454,077.00"
14-Jun-22,12.85,"21,454,077.00"
10-Jun-22,13.28,"21,454,077.00"
9-Jun-22,13.46,"21,454,077.00"
8-Jun-22,13.56,"21,354,077.00"
7-Jun-22,13.35,"21,354,077.00"
6-Jun-22,13.56,"21,354,077.00"
3-Jun-22,13.62,"21,354,077.00"
2-Jun-22,13.48,"21,354,077.00"
1-Jun-22,13.61,"21,354,077.00"
31-May-22,13.48,"21,354,077.00"
30-May-22,13.53,"21,354,077.00"
27-May-22,13.35,"21,354,077.00"
26-May-22,13.26,"21,354,077.00"
25-May-22,13.47,"21,354,077.00"
24-May-22,13.41,"21,354,077.00"
23-May-22,13.48,"21,354,077.00"
20-May-22,13.45,"21,354,077.00"
19-May-22,13.24,"21,254,077.00"
18-May-22,13.66,"21,254,077.00"
17-May-22,13.58,"21,254,077.00"
16-May-22,13.5,"21,254,077.00"
13-May-22,13.55,"21,254,077.00"
12-May-22,13.32,"21,254,077.00"
11-May-22,13.55,"21,254,077.00"
10-May-22,13.45,"21,254,077.00"
9-May-22,13.62,"21,254,077.00"
6-May-22,13.82,"21,254,077.00"
5-May-22,13.97,"21,254,077.00"
4-May-22,13.86,"21,154,077.00"
3-May-22,13.93,"21,154,077.00"
2-May-22,14.06,"21,154,077.00"
29-Apr-22,14.18,"21,154,077.00"
28-Apr-22,14.07,"21,154,077.00"
27-Apr-22,13.8,"21,154,077.00"
26-Apr-22,13.87,"21,154,077.00"
22-Apr-22,14.18,"21,254,077.00"
21-Apr-22,14.33,"21,254,077.00"
20-Apr-22,14.35,"21,254,077.00"
19-Apr-22,14.31,"21,254,077.00"
14-Apr-22,14.23,"21,254,077.00"
13-Apr-22,14.14,"21,254,077.00"
12-Apr-22,14.08,"21,354,077.00"
11-Apr-22,14.1,"21,361,060.00"
8-Apr-22,14.12,"21,361,060.00"
7-Apr-22,14.04,"21,361,060.00"
6-Apr-22,14.31,"21,332,768.00"
5-Apr-22,14.38,"21,332,768.00"
4-Apr-22,14.34,"21,332,768.00"
1-Apr-22,14.28,"21,332,768.00"
31-Mar-22,14.34,"21,332,768.00"
30-Mar-22,14.29,"21,332,768.00"
29-Mar-22,14.17,"21,332,768.00"
28-Mar-22,14.08,"21,432,768.00"
25-Mar-22,14.06,"21,432,768.00"
24-Mar-22,13.98,"21,432,768.00"
23-Mar-22,13.91,"21,432,768.00"
22-Mar-22,13.88,"21,432,768.00"
21-Mar-22,13.76,"21,432,768.00"
18-Mar-22,13.75,"21,432,768.00"
17-Mar-22,13.72,"21,432,768.00"
16-Mar-22,13.62,"21,432,768.00"
15-Mar-22,13.46,"21,432,768.00"
14-Mar-22,13.61,"21,432,768.00"
11-Mar-22,13.46,"21,432,768.00"
10-Mar-22,13.59,"21,432,768.00"
9-Mar-22,13.52,"21,432,768.00"
8-Mar-22,13.46,"21,432,768.00"
7-Mar-22,13.58,"21,432,768.00"
4-Mar-22,13.66,"21,432,768.00"
3-Mar-22,13.7,"21,432,768.00"
2-Mar-22,13.6,"21,432,768.00"
