Date,Costs,Volume
12-Jul-22,88.95,"7,663,926.00"
11-Jul-22,89.45,"7,669,726.00"
8-Jul-22,91.04,"7,669,726.00"
7-Jul-22,91.72,"7,669,726.00"
6-Jul-22,90.05,"7,669,726.00"
5-Jul-22,90.83,"7,676,919.00"
4-Jul-22,90.41,"7,676,919.00"
1-Jul-22,91.51,"7,676,919.00"
30-Jun-22,91.76,"7,671,017.00"
29-Jun-22,92.55,"7,671,017.00"
28-Jun-22,92.41,"7,676,817.00"
27-Jun-22,92.95,"7,682,617.00"
24-Jun-22,92.61,"7,694,217.00"
23-Jun-22,90.57,"7,700,017.00"
22-Jun-22,90.06,"7,705,817.00"
21-Jun-22,91.18,"7,711,617.00"
20-Jun-22,89.96,"7,711,617.00"
17-Jun-22,90.82,"7,711,617.00"
16-Jun-22,89.41,"7,717,417.00"
15-Jun-22,92.74,"7,723,217.00"
14-Jun-22,92.34,"7,734,817.00"
10-Jun-22,92.25,"7,734,817.00"
9-Jun-22,92.25,"7,740,617.00"
8-Jun-22,93.96,"7,746,417.00"
7-Jun-22,92,"7,746,417.00"
6-Jun-22,91.32,"7,752,217.00"
3-Jun-22,89.98,"7,758,017.00"
2-Jun-22,91.85,"7,758,017.00"
1-Jun-22,90.53,"7,763,817.00"
31-May-22,91.37,"7,769,617.00"
30-May-22,89.23,"7,769,617.00"
27-May-22,89.8,"7,769,617.00"
26-May-22,88.98,"7,775,417.00"
25-May-22,87.26,"7,775,417.00"
24-May-22,86.59,"7,781,217.00"
23-May-22,88.55,"7,781,217.00"
20-May-22,89.14,"7,781,217.00"
19-May-22,88.64,"7,781,217.00"
18-May-22,87.66,"7,781,217.00"
17-May-22,90.43,"7,787,017.00"
16-May-22,88.52,"7,792,817.00"
13-May-22,89.47,"7,787,017.00"
12-May-22,86.68,"7,787,017.00"
11-May-22,85.56,"7,787,017.00"
10-May-22,86.67,"7,787,017.00"
9-May-22,85.22,"7,787,017.00"
6-May-22,86.82,"7,787,017.00"
5-May-22,87.98,"7,787,017.00"
4-May-22,91.9,"7,787,017.00"
3-May-22,91.63,"7,781,217.00"
2-May-22,91.6,"7,781,217.00"
29-Apr-22,90.53,"7,769,617.00"
28-Apr-22,88.94,"7,769,617.00"
27-Apr-22,87.12,"7,763,817.00"
26-Apr-22,85.68,"7,763,817.00"
22-Apr-22,87.04,"7,763,817.00"
21-Apr-22,85.57,"7,763,817.00"
20-Apr-22,87.18,"7,769,617.00"
19-Apr-22,88.75,"7,769,617.00"
14-Apr-22,89.06,"7,763,817.00"
13-Apr-22,90.86,"7,734,817.00"
12-Apr-22,88.08,"7,734,817.00"
11-Apr-22,88.94,"7,729,017.00"
8-Apr-22,90.19,"7,711,617.00"
7-Apr-22,90.39,"7,711,617.00"
6-Apr-22,90.66,"7,705,817.00"
5-Apr-22,91.28,"7,705,817.00"
4-Apr-22,94.32,"7,700,017.00"
1-Apr-22,92.69,"7,688,417.00"
31-Mar-22,91.27,"7,688,417.00"
30-Mar-22,93.24,"7,688,417.00"
