Date,Costs,Volume
12-Jul-22,36.68,"6,916,384.00"
11-Jul-22,37.02,"6,916,384.00"
8-Jul-22,37.37,"6,916,384.00"
7-Jul-22,37.34,"6,916,384.00"
6-Jul-22,36.75,"6,916,384.00"
5-Jul-22,36.55,"6,926,744.00"
4-Jul-22,36.42,"6,926,744.00"
1-Jul-22,36.36,"6,926,744.00"
30-Jun-22,36.39,"6,914,568.00"
29-Jun-22,36.8,"6,749,568.00"
28-Jun-22,36.81,"6,419,568.00"
27-Jun-22,37.49,"6,419,568.00"
24-Jun-22,37.53,"6,419,568.00"
23-Jun-22,36.45,"6,419,568.00"
22-Jun-22,36.19,"6,419,568.00"
21-Jun-22,36.23,"6,419,568.00"
20-Jun-22,35.44,"6,419,568.00"
17-Jun-22,35.35,"6,419,568.00"
16-Jun-22,35.23,"6,419,568.00"
15-Jun-22,36.31,"6,419,568.00"
14-Jun-22,35.74,"6,364,568.00"
10-Jun-22,37.27,"6,364,568.00"
9-Jun-22,38.39,"6,144,568.00"
8-Jun-22,39.15,"6,144,568.00"
7-Jun-22,39.42,"6,144,568.00"
6-Jun-22,39.15,"6,144,568.00"
3-Jun-22,39.02,"5,979,568.00"
2-Jun-22,39.63,"5,979,568.00"
1-Jun-22,38.99,"6,034,568.00"
31-May-22,39.24,"6,034,568.00"
30-May-22,39.56,"6,034,568.00"
27-May-22,39.42,"6,034,568.00"
26-May-22,38.46,"6,034,568.00"
25-May-22,37.84,"6,034,568.00"
24-May-22,37.55,"6,034,568.00"
23-May-22,37.99,"6,034,568.00"
20-May-22,37.33,"5,979,568.00"
19-May-22,37.3,"5,979,568.00"
18-May-22,37.58,"5,979,568.00"
17-May-22,38.89,"5,979,568.00"
16-May-22,38.16,"5,979,568.00"
13-May-22,38.37,"5,979,568.00"
12-May-22,37.42,"5,979,568.00"
11-May-22,37.62,"5,979,568.00"
10-May-22,38.2,"5,979,568.00"
9-May-22,38.06,"5,924,568.00"
6-May-22,39.3,"5,924,568.00"
5-May-22,39.65,"5,924,568.00"
4-May-22,40.94,"5,924,568.00"
3-May-22,40.09,"5,924,568.00"
2-May-22,39.94,"5,924,568.00"
29-Apr-22,39.8,"5,924,568.00"
28-Apr-22,40.81,"5,924,568.00"
27-Apr-22,39.97,"5,924,568.00"
26-Apr-22,39.88,"5,924,568.00"
22-Apr-22,40.92,"5,924,568.00"
21-Apr-22,42.01,"5,924,568.00"
20-Apr-22,42.4,"5,924,568.00"
19-Apr-22,42.31,"5,924,568.00"
14-Apr-22,41.89,"5,924,568.00"
13-Apr-22,42.34,"5,924,568.00"
12-Apr-22,41.93,"5,924,568.00"
11-Apr-22,42.16,"5,924,568.00"
8-Apr-22,42.87,"5,814,568.00"
7-Apr-22,43,"5,814,568.00"
6-Apr-22,42.88,"5,814,568.00"
5-Apr-22,43.49,"5,814,568.00"
4-Apr-22,43.95,"5,814,568.00"
1-Apr-22,43.54,"5,814,568.00"
31-Mar-22,43.42,"5,814,568.00"
30-Mar-22,44.02,"5,814,568.00"
29-Mar-22,44.31,"5,814,568.00"
28-Mar-22,43.68,"5,814,568.00"
25-Mar-22,43.31,"5,814,568.00"
24-Mar-22,43.26,"5,814,568.00"
23-Mar-22,42.8,"5,814,568.00"
22-Mar-22,43.26,"5,814,568.00"
21-Mar-22,42.75,"5,814,568.00"
18-Mar-22,42.82,"5,924,568.00"
17-Mar-22,42.28,"5,924,568.00"
16-Mar-22,41.78,"5,924,568.00"
15-Mar-22,40.71,"5,924,568.00"
14-Mar-22,39.98,"5,924,568.00"
11-Mar-22,40.14,"5,924,568.00"
10-Mar-22,40.61,"5,924,568.00"
9-Mar-22,40.9,"5,924,568.00"
8-Mar-22,39.63,"5,924,568.00"
7-Mar-22,39.98,"5,924,568.00"
4-Mar-22,41.11,"5,924,568.00"
3-Mar-22,41.71,"5,924,568.00"
