Date,Costs,Volume
13-Jul-22,26.69,"157,430,230.00"
12-Jul-22,26.63,"155,555,230.00"
11-Jul-22,26.61,"155,555,230.00"
8-Jul-22,26.92,"155,555,230.00"
7-Jul-22,26.8,"155,555,230.00"
6-Jul-22,26.58,"153,680,230.00"
5-Jul-22,26.72,"154,213,339.00"
4-Jul-22,26.66,"153,763,339.00"
1-Jul-22,26.36,"153,763,339.00"
30-Jun-22,27.09,"152,711,599.00"
29-Jun-22,27.63,"152,711,599.00"
28-Jun-22,27.86,"152,711,599.00"
27-Jun-22,27.62,"152,711,599.00"
24-Jun-22,27.09,"152,711,599.00"
23-Jun-22,26.89,"152,261,599.00"
22-Jun-22,26.81,"152,261,599.00"
21-Jun-22,26.87,"152,261,599.00"
20-Jun-22,26.5,"152,261,599.00"
17-Jun-22,26.66,"154,661,599.00"
16-Jun-22,27.14,"154,436,599.00"
15-Jun-22,27.18,"154,136,599.00"
14-Jun-22,27.54,"154,136,599.00"
10-Jun-22,28.55,"154,136,599.00"
9-Jun-22,28.92,"154,136,599.00"
8-Jun-22,29.33,"154,136,599.00"
7-Jun-22,29.23,"154,136,599.00"
6-Jun-22,29.68,"159,761,599.00"
3-Jun-22,29.81,"159,761,599.00"
2-Jun-22,29.55,"159,761,599.00"
1-Jun-22,29.79,"159,761,599.00"
31-May-22,29.7,"159,761,599.00"
30-May-22,30.01,"158,711,599.00"
27-May-22,29.58,"158,711,599.00"
26-May-22,29.26,"159,161,599.00"
25-May-22,29.46,"159,161,599.00"
24-May-22,29.35,"159,161,599.00"
23-May-22,29.43,"159,161,599.00"
20-May-22,29.42,"159,161,599.00"
19-May-22,29.09,"159,161,599.00"
18-May-22,29.54,"159,161,599.00"
17-May-22,29.25,"159,161,599.00"
16-May-22,29.17,"159,161,599.00"
13-May-22,29.08,"152,111,599.00"
12-May-22,28.53,"152,111,599.00"
11-May-22,29.04,"152,111,599.00"
10-May-22,28.95,"150,461,599.00"
9-May-22,29.24,"151,136,599.00"
6-May-22,29.56,"144,911,599.00"
5-May-22,30.21,"144,911,599.00"
4-May-22,29.96,"144,911,599.00"
3-May-22,30.01,"144,911,599.00"
2-May-22,30.14,"144,911,599.00"
29-Apr-22,30.5,"144,911,599.00"
28-Apr-22,30.18,"144,911,599.00"
27-Apr-22,29.78,"144,911,599.00"
26-Apr-22,30.02,"144,911,599.00"
22-Apr-22,30.65,"144,911,599.00"
21-Apr-22,31.14,"144,911,599.00"
20-Apr-22,31.05,"153,461,599.00"
19-Apr-22,31.03,"153,461,599.00"
14-Apr-22,30.86,"153,461,599.00"
13-Apr-22,30.68,"152,861,599.00"
12-Apr-22,30.57,"152,861,599.00"
11-Apr-22,30.7,"152,923,606.00"
8-Apr-22,30.67,"152,923,606.00"
7-Apr-22,30.53,"152,923,606.00"
6-Apr-22,31.1,"150,675,919.00"
5-Apr-22,31.25,"150,225,919.00"
4-Apr-22,31.2,"150,000,919.00"
1-Apr-22,31.11,"150,000,919.00"
31-Mar-22,31.14,"150,000,919.00"
30-Mar-22,31.2,"149,700,919.00"
29-Mar-22,30.99,"149,700,919.00"
28-Mar-22,30.77,"149,700,919.00"
25-Mar-22,30.74,"149,700,919.00"
24-Mar-22,30.66,"149,700,919.00"
23-Mar-22,30.63,"149,700,919.00"
22-Mar-22,30.47,"149,700,919.00"
21-Mar-22,30.21,"149,700,919.00"
18-Mar-22,30.28,"149,700,919.00"
17-Mar-22,30.09,"151,125,919.00"
16-Mar-22,29.78,"151,125,919.00"
15-Mar-22,29.46,"151,125,919.00"
14-Mar-22,29.67,"155,325,919.00"
11-Mar-22,29.31,"155,325,919.00"
10-Mar-22,29.59,"160,200,919.00"
9-Mar-22,29.23,"160,200,919.00"
8-Mar-22,28.92,"159,000,919.00"
7-Mar-22,29.16,"159,000,919.00"
4-Mar-22,29.44,"156,600,919.00"
3-Mar-22,29.6,"156,600,919.00"
2-Mar-22,29.44,"156,450,919.00"
1-Mar-22,29.34,"154,425,919.00"
28-Feb-22,29.14,"154,200,919.00"
25-Feb-22,28.9,"154,200,919.00"
24-Feb-22,28.86,"154,200,919.00"
23-Feb-22,29.57,"154,200,919.00"
22-Feb-22,29.38,"154,725,919.00"
21-Feb-22,29.67,"154,725,919.00"
18-Feb-22,29.61,"154,725,919.00"
17-Feb-22,29.91,"154,725,919.00"
16-Feb-22,29.86,"153,600,919.00"
15-Feb-22,29.5,"153,600,919.00"
14-Feb-22,29.65,"153,375,919.00"
11-Feb-22,29.53,"153,375,919.00"
10-Feb-22,29.82,"156,825,919.00"
9-Feb-22,29.74,"155,850,919.00"
8-Feb-22,29.41,"150,900,919.00"
7-Feb-22,29.1,"150,900,919.00"
4-Feb-22,29.13,"149,625,919.00"
3-Feb-22,28.96,"149,625,919.00"
2-Feb-22,29,"150,225,919.00"
1-Feb-22,28.67,"150,225,919.00"
31-Jan-22,28.53,"148,350,919.00"
28-Jan-22,28.6,"144,900,919.00"
27-Jan-22,27.98,"144,900,919.00"
25-Jan-22,28.49,"144,900,919.00"
24-Jan-22,29.22,"145,350,919.00"
21-Jan-22,29.36,"145,350,919.00"
20-Jan-22,30.05,"145,350,919.00"
19-Jan-22,30.01,"145,350,919.00"
18-Jan-22,30.32,"145,350,919.00"
17-Jan-22,30.35,"145,350,919.00"
14-Jan-22,30.26,"145,350,919.00"
13-Jan-22,30.59,"145,350,919.00"
12-Jan-22,30.44,"145,350,919.00"
11-Jan-22,30.24,"145,350,919.00"
10-Jan-22,30.48,"145,387,287.00"
7-Jan-22,30.5,"145,387,287.00"
6-Jan-22,30.11,"163,462,287.00"
5-Jan-22,31.11,"163,282,404.00"
4-Jan-22,31.21,"162,232,404.00"
31-Dec-21,30.61,"162,232,404.00"
30-Dec-21,30.89,"162,232,404.00"
29-Dec-21,30.84,"162,007,404.00"
24-Dec-21,30.48,"162,007,404.00"
23-Dec-21,30.34,"162,007,404.00"
22-Dec-21,30.25,"162,007,404.00"
21-Dec-21,30.21,"162,007,404.00"
20-Dec-21,29.95,"162,007,404.00"
17-Dec-21,30,"162,007,404.00"
16-Dec-21,29.96,"162,007,404.00"
15-Dec-21,30.09,"162,007,404.00"
14-Dec-21,30.31,"162,007,404.00"
13-Dec-21,30.32,"164,107,404.00"
10-Dec-21,30.2,"164,107,404.00"
9-Dec-21,30.33,"164,107,404.00"
8-Dec-21,30.42,"164,107,404.00"
7-Dec-21,30.04,"157,732,404.00"
6-Dec-21,29.76,"151,732,404.00"
3-Dec-21,29.74,"151,732,404.00"
2-Dec-21,29.67,"153,982,404.00"
1-Dec-21,29.72,"153,982,404.00"
30-Nov-21,29.79,"153,607,404.00"
29-Nov-21,29.73,"152,707,404.00"
26-Nov-21,29.89,"152,407,404.00"
25-Nov-21,30.42,"152,407,404.00"
24-Nov-21,30.38,"151,657,404.00"
23-Nov-21,30.43,"150,457,404.00"
22-Nov-21,30.19,"150,457,404.00"
19-Nov-21,30.37,"149,707,404.00"
18-Nov-21,30.3,"149,707,404.00"
17-Nov-21,30.26,"149,707,404.00"
16-Nov-21,30.46,"149,707,404.00"
15-Nov-21,30.67,"149,707,404.00"
12-Nov-21,30.52,"149,707,404.00"
11-Nov-21,30.27,"149,707,404.00"
10-Nov-21,30.44,"149,707,404.00"
9-Nov-21,30.49,"149,707,404.00"
8-Nov-21,30.56,"149,707,404.00"
5-Nov-21,30.54,"147,157,404.00"
4-Nov-21,30.39,"147,157,404.00"
3-Nov-21,30.24,"145,582,404.00"
2-Nov-21,29.96,"145,582,404.00"
1-Nov-21,30.15,"145,582,404.00"
29-Oct-21,29.96,"144,307,404.00"
28-Oct-21,30.4,"144,307,404.00"
27-Oct-21,30.47,"144,157,404.00"
26-Oct-21,30.45,"144,157,404.00"
25-Oct-21,30.44,"144,157,404.00"
22-Oct-21,30.33,"144,157,404.00"
21-Oct-21,30.33,"144,157,404.00"
20-Oct-21,30.32,"144,157,404.00"
19-Oct-21,30.17,"144,157,404.00"
18-Oct-21,30.19,"144,157,404.00"
15-Oct-21,30.11,"144,157,404.00"
14-Oct-21,29.91,"144,157,404.00"
13-Oct-21,29.75,"143,557,404.00"
12-Oct-21,29.78,"141,887,798.00"
11-Oct-21,29.86,"141,887,798.00"
8-Oct-21,29.94,"141,212,798.00"
7-Oct-21,30.16,"140,673,588.00"
6-Oct-21,29.95,"140,073,588.00"
5-Oct-21,30.12,"140,073,588.00"
4-Oct-21,30.25,"140,073,588.00"
1-Oct-21,29.86,"139,323,588.00"
30-Sep-21,30.47,"139,323,588.00"
29-Sep-21,29.91,"139,323,588.00"
28-Sep-21,30.24,"139,323,588.00"
27-Sep-21,30.69,"139,323,588.00"
24-Sep-21,30.51,"139,323,588.00"
23-Sep-21,30.62,"139,323,588.00"
22-Sep-21,30.32,"139,323,588.00"
21-Sep-21,30.22,"139,323,588.00"
20-Sep-21,30.12,"139,323,588.00"
17-Sep-21,30.76,"139,323,588.00"
16-Sep-21,31,"139,323,588.00"
15-Sep-21,30.82,"139,323,588.00"
14-Sep-21,30.9,"139,323,588.00"
13-Sep-21,30.85,"139,323,588.00"
10-Sep-21,30.77,"149,073,588.00"
9-Sep-21,30.62,"142,398,588.00"
8-Sep-21,31.2,"141,573,588.00"
7-Sep-21,31.27,"136,773,588.00"
6-Sep-21,31.25,"129,123,588.00"
3-Sep-21,31.17,"129,123,588.00"
2-Sep-21,31.01,"129,123,588.00"
1-Sep-21,31.04,"129,123,588.00"
31-Aug-21,31.05,"128,898,588.00"
30-Aug-21,30.93,"128,898,588.00"
27-Aug-21,30.85,"127,398,588.00"
26-Aug-21,30.86,"127,848,588.00"
25-Aug-21,31.01,"126,873,588.00"
24-Aug-21,30.87,"126,873,588.00"
23-Aug-21,30.82,"126,873,588.00"
20-Aug-21,30.69,"126,873,588.00"
19-Aug-21,30.7,"126,048,588.00"
18-Aug-21,30.85,"126,048,588.00"
17-Aug-21,30.88,"127,098,588.00"
16-Aug-21,31.11,"126,648,588.00"
13-Aug-21,31.3,"126,648,588.00"
12-Aug-21,31.12,"126,648,588.00"
11-Aug-21,31.08,"126,648,588.00"
10-Aug-21,30.99,"126,648,588.00"
9-Aug-21,30.89,"126,648,588.00"
6-Aug-21,30.89,"126,648,588.00"
