Date,Costs,Volume
13-Jul-22,27.57,"1,575,927.00"
12-Jul-22,27.43,"1,575,927.00"
11-Jul-22,27.47,"1,575,927.00"
8-Jul-22,27.8,"1,575,927.00"
7-Jul-22,27.58,"1,575,927.00"
6-Jul-22,27.31,"1,575,927.00"
5-Jul-22,27.52,"1,609,338.00"
4-Jul-22,27.51,"1,609,338.00"
1-Jul-22,27.22,"1,609,338.00"
30-Jun-22,28.44,"1,570,725.00"
29-Jun-22,28.98,"1,570,725.00"
28-Jun-22,29.23,"1,570,725.00"
27-Jun-22,28.93,"1,570,725.00"
24-Jun-22,28.29,"1,570,725.00"
23-Jun-22,28.01,"1,570,725.00"
22-Jun-22,28.02,"1,570,725.00"
21-Jun-22,28.07,"1,570,725.00"
20-Jun-22,27.64,"1,570,725.00"
17-Jun-22,27.96,"1,570,725.00"
16-Jun-22,28.5,"1,570,725.00"
15-Jun-22,28.54,"1,570,725.00"
14-Jun-22,28.84,"1,570,725.00"
10-Jun-22,29.92,"1,570,725.00"
9-Jun-22,30.39,"1,570,725.00"
8-Jun-22,30.84,"1,570,725.00"
7-Jun-22,30.86,"1,570,725.00"
6-Jun-22,31.24,"1,570,725.00"
3-Jun-22,31.38,"1,570,725.00"
2-Jun-22,31.09,"1,570,725.00"
1-Jun-22,31.36,"1,570,725.00"
31-May-22,31.25,"1,570,725.00"
30-May-22,31.32,"1,570,725.00"
27-May-22,30.96,"1,570,725.00"
26-May-22,30.66,"1,570,725.00"
25-May-22,30.92,"1,570,725.00"
24-May-22,30.88,"1,570,725.00"
23-May-22,30.92,"1,570,725.00"
20-May-22,30.8,"1,570,725.00"
19-May-22,30.53,"1,570,725.00"
18-May-22,31.11,"1,570,725.00"
17-May-22,30.84,"1,570,725.00"
16-May-22,30.62,"1,570,725.00"
13-May-22,30.59,"1,570,725.00"
12-May-22,30.08,"1,570,725.00"
11-May-22,30.68,"1,570,725.00"
10-May-22,30.55,"1,570,725.00"
9-May-22,30.8,"1,570,725.00"
6-May-22,31.21,"1,570,725.00"
5-May-22,31.87,"1,570,725.00"
4-May-22,31.52,"1,570,725.00"
3-May-22,31.68,"1,570,725.00"
2-May-22,31.93,"1,570,725.00"
29-Apr-22,32.37,"1,570,725.00"
28-Apr-22,32.05,"1,570,725.00"
27-Apr-22,31.56,"1,570,725.00"
26-Apr-22,31.73,"1,570,725.00"
22-Apr-22,32.49,"1,570,725.00"
21-Apr-22,32.91,"1,570,725.00"
20-Apr-22,32.78,"1,530,725.00"
19-Apr-22,32.78,"1,530,725.00"
14-Apr-22,32.6,"1,530,725.00"
13-Apr-22,32.44,"1,530,725.00"
12-Apr-22,32.23,"1,530,725.00"
11-Apr-22,32.31,"1,410,725.00"
8-Apr-22,32.25,"1,410,725.00"
7-Apr-22,32.07,"1,410,725.00"
6-Apr-22,32.3,"1,410,725.00"
5-Apr-22,32.42,"1,410,725.00"
4-Apr-22,32.31,"1,410,725.00"
1-Apr-22,32.13,"1,410,725.00"
31-Mar-22,32.25,"1,410,725.00"
30-Mar-22,32.32,"1,410,725.00"
29-Mar-22,32.18,"1,410,725.00"
28-Mar-22,32.01,"1,410,725.00"
25-Mar-22,31.97,"1,410,725.00"
24-Mar-22,31.86,"1,410,725.00"
23-Mar-22,31.82,"1,410,725.00"
22-Mar-22,31.73,"1,410,725.00"
21-Mar-22,31.38,"1,410,725.00"
18-Mar-22,31.43,"1,410,725.00"
