Date,Costs,Volume
12-Jul-22,33.27,"4,148,097.00"
11-Jul-22,33.57,"4,148,097.00"
8-Jul-22,33.28,"4,148,097.00"
7-Jul-22,33.39,"4,148,097.00"
6-Jul-22,33.07,"4,148,097.00"
5-Jul-22,33.02,"4,152,430.00"
4-Jul-22,32.93,"4,152,430.00"
1-Jul-22,33.26,"4,152,430.00"
30-Jun-22,35.36,"4,134,731.00"
29-Jun-22,35.66,"4,134,731.00"
28-Jun-22,35.69,"4,134,731.00"
27-Jun-22,35.94,"4,134,731.00"
24-Jun-22,35.75,"4,134,731.00"
23-Jun-22,35.03,"4,214,731.00"
22-Jun-22,34.89,"4,214,731.00"
21-Jun-22,34.92,"4,214,731.00"
20-Jun-22,34.42,"4,214,731.00"
17-Jun-22,34.68,"4,214,731.00"
16-Jun-22,34.61,"4,214,731.00"
15-Jun-22,35.67,"4,214,731.00"
14-Jun-22,35.66,"4,214,731.00"
10-Jun-22,36.3,"4,214,731.00"
9-Jun-22,36.9,"4,214,731.00"
8-Jun-22,37.2,"4,214,731.00"
7-Jun-22,37.59,"4,214,731.00"
6-Jun-22,37.36,"4,214,731.00"
3-Jun-22,37.25,"4,214,731.00"
2-Jun-22,37.62,"4,214,731.00"
1-Jun-22,37.39,"4,214,731.00"
31-May-22,37.75,"4,214,731.00"
30-May-22,37.96,"4,214,731.00"
27-May-22,38.06,"4,214,731.00"
26-May-22,37.69,"4,214,731.00"
25-May-22,37.13,"4,214,731.00"
24-May-22,36.81,"4,214,731.00"
23-May-22,36.87,"4,214,731.00"
20-May-22,36.75,"4,294,731.00"
19-May-22,36.53,"4,294,731.00"
18-May-22,37,"4,294,731.00"
17-May-22,38.28,"4,294,731.00"
16-May-22,37.82,"4,294,731.00"
13-May-22,38.02,"4,294,731.00"
12-May-22,37.46,"4,294,731.00"
11-May-22,36.87,"4,294,731.00"
10-May-22,37.57,"4,294,731.00"
9-May-22,37.29,"4,294,731.00"
6-May-22,37.65,"4,294,731.00"
5-May-22,37.76,"4,294,731.00"
4-May-22,38.71,"4,294,731.00"
3-May-22,38.25,"4,294,731.00"
2-May-22,38.19,"4,294,731.00"
29-Apr-22,37.81,"4,294,731.00"
28-Apr-22,38.79,"4,294,731.00"
27-Apr-22,37.99,"4,294,731.00"
26-Apr-22,37.85,"4,374,731.00"
22-Apr-22,38.12,"4,374,731.00"
21-Apr-22,38.5,"4,374,731.00"
20-Apr-22,38.64,"4,374,731.00"
19-Apr-22,38.71,"4,374,731.00"
14-Apr-22,38,"4,374,731.00"
13-Apr-22,38.26,"4,374,731.00"
12-Apr-22,37.58,"4,374,731.00"
11-Apr-22,37.89,"4,374,731.00"
8-Apr-22,38.16,"4,374,731.00"
7-Apr-22,37.98,"4,374,731.00"
6-Apr-22,37.53,"4,374,731.00"
5-Apr-22,37.41,"4,374,731.00"
4-Apr-22,38.21,"4,374,731.00"
1-Apr-22,38.32,"4,374,731.00"
31-Mar-22,38.31,"4,374,731.00"
30-Mar-22,38.82,"4,374,731.00"
29-Mar-22,39.11,"4,374,731.00"
28-Mar-22,38.68,"4,374,731.00"
25-Mar-22,38.53,"4,374,731.00"
24-Mar-22,38.35,"4,374,731.00"
23-Mar-22,38.03,"4,374,731.00"
22-Mar-22,38.69,"4,374,731.00"
21-Mar-22,38.53,"4,374,731.00"
18-Mar-22,38.61,"4,374,731.00"
17-Mar-22,38.39,"4,374,731.00"
16-Mar-22,38.54,"4,374,731.00"
15-Mar-22,38.01,"4,374,731.00"
14-Mar-22,37.35,"4,374,731.00"
11-Mar-22,37.11,"4,374,731.00"
10-Mar-22,37.28,"4,374,731.00"
9-Mar-22,37.54,"4,374,731.00"
8-Mar-22,36.94,"4,374,731.00"
7-Mar-22,37.05,"4,374,731.00"
4-Mar-22,37.94,"4,374,731.00"
3-Mar-22,38.55,"4,374,731.00"
2-Mar-22,38.96,"4,374,731.00"
1-Mar-22,38.3,"4,374,731.00"
28-Feb-22,38.73,"4,374,731.00"
25-Feb-22,38.96,"4,374,731.00"
24-Feb-22,38.69,"4,374,731.00"
23-Feb-22,38,"4,374,731.00"
22-Feb-22,38.54,"4,374,731.00"
21-Feb-22,39.01,"4,374,731.00"
18-Feb-22,39.3,"4,374,731.00"
17-Feb-22,39.39,"4,374,731.00"
16-Feb-22,40.09,"4,374,731.00"
15-Feb-22,40.06,"4,374,731.00"
14-Feb-22,39.63,"4,374,731.00"
11-Feb-22,39.69,"4,374,731.00"
10-Feb-22,39.84,"4,374,731.00"
9-Feb-22,40.57,"4,374,731.00"
8-Feb-22,40.2,"4,374,731.00"
7-Feb-22,39.84,"4,374,731.00"
4-Feb-22,40.16,"4,374,731.00"
3-Feb-22,39.76,"4,374,731.00"
2-Feb-22,40.39,"4,374,731.00"
1-Feb-22,39.99,"4,374,731.00"
31-Jan-22,40.12,"4,374,731.00"
28-Jan-22,39.85,"4,374,731.00"
27-Jan-22,39.08,"4,374,731.00"
25-Jan-22,39.11,"4,374,731.00"
24-Jan-22,39.77,"4,534,731.00"
21-Jan-22,39.24,"4,534,731.00"
20-Jan-22,39.45,"4,534,731.00"
19-Jan-22,40.13,"4,534,731.00"
18-Jan-22,40.72,"4,534,731.00"
17-Jan-22,41.26,"4,534,731.00"
14-Jan-22,41.13,"4,534,731.00"
13-Jan-22,40.9,"4,534,731.00"
12-Jan-22,41.2,"4,534,731.00"
11-Jan-22,41.45,"4,534,731.00"
10-Jan-22,41.24,"4,535,445.00"
7-Jan-22,41.32,"4,535,445.00"
6-Jan-22,41.47,"4,535,445.00"
5-Jan-22,41.26,"4,533,905.00"
4-Jan-22,41.8,"4,533,905.00"
31-Dec-21,41.45,"4,533,905.00"
30-Dec-21,41.57,"4,533,905.00"
29-Dec-21,41.68,"4,533,905.00"
24-Dec-21,41.08,"4,533,905.00"
