Date,Costs,Volume
12-Jul-22,122.24,"1,145,002.00"
11-Jul-22,123.34,"1,122,002.00"
8-Jul-22,124.55,"1,122,002.00"
7-Jul-22,124.46,"1,122,002.00"
6-Jul-22,122.51,"1,122,002.00"
5-Jul-22,121.91,"1,123,197.00"
4-Jul-22,121.9,"1,123,197.00"
1-Jul-22,121.53,"1,123,197.00"
30-Jun-22,122.71,"1,120,760.00"
29-Jun-22,124.48,"1,120,760.00"
28-Jun-22,124.25,"1,120,760.00"
27-Jun-22,126.36,"1,120,760.00"
24-Jun-22,126.65,"1,120,760.00"
23-Jun-22,123.12,"1,097,760.00"
22-Jun-22,122.33,"1,097,760.00"
21-Jun-22,122.77,"1,097,760.00"
20-Jun-22,119.95,"1,097,760.00"
17-Jun-22,119.57,"1,097,760.00"
16-Jun-22,119.74,"1,097,760.00"
15-Jun-22,123.02,"1,097,760.00"
14-Jun-22,121.18,"1,097,760.00"
10-Jun-22,125.68,"1,097,760.00"
9-Jun-22,129.47,"1,097,760.00"
8-Jun-22,132.34,"1,097,760.00"
7-Jun-22,133.15,"1,097,760.00"
6-Jun-22,132.27,"1,097,760.00"
3-Jun-22,131.76,"1,097,760.00"
2-Jun-22,133.43,"1,097,760.00"
1-Jun-22,132.01,"1,097,760.00"
31-May-22,132.34,"1,097,760.00"
30-May-22,132.52,"1,097,760.00"
27-May-22,132.22,"1,097,760.00"
26-May-22,129.62,"1,097,760.00"
25-May-22,127.78,"1,097,760.00"
24-May-22,127.18,"1,097,760.00"
23-May-22,128.13,"1,051,760.00"
20-May-22,125.29,"1,051,760.00"
19-May-22,124.92,"1,051,760.00"
18-May-22,126.5,"1,051,760.00"
17-May-22,130.81,"1,051,760.00"
16-May-22,128.77,"1,051,760.00"
13-May-22,128.87,"1,051,760.00"
12-May-22,125.99,"1,074,760.00"
11-May-22,127.09,"1,074,760.00"
10-May-22,128.65,"1,074,760.00"
9-May-22,128.05,"1,074,760.00"
6-May-22,131.65,"1,074,760.00"
5-May-22,132.11,"1,074,760.00"
4-May-22,136.02,"1,074,760.00"
3-May-22,133.42,"1,074,760.00"
2-May-22,132.89,"1,074,760.00"
29-Apr-22,132.55,"1,074,760.00"
28-Apr-22,136.86,"1,074,760.00"
27-Apr-22,133.5,"1,074,760.00"
26-Apr-22,133.13,"1,074,760.00"
22-Apr-22,136.07,"1,074,760.00"
21-Apr-22,139.47,"1,097,760.00"
20-Apr-22,140.79,"1,097,760.00"
19-Apr-22,140.56,"1,097,760.00"
14-Apr-22,138.96,"1,097,760.00"
13-Apr-22,140.39,"1,097,760.00"
12-Apr-22,138.96,"1,097,760.00"
11-Apr-22,139.34,"1,097,760.00"
8-Apr-22,141.6,"1,097,760.00"
7-Apr-22,141.86,"1,097,760.00"
6-Apr-22,141.62,"1,097,760.00"
5-Apr-22,143.27,"1,097,760.00"
4-Apr-22,144.58,"1,097,760.00"
1-Apr-22,143.08,"1,097,760.00"
31-Mar-22,142.55,"1,097,760.00"
30-Mar-22,144.58,"1,074,760.00"
29-Mar-22,145.11,"1,074,760.00"
28-Mar-22,143.56,"1,074,760.00"
25-Mar-22,142.75,"1,074,760.00"
24-Mar-22,142.19,"1,074,760.00"
23-Mar-22,140.74,"1,074,760.00"
22-Mar-22,141.51,"1,074,760.00"
21-Mar-22,139.77,"1,074,760.00"
18-Mar-22,139.51,"1,074,760.00"
17-Mar-22,138.24,"1,074,760.00"
16-Mar-22,136.8,"1,074,760.00"
15-Mar-22,133.96,"1,074,760.00"
14-Mar-22,131.83,"1,074,760.00"
11-Mar-22,132.73,"1,074,760.00"
10-Mar-22,133.96,"1,074,760.00"
9-Mar-22,134.63,"1,074,760.00"
8-Mar-22,130.83,"1,074,760.00"
7-Mar-22,131.6,"1,074,760.00"
4-Mar-22,134.6,"1,074,760.00"
3-Mar-22,136.77,"1,074,760.00"
2-Mar-22,137.85,"1,074,760.00"
1-Mar-22,136.1,"1,074,760.00"
28-Feb-22,137.94,"1,074,760.00"
25-Feb-22,138.51,"1,074,760.00"
24-Feb-22,135.46,"1,074,760.00"
23-Feb-22,135.24,"1,074,760.00"
22-Feb-22,137.05,"1,074,760.00"
21-Feb-22,138.07,"1,074,760.00"
18-Feb-22,138.34,"1,074,760.00"
17-Feb-22,139.35,"1,074,760.00"
16-Feb-22,141.65,"1,074,760.00"
15-Feb-22,141.45,"1,074,760.00"
14-Feb-22,139.85,"1,051,760.00"
11-Feb-22,140.78,"1,051,760.00"
10-Feb-22,142.65,"1,051,760.00"
9-Feb-22,144.51,"1,051,760.00"
8-Feb-22,143.21,"1,051,760.00"
7-Feb-22,142.29,"1,051,760.00"
4-Feb-22,142.61,"1,051,760.00"
3-Feb-22,141.35,"1,051,760.00"
2-Feb-22,144.28,"1,051,760.00"
