Date,Costs,Volume
12-Jul-22,85.42,"2,124,524.00"
11-Jul-22,85.66,"2,124,524.00"
8-Jul-22,84.44,"2,124,524.00"
7-Jul-22,85.1,"2,124,524.00"
6-Jul-22,85.63,"2,124,524.00"
5-Jul-22,85.36,"2,127,711.00"
4-Jul-22,84.95,"2,127,711.00"
1-Jul-22,85.97,"2,127,711.00"
30-Jun-22,84.71,"2,123,464.00"
29-Jun-22,84.81,"2,123,464.00"
28-Jun-22,84.03,"2,123,464.00"
27-Jun-22,84.74,"2,123,464.00"
24-Jun-22,85,"2,123,464.00"
23-Jun-22,83.36,"2,132,464.00"
22-Jun-22,81.86,"2,132,464.00"
21-Jun-22,81.24,"2,132,464.00"
20-Jun-22,79.84,"2,132,464.00"
17-Jun-22,80.6,"2,132,464.00"
16-Jun-22,80.01,"2,135,464.00"
15-Jun-22,80.97,"2,121,964.00"
14-Jun-22,80.95,"2,121,964.00"
10-Jun-22,81.84,"2,121,964.00"
9-Jun-22,81.48,"2,121,964.00"
8-Jun-22,81.79,"2,121,964.00"
7-Jun-22,82.97,"2,121,964.00"
6-Jun-22,82.87,"2,121,964.00"
3-Jun-22,82.85,"2,121,964.00"
2-Jun-22,83.65,"2,120,464.00"
1-Jun-22,82.95,"2,120,464.00"
31-May-22,84.39,"2,118,964.00"
30-May-22,84.1,"2,118,964.00"
27-May-22,84.63,"2,117,464.00"
26-May-22,84.64,"2,117,464.00"
25-May-22,84.04,"2,117,464.00"
24-May-22,84.01,"2,117,464.00"
23-May-22,82.94,"2,117,464.00"
20-May-22,82.18,"2,117,464.00"
19-May-22,81.75,"2,117,464.00"
18-May-22,83.41,"2,117,464.00"
17-May-22,87.91,"2,117,464.00"
16-May-22,89.05,"2,117,464.00"
13-May-22,89.12,"2,117,464.00"
12-May-22,87.74,"2,117,464.00"
11-May-22,86.55,"2,117,464.00"
10-May-22,87.4,"2,114,464.00"
9-May-22,87.13,"2,114,464.00"
6-May-22,86.12,"2,114,464.00"
5-May-22,86.1,"2,114,464.00"
4-May-22,87.87,"2,114,464.00"
3-May-22,87.21,"2,114,464.00"
2-May-22,87.82,"2,114,464.00"
29-Apr-22,87.8,"2,193,964.00"
28-Apr-22,89.75,"2,193,964.00"
27-Apr-22,88.35,"2,193,964.00"
26-Apr-22,87.6,"2,193,964.00"
22-Apr-22,87.43,"2,186,464.00"
21-Apr-22,86.78,"2,168,464.00"
20-Apr-22,86.36,"2,156,464.00"
19-Apr-22,86.16,"2,151,964.00"
14-Apr-22,85.67,"2,147,464.00"
13-Apr-22,85.87,"2,147,464.00"
12-Apr-22,84.52,"2,144,464.00"
11-Apr-22,85.57,"2,139,964.00"
8-Apr-22,85.56,"2,099,464.00"
7-Apr-22,85.12,"2,088,964.00"
6-Apr-22,83.75,"2,085,964.00"
5-Apr-22,82.35,"2,078,464.00"
4-Apr-22,83.12,"2,070,964.00"
1-Apr-22,83.86,"2,069,464.00"
31-Mar-22,82.57,"2,046,964.00"
30-Mar-22,83.12,"2,046,964.00"
29-Mar-22,83.17,"2,043,964.00"
28-Mar-22,82.5,"2,027,464.00"
25-Mar-22,81.9,"2,024,464.00"
24-Mar-22,81.4,"2,021,464.00"
23-Mar-22,80.85,"1,949,464.00"
22-Mar-22,82.57,"1,940,464.00"
21-Mar-22,82.01,"1,928,464.00"
18-Mar-22,82.56,"1,896,964.00"
17-Mar-22,82.11,"1,895,464.00"
16-Mar-22,83.14,"1,895,464.00"
15-Mar-22,82.97,"1,847,464.00"
14-Mar-22,80.97,"1,842,964.00"
11-Mar-22,79.37,"1,841,464.00"
10-Mar-22,80.31,"1,752,964.00"
9-Mar-22,81.5,"1,752,964.00"
8-Mar-22,80.39,"1,751,464.00"
7-Mar-22,80.97,"1,748,464.00"
4-Mar-22,83.06,"1,743,964.00"
3-Mar-22,84.07,"1,743,964.00"
2-Mar-22,85.16,"1,743,964.00"
1-Mar-22,84.64,"1,743,964.00"
28-Feb-22,85.54,"1,736,464.00"
25-Feb-22,87.05,"1,736,464.00"
24-Feb-22,86.1,"1,736,464.00"
23-Feb-22,86.01,"1,736,464.00"
22-Feb-22,86.44,"1,734,964.00"
