Date,Costs,Volume
12-Jul-22,73,"491,540.00"
11-Jul-22,73.84,"491,540.00"
8-Jul-22,73.84,"491,540.00"
7-Jul-22,74.41,"491,540.00"
6-Jul-22,74.02,"491,540.00"
5-Jul-22,74.49,"493,179.00"
4-Jul-22,74.7,"483,179.00"
1-Jul-22,75.1,"483,179.00"
30-Jun-22,76.24,"481,182.00"
29-Jun-22,76.4,"481,182.00"
28-Jun-22,76.42,"481,182.00"
27-Jun-22,77.4,"481,182.00"
24-Jun-22,78.16,"481,182.00"
23-Jun-22,77.8,"481,182.00"
22-Jun-22,77.54,"481,182.00"
21-Jun-22,77.72,"481,182.00"
20-Jun-22,77.3,"481,182.00"
17-Jun-22,77.47,"481,182.00"
16-Jun-22,77.01,"481,182.00"
15-Jun-22,77.47,"481,182.00"
14-Jun-22,76.66,"531,182.00"
10-Jun-22,79.29,"531,182.00"
9-Jun-22,80.53,"531,182.00"
8-Jun-22,81.28,"531,182.00"
7-Jun-22,81.6,"531,182.00"
6-Jun-22,81.38,"531,182.00"
3-Jun-22,81.7,"531,182.00"
2-Jun-22,81.7,"531,182.00"
1-Jun-22,81.71,"501,182.00"
31-May-22,82.18,"501,182.00"
30-May-22,82.73,"501,182.00"
27-May-22,82.78,"501,182.00"
26-May-22,82.15,"501,182.00"
25-May-22,81.66,"501,182.00"
24-May-22,81.04,"501,182.00"
23-May-22,80.81,"501,182.00"
20-May-22,80.33,"501,182.00"
19-May-22,80.21,"491,182.00"
18-May-22,80.01,"491,182.00"
17-May-22,80.33,"491,182.00"
16-May-22,80.38,"491,182.00"
13-May-22,80.83,"481,182.00"
12-May-22,80.45,"481,182.00"
11-May-22,80.56,"481,182.00"
10-May-22,80.22,"481,182.00"
9-May-22,79.72,"481,182.00"
6-May-22,80.86,"741,182.00"
5-May-22,81.33,"741,182.00"
4-May-22,81.63,"741,182.00"
3-May-22,81.71,"741,182.00"
2-May-22,82.07,"741,182.00"
29-Apr-22,82.07,"741,182.00"
28-Apr-22,82.49,"741,182.00"
27-Apr-22,82.9,"741,182.00"
26-Apr-22,83.36,"741,182.00"
22-Apr-22,83.35,"741,182.00"
21-Apr-22,83.99,"741,182.00"
20-Apr-22,84.44,"731,182.00"
19-Apr-22,84.28,"731,182.00"
14-Apr-22,84.67,"751,182.00"
13-Apr-22,85.4,"751,182.00"
12-Apr-22,85.26,"751,182.00"
11-Apr-22,84.89,"751,182.00"
8-Apr-22,86.05,"751,182.00"
7-Apr-22,86.29,"751,182.00"
6-Apr-22,86.68,"741,182.00"
5-Apr-22,87.72,"742,234.00"
4-Apr-22,88.25,"742,234.00"
1-Apr-22,87.88,"742,234.00"
31-Mar-22,88.82,"741,082.00"
30-Mar-22,88.9,"741,082.00"
29-Mar-22,88.69,"741,082.00"
28-Mar-22,87.53,"741,082.00"
25-Mar-22,86.92,"731,082.00"
24-Mar-22,87.07,"731,082.00"
23-Mar-22,87.01,"731,082.00"
22-Mar-22,86.95,"731,082.00"
21-Mar-22,87.64,"731,082.00"
18-Mar-22,88.45,"731,082.00"
17-Mar-22,88.82,"731,082.00"
16-Mar-22,87.47,"731,082.00"
15-Mar-22,86.37,"731,082.00"
14-Mar-22,86.18,"731,082.00"
11-Mar-22,86.64,"731,082.00"
10-Mar-22,86.59,"731,082.00"
9-Mar-22,86.99,"731,082.00"
8-Mar-22,85.47,"731,082.00"
7-Mar-22,85.54,"731,082.00"
4-Mar-22,86.33,"741,082.00"
3-Mar-22,87.57,"741,082.00"
2-Mar-22,88.72,"741,082.00"
1-Mar-22,87.69,"741,082.00"
28-Feb-22,88.23,"741,082.00"
25-Feb-22,89.76,"741,082.00"
24-Feb-22,87.07,"731,082.00"
23-Feb-22,91.31,"731,082.00"
22-Feb-22,92.36,"731,082.00"
21-Feb-22,92.15,"731,082.00"
18-Feb-22,92.95,"661,082.00"
17-Feb-22,93.16,"661,082.00"
16-Feb-22,93.28,"661,082.00"
15-Feb-22,93.3,"661,082.00"
14-Feb-22,92.76,"661,082.00"
11-Feb-22,92.96,"661,082.00"
10-Feb-22,93.76,"661,082.00"
9-Feb-22,94.23,"661,082.00"
8-Feb-22,93.75,"661,082.00"
7-Feb-22,94.1,"661,082.00"
4-Feb-22,94.25,"661,082.00"
3-Feb-22,94.81,"661,082.00"
2-Feb-22,95.2,"661,082.00"
1-Feb-22,94.82,"661,082.00"
