Date,Costs,Volume
12-Jul-22,564.68,"8,621,149.00"
11-Jul-22,572.17,"8,630,249.00"
8-Jul-22,567.81,"8,630,249.00"
7-Jul-22,570.92,"8,628,949.00"
6-Jul-22,567.65,"8,628,949.00"
5-Jul-22,565.54,"8,630,295.00"
4-Jul-22,557.91,"8,630,295.00"
1-Jul-22,564.67,"8,628,995.00"
30-Jun-22,552.41,"8,624,884.00"
29-Jun-22,557.02,"8,624,884.00"
28-Jun-22,553.83,"8,622,284.00"
27-Jun-22,563.73,"8,615,784.00"
24-Jun-22,565.66,"8,628,784.00"
23-Jun-22,550.72,"8,628,784.00"
22-Jun-22,543.06,"8,628,784.00"
21-Jun-22,540.42,"8,628,784.00"
20-Jun-22,528.53,"8,628,784.00"
17-Jun-22,533.59,"8,626,184.00"
16-Jun-22,528.27,"8,623,584.00"
15-Jun-22,547.89,"8,637,884.00"
14-Jun-22,544.42,"8,637,884.00"
10-Jun-22,554.42,"8,637,884.00"
9-Jun-22,565.33,"8,637,884.00"
8-Jun-22,572.17,"8,640,484.00"
7-Jun-22,577.67,"8,640,484.00"
6-Jun-22,572.24,"8,617,084.00"
3-Jun-22,570.05,"8,628,784.00"
2-Jun-22,578.99,"8,613,184.00"
1-Jun-22,571.93,"8,613,184.00"
31-May-22,577.73,"8,614,484.00"
30-May-22,579.26,"8,614,484.00"
27-May-22,582.91,"8,614,484.00"
26-May-22,574.69,"8,614,484.00"
25-May-22,564,"8,604,084.00"
24-May-22,559.14,"8,601,484.00"
23-May-22,560.8,"8,609,284.00"
20-May-22,556.15,"8,594,984.00"
19-May-22,553.98,"8,585,884.00"
18-May-22,560.72,"8,584,584.00"
17-May-22,584.85,"8,589,784.00"
16-May-22,578.69,"8,589,784.00"
13-May-22,583.07,"8,589,784.00"
12-May-22,572.18,"8,589,784.00"
11-May-22,563.43,"8,589,784.00"
10-May-22,576.75,"8,589,784.00"
9-May-22,572.23,"8,589,784.00"
6-May-22,581.25,"8,575,484.00"
5-May-22,581.66,"8,575,484.00"
4-May-22,603.11,"8,575,484.00"
