Date,Costs,Volume
13-Jul-22,25.69,"16,826,871.00"
12-Jul-22,25.66,"16,826,871.00"
11-Jul-22,25.56,"16,826,871.00"
8-Jul-22,25.83,"16,826,871.00"
7-Jul-22,25.79,"16,826,871.00"
6-Jul-22,25.51,"16,826,871.00"
5-Jul-22,25.71,"16,846,027.00"
4-Jul-22,25.61,"16,846,027.00"
1-Jul-22,25.33,"16,771,027.00"
30-Jun-22,26.23,"16,701,567.00"
29-Jun-22,26.83,"16,701,567.00"
28-Jun-22,26.93,"16,626,567.00"
27-Jun-22,26.64,"16,626,567.00"
24-Jun-22,26.08,"16,626,567.00"
23-Jun-22,26.04,"16,626,567.00"
22-Jun-22,25.96,"16,551,567.00"
21-Jun-22,25.97,"16,551,567.00"
20-Jun-22,25.54,"16,551,567.00"
17-Jun-22,25.8,"16,551,567.00"
16-Jun-22,26.35,"16,551,567.00"
15-Jun-22,26.38,"16,476,567.00"
14-Jun-22,26.68,"16,476,567.00"
10-Jun-22,27.71,"16,476,567.00"
9-Jun-22,27.98,"16,401,567.00"
8-Jun-22,28.37,"16,401,567.00"
7-Jun-22,28.41,"16,401,567.00"
6-Jun-22,28.88,"16,401,567.00"
3-Jun-22,28.94,"16,401,567.00"
2-Jun-22,28.72,"16,401,567.00"
1-Jun-22,28.94,"16,401,567.00"
31-May-22,28.55,"16,401,567.00"
30-May-22,28.88,"16,326,567.00"
27-May-22,28.52,"16,326,567.00"
26-May-22,28.19,"16,326,567.00"
25-May-22,28.43,"16,326,567.00"
24-May-22,28.2,"16,326,567.00"
23-May-22,28.19,"16,326,567.00"
20-May-22,28.19,"16,326,567.00"
19-May-22,27.88,"16,326,567.00"
18-May-22,28.33,"16,326,567.00"
17-May-22,28.13,"16,251,567.00"
16-May-22,28.03,"16,251,567.00"
13-May-22,28.04,"16,251,567.00"
12-May-22,27.55,"16,251,567.00"
11-May-22,27.92,"16,251,567.00"
10-May-22,27.82,"16,251,567.00"
9-May-22,28.14,"16,251,567.00"
6-May-22,28.3,"16,251,567.00"
5-May-22,28.84,"16,176,567.00"
4-May-22,28.76,"16,176,567.00"
3-May-22,28.72,"16,176,567.00"
2-May-22,28.83,"16,176,567.00"
29-Apr-22,29.05,"16,176,567.00"
28-Apr-22,28.76,"16,176,567.00"
27-Apr-22,28.36,"16,176,567.00"
26-Apr-22,28.62,"16,176,567.00"
22-Apr-22,29.24,"16,176,567.00"
21-Apr-22,29.72,"16,101,567.00"
20-Apr-22,29.7,"16,101,567.00"
19-Apr-22,29.74,"16,101,567.00"
14-Apr-22,29.54,"16,101,567.00"
13-Apr-22,29.41,"16,101,567.00"
