ETF Names,30-Jun-17,31-Jul-17,31-Aug-17,30-Sep-17,31-Oct-17,30-Nov-17,31-Dec-17,31-Jan-18,28-Feb-18,31-Mar-18,30-Apr-18,31-May-18,30-Jun-18,31-Jul-18,31-Aug-18,30-Sep-18,31-Oct-18,30-Nov-18,31-Dec-18,31-Jan-19,28-Feb-19,31-Mar-19,30-Apr-19,31-May-19,30-Jun-19,31-Jul-19,31-Aug-19,30-Sep-19,31-Oct-19,30-Nov-19,31-Dec-19,31-Jan-20,29-Feb-20,31-Mar-20,30-Apr-20,31-May-20,30-Jun-20,31-Jul-20,31-Aug-20,30-Sep-20,31-Oct-20,30-Nov-20,31-Dec-20,31-Jan-21,28-Feb-21,31-Mar-21,30-Apr-21,31-May-21,30-Jun-21,31-Jul-21,31-Aug-21,30-Sep-21,31-Oct-21,30-Nov-21,31-Dec-21,31-Jan-22,28-Feb-22,31-Mar-22,30-Apr-22,31-May-22,30-Jun-22,STD_2017_2022,STD_2017_2018,STD_2018_2019,STD_2019_2020,STD_2020_2021,STD_2021_2022
iShares Asia 50 ETF,-1.1,1.34,1.72,1.11,8.0,2.58,-0.67,5.0,-1.72,0.52,2.89,-2.41,-2.34,0.18,1.69,-0.64,-10.12,2.03,0.74,5.86,2.37,1.1,4.16,-8.22,6.81,-0.84,-2.85,3.24,2.12,2.52,4.41,-0.92,3.41,-5.19,-0.24,-1.45,5.7,2.91,0.36,3.0,5.45,4.86,2.59,8.07,0.22,-1.09,-1.37,-1.18,3.92,-6.44,-0.44,-4.79,-1.6,1.42,-1.74,4.32,-9.21,-8.37,-0.8,0.93,0.42,3.9278468148710814,3.0144434363194197,4.892725631237061,3.5184147435588526,3.015198041716204,4.323177546962894
iShares China Large-Cap ETF,-3.49,2.8,4.34,0.07,7.23,1.73,-0.88,10.04,-5.25,-1.48,3.95,-2.04,-3.98,-0.82,1.23,0.74,-6.33,3.8,-2.58,6.56,3.65,1.62,1.42,-7.82,5.44,-2.18,-2.63,1.63,1.22,1.34,4.14,-4.36,6.23,-2.74,-3.9,-0.2,-1.29,0.04,3.04,-1.42,7.17,1.57,-4.48,6.92,-1.48,-3.34,-2.2,-0.29,3.6,-10.63,1.57,-3.79,-0.37,0.31,-5.64,7.02,-10.68,-11.48,2.27,2.01,11.45,4.750721314228449,4.545874291808241,4.385783121603666,3.488395413955042,3.665790921059612,7.037962081200087
iShares Core Cash ETF,0.0,0.0,0.14,0.14,0.15,0.13,0.13,0.17,0.13,0.13,0.17,0.17,0.15,0.19,0.17,0.15,0.18,0.16,0.16,0.18,0.18,0.16,0.17,0.15,0.13,0.13,0.08,0.09,0.08,0.08,0.08,0.09,0.07,0.1,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.03,0.05,0.07110102102823018,0.05708742732839131,0.016602440351979154,0.03682947537517004,0.005188745216627709,0.016132464481796026
iShares Core Composite Bond ETF,-0.92,0.23,-0.02,-0.34,1.09,0.86,-0.56,-0.26,0.29,0.8,-0.34,0.67,0.45,0.15,0.8,-0.46,0.49,0.23,1.48,0.63,0.93,1.79,0.29,1.69,1.01,0.96,1.49,-0.49,-0.51,0.8,-1.65,2.31,0.84,-0.22,-0.09,0.27,0.31,0.36,-0.43,1.07,0.26,-0.12,-0.28,-0.45,-3.61,0.79,0.55,0.25,0.68,1.75,0.09,-1.53,-3.59,2.08,0.08,-1.03,-1.23,-3.78,-1.52,-0.9,-1.49,1.2306100046751438,0.6139218191268331,0.6501981946358297,1.0142927307191665,1.1680621690514725,1.755787864646816
iShares Core Global Corporate Bond (AUD Hedged) ETF,0.03,0.6,0.64,-0.18,0.53,-0.02,0.76,-0.75,-1.07,0.15,-0.51,0.36,-0.41,0.62,0.34,-0.06,-1.19,-0.21,1.14,2.02,0.43,2.16,0.31,0.8,2.31,0.88,2.01,-0.51,0.2,0.16,0.24,1.98,0.04,-6.57,4.56,1.15,1.86,1.77,-1.08,0.11,-0.06,2.18,0.42,-1.01,-2.18,0.05,0.36,0.58,1.09,1.17,-0.24,-1.19,0.21,-0.1,-0.16,-2.82,-2.26,-1.5,-4.65,-0.18,-2.98,1.660461289518389,0.5735997443049174,1.0482653559143584,2.5476213138875954,1.2531867071896843,1.7249897807203798
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,0.47,1.37,0.05,2.88,2.63,1.7,0.96,3.41,-3.89,-1.44,1.67,1.93,0.09,3.19,1.61,0.38,-7.27,1.25,-8.47,7.23,3.52,1.31,3.83,-5.96,5.47,1.0,-1.89,2.53,1.79,2.97,2.21,-0.93,-8.35,-14.58,9.2,4.73,2.08,2.97,5.54,-2.81,-2.51,11.2,3.61,-0.12,3.26,4.71,3.61,1.35,3.37,2.77,3.71,-4.31,6.91,-0.64,3.92,-6.36,-3.65,3.3,-8.34,-1.4,-7.26,4.618472845082563,1.9517855073410775,4.853091137588866,6.119099146032393,3.58709832022686,4.990665517512901
iShares Core MSCI World ex Australia ESG Leaders ETF,-2.22,-1.7,0.6,3.81,4.18,3.25,-1.81,1.38,-0.59,0.27,2.41,1.11,2.04,2.44,4.15,0.11,-5.85,-1.73,-4.58,4.1,5.68,1.17,4.51,-4.45,4.87,2.14,0.4,2.22,0.38,4.54,-0.87,3.74,-4.79,-9.51,3.43,3.56,-1.25,0.35,2.94,-0.23,-0.47,7.2,-0.23,0.25,2.27,5.46,2.81,1.56,5.75,4.95,4.14,-3.51,3.12,4.69,1.6,-3.45,-6.45,-0.43,-3.93,-2.1,-3.75,3.4701549074885993,2.142177480736449,3.9570608750979264,4.105201672175286,2.69662704798002,4.172249285764706
iShares Core S&P/ASX 200 ETF,0.16,0.0,0.68,-0.04,4.01,1.62,1.79,-0.46,0.33,-3.79,3.9,1.08,3.24,1.38,1.41,-1.29,-6.05,-2.22,-0.14,3.85,5.97,0.71,2.37,1.7,3.69,2.92,-2.36,1.83,-0.37,3.27,-2.18,4.97,-7.69,-20.62,8.76,4.35,2.58,0.51,2.82,-3.68,1.93,10.21,1.2,0.31,1.45,2.44,3.46,2.33,2.25,1.1,2.5,-1.87,-0.11,-0.56,2.74,-6.35,2.14,6.87,-0.86,-2.61,-8.79,4.399501629748981,2.0796449401095076,3.0856296369477425,7.404534213782587,3.013075564763413,4.080421515430697
iShares Edge MSCI Australia Minimum Volatility ETF,0.12,-1.79,1.32,-0.47,4.0,2.47,0.45,-1.45,0.38,-2.72,3.24,0.89,3.62,0.93,1.6,-1.79,-4.2,-1.69,-0.18,3.45,5.03,1.27,2.28,1.91,4.34,3.53,-1.39,0.69,-0.2,1.99,-2.59,4.81,-7.0,-20.12,8.8,4.96,2.41,0.93,0.8,-3.22,1.23,6.16,0.65,0.18,-1.8,3.96,2.94,2.57,2.72,1.73,2.64,-2.0,-0.6,1.36,3.2,-7.86,2.65,5.35,1.42,-3.77,-7.1,4.1462702839732435,2.1162015438891864,2.6714528362691072,7.241138439322639,2.412177971067343,4.060677283409752
iShares Edge MSCI Australia Multifactor ETF,1.96,0.13,1.86,0.13,3.68,1.72,2.74,-0.81,0.77,-3.45,3.61,1.92,2.2,-0.32,1.18,0.28,-6.64,-2.07,0.3,3.75,6.66,-0.17,2.73,0.4,4.02,4.17,-3.48,1.13,-0.8,1.88,-0.35,4.03,-9.55,-19.71,10.39,6.8,1.1,1.84,2.08,-2.82,2.42,6.0,3.59,-0.69,-0.4,1.7,5.43,1.39,3.19,1.33,-0.03,-2.74,-0.81,-1.23,3.94,-6.22,1.99,5.72,0.36,-3.45,-8.99,4.424237305762985,1.9410587251185818,3.232935079887815,7.65153889331404,2.403344891326808,4.099393325972227
