ETF Names,STD_2017_2022,Mean_2017_2022
iShares Asia 50 ETF,3.927846815,0.528360656
iShares China Large-Cap ETF,4.750721314,0.137377049
iShares Core Cash ETF,0.071101021,0.075245902
iShares Core Composite Bond ETF,1.230610005,0.049180328
iShares Core MSCI Australia ESG Leaders ETF,4.484924197,-0.502857143
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,4.618472845,0.680491803
iShares Core MSCI World ex Australia ESG Leaders ETF,3.470154907,0.81442623
iShares Core S&P/ASX 200 ETF,4.39950163,0.635901639
iShares Edge MSCI Australia Minimum Volatility ETF,4.146270284,0.541639344
iShares Edge MSCI Australia Multifactor ETF,4.424237306,0.586721311
iShares Edge MSCI World Minimum Volatility ETF,2.771332914,0.60852459
iShares Edge MSCI World Multifactor ETF,3.401609977,0.647213115
iShares Enhanced Cash ETF,0.078132226,0.087704918
iShares Global 100 (AUD Hedged) ETF,4.251366498,0.877213115
iShares Global 100 ETF,3.190930171,1.015245902
iShares Global Consumer Staples ETF,3.136695557,0.519016393
iShares Global Healthcare ETF,3.003537823,0.97852459
iShares Global High Yield Bond (AUD Hedged) ETF,2.497313529,0.065737705
iShares Government Inflation ETF,1.814739124,0.109508197
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.092336517,-0.163114754
iShares MSCI EAFE ETF,3.09477537,0.334098361
iShares MSCI Emerging Markets ETF,3.296390715,0.30557377
iShares MSCI Japan ETF,3.235276645,0.299836066
iShares MSCI South Korea ETF,4.746756396,0.133442623
iShares S&P 500 (AUD Hedged) ETF,4.88461475,0.835901639
iShares S&P 500 ETF,3.521195424,1.063770492
iShares S&P/ASX 20 ETF,4.156094511,0.658688525
iShares S&P/ASX Dividend Opportunities ETF,4.512418644,0.374754098
iShares S&P/ASX Small Ordinaries ETF,5.503717671,0.544262295
iShares S&P Mid-Cap ETF,4.412325812,0.793278689
iShares S&P Small-Cap ETF,4.987846037,0.859508197
iShares Treasury ETF,1.410285616,0.042459016
