ETF Names,STD_2017_2018,Mean_2017_2018
iShares Asia 50 ETF,3.014443436,1.147692308
iShares China Large-Cap ETF,4.545874292,1.003076923
iShares Core Cash ETF,0.057087427,0.123846154
iShares Core Composite Bond ETF,0.613921819,0.15
iShares Core Global Corporate Bond (AUD Hedged) ETF,0.573599744,0.01
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,1.951785507,0.91
iShares Core MSCI World ex Australia ESG Leaders ETF,2.142177481,0.979230769
iShares Core S&P/ASX 200 ETF,2.07964494,0.963076923
iShares Edge MSCI Australia Minimum Volatility ETF,2.116201544,0.773846154
iShares Edge MSCI Australia Multifactor ETF,1.941058725,1.266153846
iShares Edge MSCI World Minimum Volatility ETF,2.320134833,0.616153846
iShares Edge MSCI World Multifactor ETF,2.342252641,1.111538462
iShares Enhanced Cash ETF,0.066351821,0.137692308
iShares Global 100 (AUD Hedged) ETF,2.157338401,0.843846154
iShares Global 100 ETF,2.513704489,0.914615385
iShares Global Consumer Staples ETF,3.052950653,-0.200769231
iShares Global Healthcare ETF,2.342946862,0.66
iShares Global High Yield Bond (AUD Hedged) ETF,0.51359592,0.161538462
iShares Government Inflation ETF,1.051043438,0.166153846
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,1.14572841,-0.214615385
iShares MSCI EAFE ETF,2.390354281,0.575384615
iShares MSCI Emerging Markets ETF,2.674652625,0.72
iShares MSCI Japan ETF,2.824104578,0.92
iShares MSCI South Korea ETF,4.237893314,0.386923077
iShares S&P 500 (AUD Hedged) ETF,2.392970207,1.066923077
iShares S&P 500 ETF,2.386357594,1.167692308
iShares S&P/ASX 20 ETF,2.236494223,0.823076923
iShares S&P/ASX Dividend Opportunities ETF,2.054897215,0.417692308
iShares S&P/ASX Small Ordinaries ETF,2.190267809,1.796923077
iShares S&P Mid-Cap ETF,2.921579087,1.200769231
iShares S&P Small-Cap ETF,3.718219004,1.797692308
iShares Treasury ETF,0.77692276,0.123846154
