ETF Names,STD_3_years,Returns_Average_3_years
iShares Asia 50 ETF,3.98332383428322,0.4908108108108112
iShares China Large-Cap ETF,5.019931130858128,-0.16567567567567565
iShares Core Cash ETF,0.04176295181310997,0.030540540540540537
iShares Core Composite Bond ETF,1.434880005655745,-0.1883783783783784
iShares Core Global Corporate Bond (AUD Hedged) ETF,2.0287467469754232,-0.11243243243243248
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,5.199153560700795,0.7854054054054055
iShares Core MSCI World ex Australia ESG Leaders ETF,3.714966099861898,0.8486486486486484
iShares Core S&P/ASX 200 ETF,5.286605261904391,0.5021621621621623
iShares Edge MSCI Australia Minimum Volatility ETF,5.0206885946017366,0.38837837837837846
iShares Edge MSCI Australia Multifactor ETF,5.292945202712656,0.3575675675675674
iShares Edge MSCI World Minimum Volatility ETF,3.072007003088865,0.43702702702702717
iShares Edge MSCI World Multifactor ETF,3.54806907262868,0.6694594594594594
iShares Enhanced Cash ETF,0.04576510072581994,0.04000000000000001
iShares Global 100 (AUD Hedged) ETF,4.744187940967266,1.0340540540540542
iShares Global 100 ETF,3.2578165646286426,1.100810810810811
iShares Global Consumer Staples ETF,3.3069521591009723,0.602972972972973
iShares Global Healthcare ETF,3.0868959452136666,1.0710810810810814
iShares Global High Yield Bond (AUD Hedged) ETF,3.067579378474702,-0.07108108108108098
iShares Government Inflation ETF,2.1536114301777354,-0.1054054054054054
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.7291267323846995,-0.4016216216216217
iShares MSCI EAFE ETF,3.2792662192839632,0.29270270270270266
iShares MSCI Emerging Markets ETF,3.4061719726853936,0.20378378378378376
iShares MSCI Japan ETF,3.3293322157758602,0.2256756756756757
iShares MSCI South Korea ETF,4.769327471932971,0.37351351351351336
iShares S&P 500 (AUD Hedged) ETF,5.44484702807702,0.9127027027027024
iShares S&P 500 ETF,3.6454732512014436,1.0643243243243241
iShares S&P/ASX 20 ETF,4.961186801005831,0.5375675675675676
iShares S&P/ASX Dividend Opportunities ETF,5.295828277724566,0.28027027027027024
iShares S&P/ASX Small Ordinaries ETF,6.507154009496263,0.22459459459459485
iShares S&P Mid-Cap ETF,4.5289135184564575,0.8391891891891895
iShares S&P Small-Cap ETF,4.96178806891637,0.8862162162162166
iShares Treasury ETF,1.622007987005585,-0.22108108108108113
