iShares China Large-Cap ETF,
,
Share Class Inception,05-Oct-2004
,
Month End Date,Monthly Total (NAV) Return
31-Oct-2004,--
30-Nov-2004,4.82
31-Dec-2004,-2.38
31-Jan-2005,-0.96
28-Feb-2005,4.94
31-Mar-2005,-3.43
30-Apr-2005,-0.54
31-May-2005,3.28
30-Jun-2005,4.17
31-Jul-2005,7.43
31-Aug-2005,0.71
30-Sep-2005,2.90
31-Oct-2005,-8.50
30-Nov-2005,7.30
31-Dec-2005,3.96
31-Jan-2006,10.40
28-Feb-2006,5.85
31-Mar-2006,5.59
30-Apr-2006,-0.87
31-May-2006,-4.16
30-Jun-2006,4.67
31-Jul-2006,-0.77
31-Aug-2006,1.93
30-Sep-2006,4.85
31-Oct-2006,0.99
30-Nov-2006,9.14
31-Dec-2006,18.90
31-Jan-2007,-4.86
28-Feb-2007,-4.77
31-Mar-2007,0.88
30-Apr-2007,0.07
31-May-2007,6.05
30-Jun-2007,10.23
31-Jul-2007,9.15
31-Aug-2007,11.74
30-Sep-2007,11.58
31-Oct-2007,12.06
30-Nov-2007,-8.72
31-Dec-2007,-4.28
31-Jan-2008,-21.64
29-Feb-2008,4.48
31-Mar-2008,-9.17
30-Apr-2008,13.21
31-May-2008,-4.91
30-Jun-2008,-12.47
31-Jul-2008,5.60
31-Aug-2008,1.20
30-Sep-2008,-13.03
31-Oct-2008,-10.82
30-Nov-2008,7.75
31-Dec-2008,0.78
31-Jan-2009,-1.04
28-Feb-2009,-3.91
31-Mar-2009,5.45
30-Apr-2009,5.91
31-May-2009,6.01
30-Jun-2009,3.59
31-Jul-2009,7.14
31-Aug-2009,-8.06
30-Sep-2009,-0.51
31-Oct-2009,2.83
30-Nov-2009,-0.07
31-Dec-2009,0.60
31-Jan-2010,-8.31
28-Feb-2010,0.91
31-Mar-2010,3.52
30-Apr-2010,-1.89
31-May-2010,5.37
30-Jun-2010,1.43
31-Jul-2010,-4.41
31-Aug-2010,-2.36
30-Sep-2010,-0.01
31-Oct-2010,3.32
30-Nov-2010,-0.44
31-Dec-2010,-7.06
31-Jan-2011,1.60
28-Feb-2011,-2.96
31-Mar-2011,3.90
30-Apr-2011,-4.70
31-May-2011,3.71
30-Jun-2011,-5.33
31-Jul-2011,-3.34
31-Aug-2011,-6.54
30-Sep-2011,-8.38
31-Oct-2011,6.61
30-Nov-2011,-5.60
31-Dec-2011,3.04
31-Jan-2012,7.60
29-Feb-2012,2.79
31-Mar-2012,-5.24
30-Apr-2012,2.93
31-May-2012,-5.80
30-Jun-2012,-3.80
31-Jul-2012,0.95
31-Aug-2012,-2.64
30-Sep-2012,5.23
31-Oct-2012,6.38
30-Nov-2012,0.44
31-Dec-2012,6.88
31-Jan-2013,3.87
28-Feb-2013,-3.75
31-Mar-2013,-7.43
30-Apr-2013,2.01
31-May-2013,5.61
30-Jun-2013,-3.16
31-Jul-2013,6.90
31-Aug-2013,2.99
30-Sep-2013,0.53
31-Oct-2013,0.55
30-Nov-2013,9.34
31-Dec-2013,-2.42
31-Jan-2014,-5.48
28-Feb-2014,-0.58
31-Mar-2014,-3.38
30-Apr-2014,-2.26
31-May-2014,4.86
30-Jun-2014,1.28
31-Jul-2014,11.97
31-Aug-2014,-1.32
30-Sep-2014,-0.24
31-Oct-2014,4.50
30-Nov-2014,5.15
31-Dec-2014,7.30
31-Jan-2015,6.43
28-Feb-2015,3.43
31-Mar-2015,3.71
30-Apr-2015,12.88
31-May-2015,-1.77
30-Jun-2015,-5.41
31-Jul-2015,-8.15
31-Aug-2015,-7.66
30-Sep-2015,-1.99
31-Oct-2015,7.54
30-Nov-2015,-5.94
31-Dec-2015,-1.59
31-Jan-2016,-10.03
29-Feb-2016,-4.25
31-Mar-2016,4.62
30-Apr-2016,0.71
31-May-2016,3.85
30-Jun-2016,-0.08
31-Jul-2016,1.20
31-Aug-2016,7.07
30-Sep-2016,-0.84
31-Oct-2016,-0.85
30-Nov-2016,4.07
31-Dec-2016,-2.10
31-Jan-2017,-0.06
28-Feb-2017,2.27
31-Mar-2017,1.29
30-Apr-2017,2.32
31-May-2017,4.92
30-Jun-2017,-3.49
31-Jul-2017,2.80
