iShares Core MSCI World ex Australia ESG Leaders ETF,
,
Share Class Inception,22-Apr-2016
,
Month End Date,Monthly Total (NAV) Return
30-Apr-2016,--
31-May-2016,6.26
30-Jun-2016,-3.44
31-Jul-2016,1.82
31-Aug-2016,1.45
30-Sep-2016,-1.17
31-Oct-2016,-1.66
30-Nov-2016,5.48
31-Dec-2016,4.36
31-Jan-2017,-2.58
28-Feb-2017,1.25
31-Mar-2017,1.89
30-Apr-2017,3.45
31-May-2017,2.20
30-Jun-2017,-2.22
31-Jul-2017,-1.70
31-Aug-2017,0.60
30-Sep-2017,3.81
31-Oct-2017,4.18
30-Nov-2017,3.25
31-Dec-2017,-1.81
31-Jan-2018,1.38
28-Feb-2018,-0.59
31-Mar-2018,0.27
30-Apr-2018,2.41
31-May-2018,1.11
30-Jun-2018,2.04
31-Jul-2018,2.44
31-Aug-2018,4.15
30-Sep-2018,0.11
31-Oct-2018,-5.85
30-Nov-2018,-1.73
31-Dec-2018,-4.58
31-Jan-2019,4.10
28-Feb-2019,5.68
31-Mar-2019,1.17
30-Apr-2019,4.51
31-May-2019,-4.45
30-Jun-2019,4.87
31-Jul-2019,2.14
31-Aug-2019,0.40
30-Sep-2019,2.22
31-Oct-2019,0.38
30-Nov-2019,4.54
31-Dec-2019,-0.87
31-Jan-2020,3.74
29-Feb-2020,-4.79
31-Mar-2020,-9.51
30-Apr-2020,3.43
31-May-2020,3.56
30-Jun-2020,-1.25
31-Jul-2020,0.35
31-Aug-2020,2.94
30-Sep-2020,-0.23
31-Oct-2020,-0.47
30-Nov-2020,7.20
31-Dec-2020,-0.23
31-Jan-2021,0.25
28-Feb-2021,2.27
31-Mar-2021,5.46
30-Apr-2021,2.81
31-May-2021,1.56
30-Jun-2021,5.75
31-Jul-2021,4.95
31-Aug-2021,4.14
30-Sep-2021,-3.51
31-Oct-2021,3.12
30-Nov-2021,4.69
31-Dec-2021,1.60
31-Jan-2022,-3.45
28-Feb-2022,-6.45
31-Mar-2022,-0.43
30-Apr-2022,-3.93
31-May-2022,-2.10
30-Jun-2022,-3.75
