iShares Edge MSCI World Minimum Volatility ETF,
,
Share Class Inception,11-Oct-2016
,
Month End Date,Monthly Total (NAV) Return
31-Oct-2016,--
30-Nov-2016,1.09
31-Dec-2016,4.16
31-Jan-2017,-2.32
28-Feb-2017,1.14
31-Mar-2017,1.32
30-Apr-2017,2.66
31-May-2017,2.89
30-Jun-2017,-3.45
31-Jul-2017,-1.88
31-Aug-2017,1.61
30-Sep-2017,1.45
31-Oct-2017,3.82
30-Nov-2017,3.51
31-Dec-2017,-1.89
31-Jan-2018,-0.41
28-Feb-2018,-1.14
31-Mar-2018,0.83
30-Apr-2018,2.70
31-May-2018,-0.21
30-Jun-2018,3.07
31-Jul-2018,1.87
31-Aug-2018,3.19
30-Sep-2018,0.86
31-Oct-2018,-2.66
30-Nov-2018,-0.44
31-Dec-2018,-1.67
31-Jan-2019,2.63
28-Feb-2019,5.16
31-Mar-2019,2.28
30-Apr-2019,1.95
31-May-2019,-0.23
30-Jun-2019,4.02
31-Jul-2019,2.12
31-Aug-2019,3.03
30-Sep-2019,1.15
31-Oct-2019,-1.09
30-Nov-2019,2.48
31-Dec-2019,-1.96
31-Jan-2020,5.87
29-Feb-2020,-4.89
31-Mar-2020,-7.20
30-Apr-2020,2.05
31-May-2020,1.63
30-Jun-2020,-3.44
31-Jul-2020,-0.15
31-Aug-2020,-0.78
30-Sep-2020,1.09
31-Oct-2020,-0.50
30-Nov-2020,2.96
31-Dec-2020,-2.27
31-Jan-2021,-0.91
28-Feb-2021,-1.95
31-Mar-2021,6.61
30-Apr-2021,1.75
31-May-2021,1.59
30-Jun-2021,3.53
31-Jul-2021,4.65
31-Aug-2021,2.04
30-Sep-2021,-3.41
31-Oct-2021,-0.99
30-Nov-2021,3.69
31-Dec-2021,3.60
31-Jan-2022,-2.29
28-Feb-2022,-4.07
31-Mar-2022,1.11
30-Apr-2022,0.28
31-May-2022,-1.41
30-Jun-2022,-1.77
