iShares Global 100 ETF,
,
Share Class Inception,05-Dec-2000
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2000,--
31-Jan-2001,4.62
28-Feb-2001,-5.53
31-Mar-2001,0.69
30-Apr-2001,4.33
31-May-2001,-1.44
30-Jun-2001,-3.22
31-Jul-2001,-2.17
31-Aug-2001,-9.12
30-Sep-2001,-0.99
31-Oct-2001,0.96
30-Nov-2001,2.91
31-Dec-2001,1.97
31-Jan-2002,-3.25
28-Feb-2002,-3.40
31-Mar-2002,-0.12
30-Apr-2002,-6.81
31-May-2002,-5.76
30-Jun-2002,-5.06
31-Jul-2002,-4.99
31-Aug-2002,-1.05
30-Sep-2002,-10.50
31-Oct-2002,7.89
30-Nov-2002,4.32
31-Dec-2002,-6.20
31-Jan-2003,-7.43
28-Feb-2003,-4.99
31-Mar-2003,1.07
30-Apr-2003,5.27
31-May-2003,0.27
30-Jun-2003,-1.33
31-Jul-2003,5.41
31-Aug-2003,1.08
30-Sep-2003,-3.44
31-Oct-2003,0.01
30-Nov-2003,-0.23
31-Dec-2003,2.66
31-Jan-2004,0.84
29-Feb-2004,0.16
31-Mar-2004,-1.69
30-Apr-2004,4.52
31-May-2004,1.88
30-Jun-2004,3.92
31-Jul-2004,-3.64
31-Aug-2004,-0.46
30-Sep-2004,-1.89
31-Oct-2004,-1.27
30-Nov-2004,0.67
31-Dec-2004,2.46
31-Jan-2005,-0.86
28-Feb-2005,1.33
31-Mar-2005,-0.07
30-Apr-2005,-2.87
31-May-2005,4.41
30-Jun-2005,-1.10
31-Jul-2005,3.40
31-Aug-2005,1.51
30-Sep-2005,0.85
31-Oct-2005,-0.46
30-Nov-2005,3.52
31-Dec-2005,1.85
31-Jan-2006,0.09
28-Feb-2006,0.81
31-Mar-2006,6.56
30-Apr-2006,-2.72
31-May-2006,-2.32
30-Jun-2006,1.39
31-Jul-2006,-1.14
31-Aug-2006,3.32
30-Sep-2006,3.47
31-Oct-2006,-0.28
30-Nov-2006,-0.12
31-Dec-2006,2.29
31-Jan-2007,2.14
28-Feb-2007,-3.69
31-Mar-2007,-0.87
30-Apr-2007,2.75
31-May-2007,3.05
30-Jun-2007,-2.25
31-Jul-2007,-3.25
31-Aug-2007,5.90
30-Sep-2007,-3.55
31-Oct-2007,-1.66
30-Nov-2007,1.70
31-Dec-2007,-0.26
31-Jan-2008,-9.90
29-Feb-2008,-5.91
31-Mar-2008,2.72
30-Apr-2008,1.60
31-May-2008,-1.67
30-Jun-2008,-8.37
31-Jul-2008,1.21
31-Aug-2008,7.65
30-Sep-2008,-0.83
31-Oct-2008,1.35
30-Nov-2008,-5.02
31-Dec-2008,-4.23
31-Jan-2009,-2.40
28-Feb-2009,-11.01
31-Mar-2009,-0.79
30-Apr-2009,3.62
31-May-2009,0.30
30-Jun-2009,-1.65
31-Jul-2009,6.34
31-Aug-2009,2.99
30-Sep-2009,-1.04
31-Oct-2009,-2.79
30-Nov-2009,3.01
31-Dec-2009,2.64
31-Jan-2010,-4.18
28-Feb-2010,-0.42
31-Mar-2010,3.15
30-Apr-2010,-2.98
31-May-2010,-0.12
30-Jun-2010,-4.01
31-Jul-2010,2.26
31-Aug-2010,-2.25
30-Sep-2010,-0.31
31-Oct-2010,2.61
30-Nov-2010,-1.64
31-Dec-2010,0.28
31-Jan-2011,6.33
28-Feb-2011,0.88
31-Mar-2011,-3.11
30-Apr-2011,-0.17
31-May-2011,0.14
30-Jun-2011,-1.98
31-Jul-2011,-4.84
31-Aug-2011,-5.41
30-Sep-2011,1.76
31-Oct-2011,1.12
30-Nov-2011,1.11
31-Dec-2011,0.98
31-Jan-2012,0.31
29-Feb-2012,2.58
31-Mar-2012,5.31
30-Apr-2012,-2.43
31-May-2012,-2.47
30-Jun-2012,0.27
31-Jul-2012,-1.62
31-Aug-2012,3.79
30-Sep-2012,2.23
31-Oct-2012,0.28
30-Nov-2012,0.00
31-Dec-2012,2.72
31-Jan-2013,5.16
28-Feb-2013,1.36
31-Mar-2013,-0.39
30-Apr-2013,4.11
31-May-2013,9.15
30-Jun-2013,1.64
31-Jul-2013,6.84
31-Aug-2013,-2.03
30-Sep-2013,-0.39
31-Oct-2013,2.66
30-Nov-2013,6.22
31-Dec-2013,3.70
31-Jan-2014,-2.15
28-Feb-2014,2.30
31-Mar-2014,-2.85
30-Apr-2014,2.35
31-May-2014,0.18
30-Jun-2014,-0.67
31-Jul-2014,-0.12
31-Aug-2014,1.60
30-Sep-2014,4.93
31-Oct-2014,-0.88
30-Nov-2014,5.71
31-Dec-2014,1.36
31-Jan-2015,2.52
28-Feb-2015,5.34
31-Mar-2015,-0.14
30-Apr-2015,-0.12
31-May-2015,2.59
30-Jun-2015,-3.50
31-Jul-2015,6.54
31-Aug-2015,-3.53
30-Sep-2015,-2.00
31-Oct-2015,7.54
30-Nov-2015,-2.20
31-Dec-2015,-2.38
31-Jan-2016,-2.67
29-Feb-2016,-2.74
31-Mar-2016,-1.03
30-Apr-2016,1.34
31-May-2016,6.45
30-Jun-2016,-3.32
31-Jul-2016,1.83
31-Aug-2016,1.70
30-Sep-2016,-1.53
31-Oct-2016,-0.52
