iShares Global Healthcare ETF,
,
Share Class Inception,13-Nov-2001
,
Month End Date,Monthly Total (NAV) Return
30-Nov-2001,--
31-Dec-2001,-0.51
31-Jan-2002,-1.28
28-Feb-2002,-0.24
31-Mar-2002,-3.15
30-Apr-2002,-4.64
31-May-2002,-7.46
30-Jun-2002,-5.73
31-Jul-2002,-1.11
31-Aug-2002,-1.35
30-Sep-2002,-3.98
31-Oct-2002,3.13
30-Nov-2002,0.42
31-Dec-2002,-3.04
31-Jan-2003,-5.40
28-Feb-2003,-5.77
31-Mar-2003,3.32
30-Apr-2003,1.53
31-May-2003,-1.68
30-Jun-2003,0.18
31-Jul-2003,1.70
31-Aug-2003,-3.19
30-Sep-2003,-2.19
31-Oct-2003,-3.44
30-Nov-2003,0.82
31-Dec-2003,1.87
31-Jan-2004,0.84
29-Feb-2004,-0.64
31-Mar-2004,-2.42
30-Apr-2004,8.62
31-May-2004,1.44
30-Jun-2004,1.78
31-Jul-2004,-4.07
31-Aug-2004,0.79
30-Sep-2004,-3.26
31-Oct-2004,-4.36
30-Nov-2004,-2.19
31-Dec-2004,4.52
31-Jan-2005,-2.48
28-Feb-2005,0.82
31-Mar-2005,1.73
30-Apr-2005,3.12
31-May-2005,3.89
30-Jun-2005,-1.54
31-Jul-2005,2.72
31-Aug-2005,1.42
30-Sep-2005,-0.95
31-Oct-2005,0.17
30-Nov-2005,1.56
31-Dec-2005,3.99
31-Jan-2006,-0.91
28-Feb-2006,1.61
31-Mar-2006,5.06
30-Apr-2006,-6.38
31-May-2006,-0.86
30-Jun-2006,2.19
31-Jul-2006,1.12
31-Aug-2006,3.04
30-Sep-2006,2.35
31-Oct-2006,-2.94
30-Nov-2006,-2.01
31-Dec-2006,0.93
31-Jan-2007,3.73
28-Feb-2007,-2.91
31-Mar-2007,-2.31
30-Apr-2007,3.03
31-May-2007,0.62
30-Jun-2007,-5.36
31-Jul-2007,-4.37
31-Aug-2007,6.99
30-Sep-2007,-5.14
31-Oct-2007,-4.08
30-Nov-2007,7.02
31-Dec-2007,-3.02
31-Jan-2008,-6.19
29-Feb-2008,-6.14
31-Mar-2008,-1.28
30-Apr-2008,-2.08
31-May-2008,0.60
30-Jun-2008,-3.68
31-Jul-2008,6.49
31-Aug-2008,9.53
30-Sep-2008,1.27
31-Oct-2008,7.17
30-Nov-2008,-5.78
31-Dec-2008,0.05
31-Jan-2009,5.54
28-Feb-2009,-12.71
31-Mar-2009,-2.44
30-Apr-2009,-5.60
31-May-2009,-1.25
30-Jun-2009,0.94
31-Jul-2009,4.25
31-Aug-2009,1.12
30-Sep-2009,-2.32
31-Oct-2009,-3.56
30-Nov-2009,5.54
31-Dec-2009,3.85
31-Jan-2010,0.21
28-Feb-2010,-0.68
31-Mar-2010,-0.31
30-Apr-2010,-5.23
31-May-2010,2.48
30-Jun-2010,-0.28
31-Jul-2010,-5.56
31-Aug-2010,2.10
30-Sep-2010,-0.46
31-Oct-2010,0.96
30-Nov-2010,-1.72
31-Dec-2010,-1.84
31-Jan-2011,3.13
28-Feb-2011,1.19
31-Mar-2011,-0.73
30-Apr-2011,1.65
31-May-2011,5.41
30-Jun-2011,-2.15
31-Jul-2011,-4.18
31-Aug-2011,-1.31
30-Sep-2011,4.83
31-Oct-2011,-3.55
30-Nov-2011,2.88
31-Dec-2011,3.51
31-Jan-2012,-1.80
29-Feb-2012,0.38
31-Mar-2012,7.53
30-Apr-2012,-0.09
31-May-2012,1.80
30-Jun-2012,0.82
31-Jul-2012,-0.57
31-Aug-2012,2.98
30-Sep-2012,3.09
31-Oct-2012,-0.06
30-Nov-2012,0.17
31-Dec-2012,0.95
31-Jan-2013,6.85
28-Feb-2013,2.84
31-Mar-2013,3.58
30-Apr-2013,4.38
31-May-2013,8.18
30-Jun-2013,3.57
31-Jul-2013,7.57
31-Aug-2013,-1.84
30-Sep-2013,-1.31
31-Oct-2013,2.56
30-Nov-2013,7.59
31-Dec-2013,3.22
31-Jan-2014,2.86
28-Feb-2014,4.38
31-Mar-2014,-5.05
30-Apr-2014,0.54
31-May-2014,1.52
30-Jun-2014,0.77
31-Jul-2014,0.69
31-Aug-2014,3.20
30-Sep-2014,7.55
31-Oct-2014,1.84
30-Nov-2014,6.20
31-Dec-2014,1.51
31-Jan-2015,7.29
28-Feb-2015,3.96
31-Mar-2015,3.54
30-Apr-2015,-3.14
31-May-2015,5.84
30-Jun-2015,-1.60
31-Jul-2015,8.94
31-Aug-2015,-3.99
30-Sep-2015,-5.01
31-Oct-2015,4.43
30-Nov-2015,-2.50
31-Dec-2015,1.11
31-Jan-2016,-4.84
29-Feb-2016,-2.15
31-Mar-2016,-4.86
30-Apr-2016,4.03
31-May-2016,6.86
30-Jun-2016,-1.69
31-Jul-2016,2.22
31-Aug-2016,-3.06
30-Sep-2016,-2.01
31-Oct-2016,-6.28
30-Nov-2016,3.15
31-Dec-2016,3.75
31-Jan-2017,-2.66
28-Feb-2017,4.44
31-Mar-2017,1.17
30-Apr-2017,3.91
31-May-2017,2.87
30-Jun-2017,-0.37
31-Jul-2017,-3.73
31-Aug-2017,1.98
30-Sep-2017,2.48
31-Oct-2017,1.02
30-Nov-2017,3.32
31-Dec-2017,-3.13
31-Jan-2018,2.04
28-Feb-2018,-0.72
31-Mar-2018,-0.58
30-Apr-2018,2.53
31-May-2018,-0.02
30-Jun-2018,3.76
31-Jul-2018,5.57
31-Aug-2018,5.80
30-Sep-2018,2.01
31-Oct-2018,-4.31
30-Nov-2018,2.59
31-Dec-2018,-4.85
31-Jan-2019,1.39
28-Feb-2019,4.43
31-Mar-2019,0.93
30-Apr-2019,-1.57
31-May-2019,-0.51
30-Jun-2019,5.11
31-Jul-2019,0.30
31-Aug-2019,2.62
30-Sep-2019,0.06
31-Oct-2019,2.75
30-Nov-2019,6.41
31-Dec-2019,-0.67
31-Jan-2020,3.43
29-Feb-2020,-3.34
31-Mar-2020,1.83
30-Apr-2020,4.00
31-May-2020,2.12
30-Jun-2020,-4.91
31-Jul-2020,-0.48
31-Aug-2020,-0.70
30-Sep-2020,1.50
31-Oct-2020,-3.01
30-Nov-2020,3.77
31-Dec-2020,-1.28
31-Jan-2021,1.07
28-Feb-2021,-3.81
31-Mar-2021,5.04
30-Apr-2021,1.79
31-May-2021,2.38
30-Jun-2021,5.59
31-Jul-2021,5.80
31-Aug-2021,3.20
30-Sep-2021,-4.12
31-Oct-2021,0.32
30-Nov-2021,2.28
31-Dec-2021,4.96
31-Jan-2022,-3.94
28-Feb-2022,-3.68
31-Mar-2022,1.50
30-Apr-2022,0.80
31-May-2022,0.13
30-Jun-2022,0.81
