iShares Global High Yield Bond (AUD Hedged) ETF,
,
Share Class Inception,04-Dec-2015
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2015,--
31-Jan-2016,-1.56
29-Feb-2016,0.87
31-Mar-2016,3.64
30-Apr-2016,2.67
31-May-2016,0.32
30-Jun-2016,0.90
31-Jul-2016,2.28
31-Aug-2016,1.98
30-Sep-2016,0.59
31-Oct-2016,-0.02
30-Nov-2016,-0.48
31-Dec-2016,2.31
31-Jan-2017,0.64
28-Feb-2017,1.49
31-Mar-2017,-0.10
30-Apr-2017,1.10
31-May-2017,1.06
30-Jun-2017,0.36
31-Jul-2017,1.06
31-Aug-2017,-0.16
30-Sep-2017,0.87
31-Oct-2017,0.31
30-Nov-2017,-0.27
31-Dec-2017,0.24
31-Jan-2018,0.33
28-Feb-2018,-0.77
31-Mar-2018,-0.24
30-Apr-2018,0.50
31-May-2018,-0.40
30-Jun-2018,0.27
31-Jul-2018,1.42
31-Aug-2018,0.44
30-Sep-2018,0.49
31-Oct-2018,-1.72
30-Nov-2018,-0.54
31-Dec-2018,-1.67
31-Jan-2019,4.04
28-Feb-2019,1.50
31-Mar-2019,1.32
30-Apr-2019,0.84
31-May-2019,-1.58
30-Jun-2019,2.68
31-Jul-2019,0.42
31-Aug-2019,0.35
30-Sep-2019,0.26
31-Oct-2019,0.17
30-Nov-2019,0.53
31-Dec-2019,1.45
31-Jan-2020,-0.35
29-Feb-2020,-1.95
31-Mar-2020,-12.92
30-Apr-2020,6.23
31-May-2020,3.42
30-Jun-2020,0.36
31-Jul-2020,2.96
31-Aug-2020,1.10
30-Sep-2020,-1.46
31-Oct-2020,0.28
30-Nov-2020,4.00
31-Dec-2020,2.24
31-Jan-2021,-1.08
28-Feb-2021,0.53
31-Mar-2021,0.51
30-Apr-2021,0.85
31-May-2021,0.05
30-Jun-2021,0.89
31-Jul-2021,0.63
31-Aug-2021,0.20
30-Sep-2021,-0.31
31-Oct-2021,-0.28
30-Nov-2021,-0.93
31-Dec-2021,1.30
31-Jan-2022,-2.45
28-Feb-2022,-1.26
31-Mar-2022,-0.33
30-Apr-2022,-4.08
31-May-2022,-0.04
30-Jun-2022,-6.60
