iShares Government Inflation ETF,
,
Share Class Inception,12-Mar-2012
,
Month End Date,Monthly Total (NAV) Return
31-Mar-2012,--
30-Apr-2012,1.31
31-May-2012,5.71
30-Jun-2012,-1.74
31-Jul-2012,1.41
31-Aug-2012,-0.35
30-Sep-2012,1.91
31-Oct-2012,0.19
30-Nov-2012,-0.53
31-Dec-2012,-0.86
31-Jan-2013,-0.32
28-Feb-2013,1.60
31-Mar-2013,-0.69
30-Apr-2013,1.98
31-May-2013,-1.87
30-Jun-2013,-3.97
31-Jul-2013,0.25
31-Aug-2013,-0.66
30-Sep-2013,0.65
31-Oct-2013,0.02
30-Nov-2013,-0.92
31-Dec-2013,1.72
31-Jan-2014,0.67
28-Feb-2014,1.07
31-Mar-2014,-0.12
30-Apr-2014,1.22
31-May-2014,3.09
30-Jun-2014,1.19
31-Jul-2014,0.29
31-Aug-2014,1.61
30-Sep-2014,-1.28
31-Oct-2014,0.94
30-Nov-2014,2.57
31-Dec-2014,1.97
31-Jan-2015,1.82
28-Feb-2015,2.03
31-Mar-2015,0.66
30-Apr-2015,-2.03
31-May-2015,-0.66
30-Jun-2015,-1.72
31-Jul-2015,1.51
31-Aug-2015,0.58
30-Sep-2015,-0.18
31-Oct-2015,0.09
30-Nov-2015,-0.59
31-Dec-2015,-0.02
31-Jan-2016,0.78
29-Feb-2016,0.49
31-Mar-2016,0.41
30-Apr-2016,-1.35
31-May-2016,1.67
30-Jun-2016,0.84
31-Jul-2016,2.20
31-Aug-2016,-0.18
30-Sep-2016,-1.21
31-Oct-2016,-0.60
30-Nov-2016,-2.27
31-Dec-2016,0.25
31-Jan-2017,0.61
28-Feb-2017,-0.19
31-Mar-2017,0.73
30-Apr-2017,1.18
31-May-2017,1.05
30-Jun-2017,-1.60
31-Jul-2017,-0.18
31-Aug-2017,0.32
30-Sep-2017,-0.99
31-Oct-2017,1.26
30-Nov-2017,2.06
31-Dec-2017,-0.77
31-Jan-2018,-0.34
28-Feb-2018,-0.02
31-Mar-2018,1.19
30-Apr-2018,-0.57
31-May-2018,0.76
30-Jun-2018,1.04
31-Jul-2018,-0.10
31-Aug-2018,0.27
30-Sep-2018,-0.74
31-Oct-2018,0.72
30-Nov-2018,-0.20
31-Dec-2018,1.27
31-Jan-2019,1.13
28-Feb-2019,0.48
31-Mar-2019,1.72
30-Apr-2019,0.80
31-May-2019,3.07
30-Jun-2019,-0.21
31-Jul-2019,1.55
31-Aug-2019,0.54
30-Sep-2019,0.07
31-Oct-2019,-0.44
30-Nov-2019,1.60
31-Dec-2019,-2.30
31-Jan-2020,3.59
29-Feb-2020,-0.06
31-Mar-2020,-5.48
30-Apr-2020,-0.17
31-May-2020,2.34
30-Jun-2020,1.50
31-Jul-2020,3.22
31-Aug-2020,-1.02
30-Sep-2020,1.38
31-Oct-2020,-0.11
30-Nov-2020,0.55
31-Dec-2020,1.18
31-Jan-2021,-1.00
28-Feb-2021,-4.38
31-Mar-2021,1.49
30-Apr-2021,1.60
31-May-2021,0.89
30-Jun-2021,0.78
31-Jul-2021,2.57
31-Aug-2021,-0.33
30-Sep-2021,-2.69
31-Oct-2021,-2.34
30-Nov-2021,2.46
31-Dec-2021,2.19
31-Jan-2022,-1.23
28-Feb-2022,-1.19
31-Mar-2022,-4.29
30-Apr-2022,-1.63
31-May-2022,-2.33
30-Jun-2022,-2.20
