iShares MSCI Japan ETF,
,
Share Class Inception,12-Mar-1996
,
Month End Date,Monthly Total (NAV) Return
31-Mar-1996,--
30-Apr-1996,4.85
31-May-1996,-6.56
30-Jun-1996,2.23
31-Jul-1996,-2.77
31-Aug-1996,-6.75
30-Sep-1996,3.49
31-Oct-1996,-7.02
30-Nov-1996,-0.73
31-Dec-1996,-4.66
31-Jan-1997,-7.18
28-Feb-1997,0.31
31-Mar-1997,-3.80
30-Apr-1997,3.73
31-May-1997,13.57
30-Jun-1997,9.29
31-Jul-1997,-2.55
31-Aug-1997,-7.34
30-Sep-1997,0.29
31-Oct-1997,-7.07
30-Nov-1997,-3.19
31-Dec-1997,-0.91
31-Jan-1998,3.15
28-Feb-1998,0.98
31-Mar-1998,-3.88
30-Apr-1998,0.91
31-May-1998,-1.78
30-Jun-1998,2.53
31-Jul-1998,0.29
31-Aug-1998,-6.27
30-Sep-1998,-5.68
31-Oct-1998,10.86
30-Nov-1998,3.42
31-Dec-1998,6.33
31-Jan-1999,-1.99
28-Feb-1999,-1.16
31-Mar-1999,12.01
30-Apr-1999,-1.08
31-May-1999,-3.30
30-Jun-1999,6.22
31-Jul-1999,11.08
31-Aug-1999,0.88
30-Sep-1999,3.91
31-Oct-1999,6.70
30-Nov-1999,4.49
31-Dec-1999,3.42
31-Jan-2000,-2.03
29-Feb-2000,1.29
31-Mar-2000,9.38
30-Apr-2000,-3.77
31-May-2000,-2.88
30-Jun-2000,1.21
31-Jul-2000,-8.44
31-Aug-2000,6.50
30-Sep-2000,1.68
31-Oct-2000,-1.45
30-Nov-2000,-5.81
31-Dec-2000,-10.96
31-Jan-2001,-0.35
28-Feb-2001,-0.09
31-Mar-2001,4.28
30-Apr-2001,2.35
31-May-2001,0.48
30-Jun-2001,-6.10
31-Jul-2001,-8.83
31-Aug-2001,-6.26
30-Sep-2001,-2.23
31-Oct-2001,-1.37
30-Nov-2001,-2.87
31-Dec-2001,-5.30
31-Jan-2002,-7.10
28-Feb-2002,1.85
31-Mar-2002,4.74
30-Apr-2002,2.72
31-May-2002,0.98
30-Jun-2002,-4.26
31-Jul-2002,-4.06
31-Aug-2002,-2.33
30-Sep-2002,-3.20
31-Oct-2002,-8.70
30-Nov-2002,2.72
31-Dec-2002,-2.80
31-Jan-2003,-7.78
28-Feb-2003,-2.83
31-Mar-2003,-3.88
30-Apr-2003,-4.29
31-May-2003,0.48
30-Jun-2003,4.39
31-Jul-2003,7.50
31-Aug-2003,10.67
30-Sep-2003,1.16
31-Oct-2003,-0.26
30-Nov-2003,-4.93
31-Dec-2003,2.64
31-Jan-2004,0.67
29-Feb-2004,-1.77
31-Mar-2004,14.40
30-Apr-2004,-0.02
31-May-2004,-2.34
30-Jun-2004,7.80
31-Jul-2004,-6.52
31-Aug-2004,-0.22
30-Sep-2004,-4.78
31-Oct-2004,-0.61
30-Nov-2004,0.94
31-Dec-2004,3.98
31-Jan-2005,-1.36
28-Feb-2005,-0.35
31-Mar-2005,0.44
30-Apr-2005,-3.45
31-May-2005,2.03
30-Jun-2005,-0.78
31-Jul-2005,1.27
31-Aug-2005,8.07
30-Sep-2005,8.47
31-Oct-2005,0.86
30-Nov-2005,5.34
31-Dec-2005,9.45
31-Jan-2006,1.58
28-Feb-2006,1.04
31-Mar-2006,6.64
30-Apr-2006,-3.20
31-May-2006,-5.73
30-Jun-2006,0.34
31-Jul-2006,-3.54
31-Aug-2006,1.75
30-Sep-2006,0.55
31-Oct-2006,-1.86
30-Nov-2006,-1.34
31-Dec-2006,2.54
31-Jan-2007,2.62
28-Feb-2007,2.31
31-Mar-2007,-3.85
30-Apr-2007,-4.81
31-May-2007,2.19
30-Jun-2007,-2.72
31-Jul-2007,-1.12
31-Aug-2007,2.19
30-Sep-2007,-5.98
31-Oct-2007,-4.98
30-Nov-2007,2.81
31-Dec-2007,-3.13
31-Jan-2008,-6.09
29-Feb-2008,-4.07
31-Mar-2008,-1.68
30-Apr-2008,3.72
31-May-2008,1.24
30-Jun-2008,-7.34
31-Jul-2008,-1.47
31-Aug-2008,4.88
30-Sep-2008,-3.04
31-Oct-2008,1.83
30-Nov-2008,0.16
31-Dec-2008,0.99
31-Jan-2009,2.00
28-Feb-2009,-12.86
31-Mar-2009,-5.99
30-Apr-2009,3.47
31-May-2009,1.19
30-Jun-2009,0.71
31-Jul-2009,1.25
