iShares S&P 500 (AUD Hedged) ETF,
,
Share Class Inception,15-Dec-2014
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2014,--
31-Jan-2015,-2.82
28-Feb-2015,5.87
31-Mar-2015,-1.52
30-Apr-2015,1.19
31-May-2015,1.46
30-Jun-2015,-1.93
31-Jul-2015,2.35
31-Aug-2015,-6.14
30-Sep-2015,-2.41
31-Oct-2015,8.28
30-Nov-2015,0.54
31-Dec-2015,-1.62
31-Jan-2016,-5.02
29-Feb-2016,0.05
31-Mar-2016,6.51
30-Apr-2016,0.52
31-May-2016,1.92
30-Jun-2016,0.36
31-Jul-2016,3.58
31-Aug-2016,0.25
30-Sep-2016,0.02
31-Oct-2016,-1.71
30-Nov-2016,3.85
31-Dec-2016,2.17
31-Jan-2017,1.79
28-Feb-2017,3.95
31-Mar-2017,0.12
30-Apr-2017,1.02
31-May-2017,1.47
30-Jun-2017,0.62
31-Jul-2017,2.06
31-Aug-2017,0.30
30-Sep-2017,2.01
31-Oct-2017,2.43
30-Nov-2017,3.19
31-Dec-2017,1.10
31-Jan-2018,5.37
28-Feb-2018,-3.93
31-Mar-2018,-2.63
30-Apr-2018,0.38
31-May-2018,2.41
30-Jun-2018,0.56
31-Jul-2018,3.66
31-Aug-2018,3.30
30-Sep-2018,0.55
31-Oct-2018,-7.06
30-Nov-2018,1.80
31-Dec-2018,-9.18
31-Jan-2019,7.69
28-Feb-2019,3.24
31-Mar-2019,1.81
30-Apr-2019,4.00
31-May-2019,-6.46
30-Jun-2019,6.68
31-Jul-2019,1.44
31-Aug-2019,-1.85
30-Sep-2019,1.80
31-Oct-2019,2.00
30-Nov-2019,3.59
31-Dec-2019,2.64
31-Jan-2020,-0.08
29-Feb-2020,-8.97
31-Mar-2020,-13.49
30-Apr-2020,11.52
31-May-2020,4.65
30-Jun-2020,1.75
31-Jul-2020,5.55
31-Aug-2020,6.72
30-Sep-2020,-3.97
31-Oct-2020,-2.56
30-Nov-2020,10.40
31-Dec-2020,3.51
31-Jan-2021,-1.07
28-Feb-2021,2.73
31-Mar-2021,4.56
30-Apr-2021,5.19
31-May-2021,0.64
30-Jun-2021,2.26
31-Jul-2021,2.33
31-Aug-2021,3.01
30-Sep-2021,-4.80
31-Oct-2021,6.75
30-Nov-2021,-0.78
31-Dec-2021,4.40
31-Jan-2022,-5.48
28-Feb-2022,-2.88
31-Mar-2022,3.52
30-Apr-2022,-9.45
31-May-2022,0.30
30-Jun-2022,-8.79
