iShares S&P 500 ETF,
,
Share Class Inception,15-May-2000
,
Month End Date,Monthly Total (NAV) Return
31-May-2000,-1.65
30-Jun-2000,-2.63
31-Jul-2000,2.06
31-Aug-2000,6.41
30-Sep-2000,1.07
31-Oct-2000,4.07
30-Nov-2000,-9.21
31-Dec-2000,-4.93
31-Jan-2001,4.77
28-Feb-2001,-4.78
31-Mar-2001,0.56
30-Apr-2001,3.00
31-May-2001,1.43
30-Jun-2001,-2.67
31-Jul-2001,-0.82
31-Aug-2001,-9.60
30-Sep-2001,-2.02
31-Oct-2001,-0.36
30-Nov-2001,4.45
31-Dec-2001,2.48
31-Jan-2002,-0.45
28-Feb-2002,-3.72
31-Mar-2002,0.33
30-Apr-2002,-6.64
31-May-2002,-5.85
30-Jun-2002,-6.35
31-Jul-2002,-4.88
31-Aug-2002,-0.56
30-Sep-2002,-9.63
31-Oct-2002,6.50
30-Nov-2002,4.65
31-Dec-2002,-6.16
31-Jan-2003,-6.48
28-Feb-2003,-4.85
31-Mar-2003,1.40
30-Apr-2003,4.54
31-May-2003,1.04
30-Jun-2003,-1.61
31-Jul-2003,5.29
31-Aug-2003,2.07
30-Sep-2003,-5.40
31-Oct-2003,0.78
30-Nov-2003,-1.08
31-Dec-2003,1.06
31-Jan-2004,0.81
29-Feb-2004,0.00
31-Mar-2004,-0.48
30-Apr-2004,4.05
31-May-2004,2.59
30-Jun-2004,4.42
31-Jul-2004,-3.82
31-Aug-2004,-0.44
30-Sep-2004,-1.46
31-Oct-2004,-1.54
30-Nov-2004,0.16
31-Dec-2004,2.33
31-Jan-2005,-1.31
28-Feb-2005,-0.33
31-Mar-2005,0.82
30-Apr-2005,-2.82
31-May-2005,6.30
30-Jun-2005,-0.44
31-Jul-2005,4.00
31-Aug-2005,0.27
30-Sep-2005,-0.84
31-Oct-2005,0.49
30-Nov-2005,4.75
31-Dec-2005,0.92
31-Jan-2006,-0.46
28-Feb-2006,2.11
31-Mar-2006,5.47
30-Apr-2006,-4.76
31-May-2006,-2.22
30-Jun-2006,1.57
31-Jul-2006,-2.46
31-Aug-2006,2.73
30-Sep-2006,4.95
31-Oct-2006,-0.43
30-Nov-2006,-0.12
31-Dec-2006,1.55
31-Jan-2007,3.28
28-Feb-2007,-3.61
31-Mar-2007,-1.38
30-Apr-2007,1.35
31-May-2007,4.06
30-Jun-2007,-4.07
31-Jul-2007,-4.03
31-Aug-2007,6.90
30-Sep-2007,-4.66
31-Oct-2007,-3.00
30-Nov-2007,0.41
31-Dec-2007,0.03
31-Jan-2008,-7.50
29-Feb-2008,-7.70
31-Mar-2008,2.02
