iShares S&P Small-Cap ETF,
,
Share Class Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
31-May-2000,--
30-Jun-2000,0.62
31-Jul-2000,1.12
31-Aug-2000,9.05
30-Sep-2000,3.77
31-Oct-2000,5.23
30-Nov-2000,-11.72
31-Dec-2000,6.27
31-Jan-2001,5.50
28-Feb-2001,-1.63
31-Mar-2001,2.41
30-Apr-2001,2.83
31-May-2001,2.68
30-Jun-2001,3.31
31-Jul-2001,-1.44
31-Aug-2001,-5.78
30-Sep-2001,-7.82
31-Oct-2001,3.00
30-Nov-2001,4.10
31-Dec-2001,8.45
31-Jan-2002,1.90
28-Feb-2002,-3.52
31-Mar-2002,4.32
30-Apr-2002,2.20
31-May-2002,-9.08
30-Jun-2002,-4.39
31-Jul-2002,-11.43
31-Aug-2002,-0.27
30-Sep-2002,-4.83
31-Oct-2002,1.02
30-Nov-2002,3.99
31-Dec-2002,-3.68
31-Jan-2003,-7.27
28-Feb-2003,-6.51
31-Mar-2003,1.20
30-Apr-2003,4.42
31-May-2003,3.72
30-Jun-2003,-0.33
31-Jul-2003,8.86
31-Aug-2003,4.99
30-Sep-2003,-7.20
31-Oct-2003,3.65
30-Nov-2003,1.77
31-Dec-2003,-2.28
31-Jan-2004,1.84
29-Feb-2004,0.52
31-Mar-2004,2.35
30-Apr-2004,2.20
31-May-2004,2.75
30-Jun-2004,8.10
31-Jul-2004,-5.99
31-Aug-2004,-1.72
30-Sep-2004,2.62
31-Oct-2004,-1.24
30-Nov-2004,4.47
31-Dec-2004,1.15
31-Jan-2005,-1.14
28-Feb-2005,0.39
31-Mar-2005,-0.03
30-Apr-2005,-6.47
31-May-2005,9.83
30-Jun-2005,2.63
31-Jul-2005,6.33
31-Aug-2005,-0.32
30-Sep-2005,-0.78
31-Oct-2005,-0.99
30-Nov-2005,5.56
31-Dec-2005,-0.05
31-Jan-2006,5.08
28-Feb-2006,1.05
31-Mar-2006,9.27
30-Apr-2006,-6.05
31-May-2006,-3.92
30-Jun-2006,1.43
31-Jul-2006,-6.39
31-Aug-2006,2.05
30-Sep-2006,3.24
31-Oct-2006,1.22
30-Nov-2006,0.74
31-Dec-2006,0.13
31-Jan-2007,3.80
28-Feb-2007,-2.24
31-Mar-2007,-0.85
30-Apr-2007,-0.79
31-May-2007,5.18
30-Jun-2007,-4.05
31-Jul-2007,-5.97
31-Aug-2007,7.26
30-Sep-2007,-6.72
31-Oct-2007,-2.74
30-Nov-2007,-2.97
31-Dec-2007,-0.07
31-Jan-2008,-6.41
29-Feb-2008,-7.54
31-Mar-2008,2.88
30-Apr-2008,0.75
31-May-2008,3.21
30-Jun-2008,-8.14
31-Jul-2008,4.13
31-Aug-2008,13.77
30-Sep-2008,1.80
31-Oct-2008,-4.57
30-Nov-2008,-10.50
31-Dec-2008,-0.94
31-Jan-2009,-4.23
28-Feb-2009,-12.38
31-Mar-2009,-0.50
30-Apr-2009,11.06
31-May-2009,-6.75
30-Jun-2009,0.43
31-Jul-2009,7.25
31-Aug-2009,0.87
30-Sep-2009,0.41
31-Oct-2009,-7.88
30-Nov-2009,1.27
31-Dec-2009,10.54
31-Jan-2010,-2.25
28-Feb-2010,3.51
31-Mar-2010,5.14
30-Apr-2010,4.37
31-May-2010,2.96
30-Jun-2010,-7.73
31-Jul-2010,-0.79
31-Aug-2010,-5.89
30-Sep-2010,2.38
31-Oct-2010,2.97
30-Nov-2010,5.83
31-Dec-2010,0.72
31-Jan-2011,2.95
28-Feb-2011,2.21
31-Mar-2011,1.42
30-Apr-2011,-3.04
31-May-2011,1.77
30-Jun-2011,-2.29
31-Jul-2011,-5.65
31-Aug-2011,-5.31
30-Sep-2011,-1.15
31-Oct-2011,5.32
30-Nov-2011,3.92
31-Dec-2011,1.45
31-Jan-2012,2.80
29-Feb-2012,0.43
31-Mar-2012,7.31
30-Apr-2012,-1.72
31-May-2012,0.59
30-Jun-2012,-1.43
31-Jul-2012,-3.33
31-Aug-2012,5.68
30-Sep-2012,1.70
31-Oct-2012,-1.74
30-Nov-2012,0.38
31-Dec-2012,3.80
31-Jan-2013,5.29
28-Feb-2013,3.31
31-Mar-2013,2.35
30-Apr-2013,0.18
31-May-2013,12.98
30-Jun-2013,4.64
31-Jul-2013,8.96
31-Aug-2013,-1.69
30-Sep-2013,1.17
31-Oct-2013,2.32
30-Nov-2013,8.29
31-Dec-2013,3.63
31-Jan-2014,-1.42
28-Feb-2014,1.84
31-Mar-2014,-2.79
30-Apr-2014,-2.77
31-May-2014,-0.19
30-Jun-2014,3.25
31-Jul-2014,-4.06
31-Aug-2014,3.66
30-Sep-2014,1.17
31-Oct-2014,6.58
30-Nov-2014,2.72
31-Dec-2014,7.26
31-Jan-2015,1.44
28-Feb-2015,5.45
31-Mar-2015,4.08
30-Apr-2015,-5.41
31-May-2015,4.65
30-Jun-2015,0.62
31-Jul-2015,3.76
31-Aug-2015,-1.77
30-Sep-2015,-2.59
31-Oct-2015,4.43
30-Nov-2015,1.10
31-Dec-2015,-5.17
31-Jan-2016,-3.50
29-Feb-2016,0.14
31-Mar-2016,0.47
30-Apr-2016,1.98
31-May-2016,7.09
30-Jun-2016,-2.13
31-Jul-2016,2.96
31-Aug-2016,2.50
30-Sep-2016,-1.14
31-Oct-2016,-3.91
30-Nov-2016,15.90
31-Dec-2016,5.41
31-Jan-2017,-5.00
28-Feb-2017,0.28
31-Mar-2017,0.72
30-Apr-2017,2.92
31-May-2017,-1.70
30-Jun-2017,-0.03
31-Jul-2017,-3.01
31-Aug-2017,-1.94
30-Sep-2017,8.91
31-Oct-2017,3.30
30-Nov-2017,4.55
31-Dec-2017,-3.46
31-Jan-2018,-0.98
28-Feb-2018,0.00
31-Mar-2018,3.65
30-Apr-2018,2.63
31-May-2018,6.18
30-Jun-2018,3.57
31-Jul-2018,2.53
31-Aug-2018,7.78
30-Sep-2018,-3.15
31-Oct-2018,-8.70
30-Nov-2018,-1.39
31-Dec-2018,-8.96
31-Jan-2019,6.80
28-Feb-2019,6.93
31-Mar-2019,-3.16
30-Apr-2019,4.82
31-May-2019,-7.23
30-Jun-2019,5.90
31-Jul-2019,3.02
31-Aug-2019,-2.39
30-Sep-2019,3.20
31-Oct-2019,-0.11
30-Nov-2019,4.92
31-Dec-2019,-0.97
31-Jan-2020,0.78
29-Feb-2020,-6.09
31-Mar-2020,-18.48
30-Apr-2020,5.57
31-May-2020,2.97
30-Jun-2020,-0.15
31-Jul-2020,0.11
31-Aug-2020,0.73
30-Sep-2020,-1.69
31-Oct-2020,4.66
30-Nov-2020,12.66
31-Dec-2020,3.30
31-Jan-2021,6.78
28-Feb-2021,6.74
31-Mar-2021,5.19
30-Apr-2021,0.42
31-May-2021,1.88
30-Jun-2021,3.42
31-Jul-2021,-0.33
31-Aug-2021,2.50
30-Sep-2021,-1.30
31-Oct-2021,-0.43
30-Nov-2021,3.35
31-Dec-2021,1.80
31-Jan-2022,-4.25
28-Feb-2022,-1.58
31-Mar-2022,-3.09
30-Apr-2022,-2.62
31-May-2022,0.92
30-Jun-2022,-4.55
