iShares S&P/ASX Dividend Opportunities ETF,
,
Share Class Inception,06-Dec-2010
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2010,--
31-Jan-2011,-0.56
28-Feb-2011,1.30
31-Mar-2011,1.60
30-Apr-2011,-1.43
31-May-2011,-1.15
30-Jun-2011,-1.73
31-Jul-2011,-4.02
31-Aug-2011,-1.03
30-Sep-2011,-3.89
31-Oct-2011,7.65
30-Nov-2011,-3.61
31-Dec-2011,-2.21
31-Jan-2012,5.38
29-Feb-2012,3.30
31-Mar-2012,2.66
30-Apr-2012,0.16
31-May-2012,-6.83
30-Jun-2012,1.38
31-Jul-2012,2.08
31-Aug-2012,0.59
30-Sep-2012,0.73
31-Oct-2012,3.58
30-Nov-2012,-0.06
31-Dec-2012,3.84
31-Jan-2013,6.56
28-Feb-2013,6.76
31-Mar-2013,-0.23
30-Apr-2013,2.67
31-May-2013,-5.79
30-Jun-2013,-0.03
31-Jul-2013,3.77
31-Aug-2013,3.16
30-Sep-2013,3.41
31-Oct-2013,2.06
30-Nov-2013,-4.35
31-Dec-2013,2.53
31-Jan-2014,-3.71
28-Feb-2014,3.96
31-Mar-2014,-0.92
30-Apr-2014,1.79
31-May-2014,0.39
30-Jun-2014,-1.54
31-Jul-2014,4.42
31-Aug-2014,-0.96
30-Sep-2014,-6.02
31-Oct-2014,3.64
30-Nov-2014,-4.95
31-Dec-2014,0.85
31-Jan-2015,2.24
28-Feb-2015,8.54
31-Mar-2015,-0.98
30-Apr-2015,0.95
31-May-2015,2.71
30-Jun-2015,-7.80
31-Jul-2015,2.19
31-Aug-2015,-6.96
30-Sep-2015,-4.65
31-Oct-2015,4.01
30-Nov-2015,-2.43
31-Dec-2015,1.86
31-Jan-2016,-5.85
29-Feb-2016,-4.04
31-Mar-2016,4.93
30-Apr-2016,3.04
31-May-2016,1.02
30-Jun-2016,-2.44
31-Jul-2016,6.21
31-Aug-2016,-1.94
30-Sep-2016,1.00
31-Oct-2016,-1.41
30-Nov-2016,3.46
31-Dec-2016,3.63
31-Jan-2017,-0.14
28-Feb-2017,2.85
31-Mar-2017,3.04
30-Apr-2017,0.40
31-May-2017,-2.62
30-Jun-2017,-0.37
31-Jul-2017,-0.66
31-Aug-2017,1.06
30-Sep-2017,-1.09
31-Oct-2017,2.62
30-Nov-2017,2.14
31-Dec-2017,1.25
31-Jan-2018,-0.85
28-Feb-2018,-0.88
31-Mar-2018,-4.26
30-Apr-2018,2.92
31-May-2018,0.64
30-Jun-2018,2.91
31-Jul-2018,-2.39
31-Aug-2018,0.86
30-Sep-2018,0.11
31-Oct-2018,-5.58
30-Nov-2018,-4.56
31-Dec-2018,-0.05
31-Jan-2019,6.11
28-Feb-2019,7.80
31-Mar-2019,1.48
30-Apr-2019,1.07
31-May-2019,2.21
30-Jun-2019,1.86
31-Jul-2019,1.76
31-Aug-2019,-3.83
30-Sep-2019,3.48
31-Oct-2019,-1.30
30-Nov-2019,3.36
31-Dec-2019,-0.70
31-Jan-2020,2.29
29-Feb-2020,-9.80
31-Mar-2020,-19.66
30-Apr-2020,8.64
31-May-2020,4.71
30-Jun-2020,3.86
31-Jul-2020,0.76
31-Aug-2020,1.87
30-Sep-2020,-5.64
31-Oct-2020,1.75
30-Nov-2020,8.17
31-Dec-2020,5.08
31-Jan-2021,-0.19
28-Feb-2021,-1.43
31-Mar-2021,1.57
30-Apr-2021,3.45
31-May-2021,0.99
30-Jun-2021,4.06
31-Jul-2021,3.40
31-Aug-2021,-1.34
30-Sep-2021,-5.64
31-Oct-2021,-1.48
30-Nov-2021,5.27
31-Dec-2021,2.28
31-Jan-2022,-4.65
28-Feb-2022,1.20
31-Mar-2022,6.36
30-Apr-2022,0.49
31-May-2022,-4.98
30-Jun-2022,-5.65
