iShares S&P/ASX Small Ordinaries ETF,
,
Share Class Inception,06-Dec-2010
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2010,--
31-Jan-2011,-2.17
28-Feb-2011,1.37
31-Mar-2011,0.13
30-Apr-2011,-2.63
31-May-2011,-1.98
30-Jun-2011,-5.04
31-Jul-2011,1.16
31-Aug-2011,-2.58
30-Sep-2011,-10.47
31-Oct-2011,7.83
30-Nov-2011,-3.72
31-Dec-2011,-4.20
31-Jan-2012,7.63
29-Feb-2012,6.39
31-Mar-2012,0.18
30-Apr-2012,-0.95
31-May-2012,-10.17
30-Jun-2012,-4.79
31-Jul-2012,-0.27
31-Aug-2012,2.91
30-Sep-2012,4.31
31-Oct-2012,1.24
30-Nov-2012,-2.45
31-Dec-2012,3.15
31-Jan-2013,4.19
28-Feb-2013,0.79
31-Mar-2013,-3.38
30-Apr-2013,-4.68
31-May-2013,-3.88
30-Jun-2013,-7.09
31-Jul-2013,9.64
31-Aug-2013,2.91
30-Sep-2013,1.65
31-Oct-2013,2.62
30-Nov-2013,-5.17
31-Dec-2013,2.43
31-Jan-2014,-2.79
28-Feb-2014,4.98
31-Mar-2014,-1.21
30-Apr-2014,-1.34
31-May-2014,0.08
30-Jun-2014,-1.15
31-Jul-2014,4.83
31-Aug-2014,2.26
30-Sep-2014,-5.48
31-Oct-2014,-0.50
30-Nov-2014,-3.83
31-Dec-2014,0.52
31-Jan-2015,0.93
28-Feb-2015,8.34
31-Mar-2015,-1.94
30-Apr-2015,1.60
31-May-2015,2.26
30-Jun-2015,-7.65
31-Jul-2015,1.51
31-Aug-2015,-4.91
30-Sep-2015,-0.48
31-Oct-2015,7.03
30-Nov-2015,-0.07
31-Dec-2015,3.84
31-Jan-2016,-5.12
29-Feb-2016,0.86
31-Mar-2016,5.40
30-Apr-2016,2.96
31-May-2016,3.97
30-Jun-2016,-1.51
31-Jul-2016,8.68
31-Aug-2016,-1.61
30-Sep-2016,1.50
31-Oct-2016,-4.72
30-Nov-2016,-0.96
31-Dec-2016,3.33
31-Jan-2017,-2.50
28-Feb-2017,1.29
31-Mar-2017,2.70
30-Apr-2017,-0.27
31-May-2017,-2.13
30-Jun-2017,1.94
31-Jul-2017,0.26
31-Aug-2017,2.63
30-Sep-2017,1.29
31-Oct-2017,5.95
30-Nov-2017,3.83
31-Dec-2017,3.11
31-Jan-2018,-0.62
28-Feb-2018,-0.04
31-Mar-2018,-2.34
30-Apr-2018,2.69
31-May-2018,3.64
30-Jun-2018,1.02
31-Jul-2018,-1.05
31-Aug-2018,2.45
30-Sep-2018,-0.42
31-Oct-2018,-9.62
30-Nov-2018,-0.30
31-Dec-2018,-4.21
31-Jan-2019,5.51
28-Feb-2019,6.69
31-Mar-2019,-0.17
30-Apr-2019,3.92
31-May-2019,-1.27
30-Jun-2019,0.91
31-Jul-2019,4.41
31-Aug-2019,-3.83
30-Sep-2019,2.49
31-Oct-2019,-0.57
30-Nov-2019,1.51
31-Dec-2019,-0.35
31-Jan-2020,3.33
29-Feb-2020,-8.72
31-Mar-2020,-22.47
30-Apr-2020,14.11
31-May-2020,10.54
30-Jun-2020,-1.65
31-Jul-2020,1.31
31-Aug-2020,7.13
30-Sep-2020,-2.90
31-Oct-2020,0.36
30-Nov-2020,10.23
31-Dec-2020,2.70
31-Jan-2021,-0.30
28-Feb-2021,1.50
31-Mar-2021,0.92
30-Apr-2021,4.90
31-May-2021,0.23
30-Jun-2021,3.02
31-Jul-2021,0.65
31-Aug-2021,4.95
30-Sep-2021,-2.24
31-Oct-2021,0.90
30-Nov-2021,-0.36
31-Dec-2021,1.34
31-Jan-2022,-9.01
28-Feb-2022,-0.06
31-Mar-2022,5.18
30-Apr-2022,-1.56
31-May-2022,-7.06
30-Jun-2022,-13.23
