iShares Yield Plus ETF,
,
Share Class Inception,27-May-2020
,
Month End Date,Monthly Total (NAV) Return
31-May-2020,--
30-Jun-2020,0.45
31-Jul-2020,0.55
31-Aug-2020,0.24
30-Sep-2020,0.12
31-Oct-2020,0.38
30-Nov-2020,0.40
31-Dec-2020,0.05
31-Jan-2021,0.13
28-Feb-2021,-0.23
31-Mar-2021,0.01
30-Apr-2021,0.13
31-May-2021,0.10
30-Jun-2021,0.02
31-Jul-2021,0.26
31-Aug-2021,0.10
30-Sep-2021,-0.11
31-Oct-2021,-0.88
30-Nov-2021,0.28
31-Dec-2021,0.06
31-Jan-2022,-0.17
28-Feb-2022,-0.24
31-Mar-2022,-1.01
30-Apr-2022,-0.44
31-May-2022,-0.21
30-Jun-2022,-0.34
